,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApplication,Grants permission to create an application,Write,application*,,
1,CreateApplication,Grants permission to create an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateConfigurationProfile,Grants permission to create a configuration profile,Write,application*,,
3,CreateConfigurationProfile,Grants permission to create a configuration profile,Write,configurationprofile*,,
4,CreateConfigurationProfile,Grants permission to create a configuration profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateDeploymentStrategy,Grants permission to create a deployment strategy,Write,deploymentstrategy*,,
6,CreateDeploymentStrategy,Grants permission to create a deployment strategy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateEnvironment,Grants permission to create an environment,Write,application*,,
8,CreateEnvironment,Grants permission to create an environment,Write,environment*,,
9,CreateEnvironment,Grants permission to create an environment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateHostedConfigurationVersion,Grants permission to create a hosted configuration version,Write,application*,,
11,CreateHostedConfigurationVersion,Grants permission to create a hosted configuration version,Write,configurationprofile*,,
12,CreateHostedConfigurationVersion,Grants permission to create a hosted configuration version,Write,hostedconfigurationversion*,,
13,DeleteApplication,Grants permission to delete an application,Write,application*,,
14,DeleteConfigurationProfile,Grants permission to delete a configuration profile,Write,application*,,
15,DeleteConfigurationProfile,Grants permission to delete a configuration profile,Write,configurationprofile*,,
16,DeleteDeploymentStrategy,Grants permission to delete a deployment strategy,Write,deploymentstrategy*,,
17,DeleteEnvironment,Grants permission to delete an environment,Write,application*,,
18,DeleteEnvironment,Grants permission to delete an environment,Write,environment*,,
19,DeleteHostedConfigurationVersion,Grants permission to delete a hosted configuration version,Write,application*,,
20,DeleteHostedConfigurationVersion,Grants permission to delete a hosted configuration version,Write,configurationprofile*,,
21,DeleteHostedConfigurationVersion,Grants permission to delete a hosted configuration version,Write,hostedconfigurationversion*,,
22,GetApplication,Grants permission to view details about an application,Read,application*,,
23,GetApplication,Grants permission to view details about an application,Read,,aws:ResourceTag/${TagKey},
24,GetConfiguration,Grants permission to view details about a configuration,Read,application*,,
25,GetConfiguration,Grants permission to view details about a configuration,Read,configurationprofile*,,
26,GetConfiguration,Grants permission to view details about a configuration,Read,environment*,,
27,GetConfiguration,Grants permission to view details about a configuration,Read,,aws:ResourceTag/${TagKey},
28,GetConfigurationProfile,Grants permission to view details about a configuration profile,Read,application*,,
29,GetConfigurationProfile,Grants permission to view details about a configuration profile,Read,configurationprofile*,,
30,GetConfigurationProfile,Grants permission to view details about a configuration profile,Read,,aws:ResourceTag/${TagKey},
31,GetDeployment,Grants permission to view details about a deployment,Read,application*,,
32,GetDeployment,Grants permission to view details about a deployment,Read,deployment*,,
33,GetDeployment,Grants permission to view details about a deployment,Read,environment*,,
34,GetDeployment,Grants permission to view details about a deployment,Read,,aws:ResourceTag/${TagKey},
35,GetDeploymentStrategy,Grants permission to view details about a deployment strategy,Read,deploymentstrategy*,,
36,GetDeploymentStrategy,Grants permission to view details about a deployment strategy,Read,,aws:ResourceTag/${TagKey},
37,GetEnvironment,Grants permission to view details about an environment,Read,application*,,
38,GetEnvironment,Grants permission to view details about an environment,Read,environment*,,
39,GetEnvironment,Grants permission to view details about an environment,Read,,aws:ResourceTag/${TagKey},
