,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchCreateVolumeSnapshotGroupForMgn [permission only],Grants permission to create volume snapshot group,Write,SourceServerResource*,,
1,BatchDeleteSnapshotRequestForMgn [permission only],Grants permission to batch delete snapshot request,Write,,,
2,ChangeServerLifeCycleState,Grants permission to change source server life cycle state,Write,SourceServerResource*,,
3,CreateReplicationConfigurationTemplate,Grants permission to create replication configuration template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateVcenterClientForMgn [permission only],Grants permission to create vcenter client,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteJob,Grants permission to delete job,Write,JobResource*,,
6,DeleteReplicationConfigurationTemplate,Grants permission to delete replication configuration template,Write,ReplicationConfigurationTemplateResource*,,
7,DeleteSourceServer,Grants permission to delete source server,Write,SourceServerResource*,,
8,DeleteVcenterClient,Grants permission to delete vcenter client,Write,VcenterClientResource*,,
9,DescribeJobLogItems,Grants permission to describe job log items,Read,JobResource*,,
10,DescribeJobs,Grants permission to describe jobs,List,,,
11,DescribeReplicationConfigurationTemplates,Grants permission to describe replication configuration template,List,,,
12,DescribeReplicationServerAssociationsForMgn [permission only],Grants permission to describe replication server associations,Read,,,
13,DescribeSnapshotRequestsForMgn [permission only],Grants permission to describe snapshots requests,Read,,,
14,DescribeSourceServers,Grants permission to describe source servers,List,,,
15,DescribeVcenterClients,Grants permission to describe vcenter clients,List,,,
16,DisconnectFromService,Grants permission to disconnect source server from service,Write,SourceServerResource*,,
17,FinalizeCutover,Grants permission to finalize cutover,Write,SourceServerResource*,,
18,GetAgentCommandForMgn [permission only],Grants permission to get agent command,Read,SourceServerResource*,,
19,GetAgentConfirmedResumeInfoForMgn [permission only],Grants permission to get agent confirmed resume info,Read,SourceServerResource*,,
20,GetAgentInstallationAssetsForMgn [permission only],Grants permission to get agent installation assets,Read,,,
21,GetAgentReplicationInfoForMgn [permission only],Grants permission to get agent replication info,Read,SourceServerResource*,,
22,GetAgentRuntimeConfigurationForMgn [permission only],Grants permission to get agent runtime configuration,Read,SourceServerResource*,,
23,GetAgentSnapshotCreditsForMgn [permission only],Grants permission to get agent snapshots credits,Read,SourceServerResource*,,
24,GetChannelCommandsForMgn [permission only],Grants permission to get channel commands,Read,,,
25,GetLaunchConfiguration,Grants permission to get launch configuration,Read,SourceServerResource*,,
26,GetReplicationConfiguration,Grants permission to get replication configuration,Read,SourceServerResource*,,
27,GetVcenterClientCommandsForMgn [permission only],Grants permission to get vcenter client commands,Read,VcenterClientResource*,,
28,InitializeService,Grants permission to initialize service,Write,,,iam:AddRoleToInstanceProfile  iam:CreateInstanceProfile  iam:CreateServiceLinkedRole  iam:GetInstanceProfile
29,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
30,MarkAsArchived,Grants permission to mark source server as archived,Write,SourceServerResource*,,
31,NotifyAgentAuthenticationForMgn [permission only],Grants permission to notify agent authentication,Write,SourceServerResource*,,
32,NotifyAgentConnectedForMgn [permission only],Grants permission to notify agent is connected,Write,SourceServerResource*,,
33,NotifyAgentDisconnectedForMgn [permission only],Grants permission to notify agent is disconnected,Write,SourceServerResource*,,
34,NotifyAgentReplicationProgressForMgn [permission only],Grants permission to notify agent replication progress,Write,SourceServerResource*,,
35,NotifyVcenterClientStartedForMgn [permission only],Grants permission to notify vcenter client started,Write,VcenterClientResource*,,
36,RegisterAgentForMgn [permission only],Grants permission to register agent,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
37,RetryDataReplication,Grants permission to retry replication,Write,SourceServerResource*,,
38,SendAgentLogsForMgn [permission only],Grants permission to send agent logs,Write,SourceServerResource*,,
39,SendAgentMetricsForMgn [permission only],Grants permission to send agent metrics,Write,SourceServerResource*,,
40,SendChannelCommandResultForMgn [permission only],Grants permission to send channel command result,Write,,,
41,SendClientLogsForMgn [permission only],Grants permission to send client logs,Write,,,
42,SendClientMetricsForMgn [permission only],Grants permission to send client metrics,Write,,,
43,SendVcenterClientCommandResultForMgn [permission only],Grants permission to send vcenter client command result,Write,VcenterClientResource*,,
