,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateGatewayToServer,Grants permission to AssociateGatewayToServer,Write,gateway*,,
1,AssociateGatewayToServer,Grants permission to AssociateGatewayToServer,Write,hypervisor*,,
2,Backup,Grants permission to Backup,Write,virtualmachine*,,
3,Backup,Grants permission to Backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateGateway,Grants permission to to CreateGateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteGateway,Grants permission to DeleteGateway,Write,gateway*,,
6,DeleteHypervisor,Grants permission to DeleteHypervisor,Write,hypervisor*,,
7,DisassociateGatewayFromServer,Grants permission to DisassociateGatewayFromServer,Write,gateway*,,
8,ImportHypervisorConfiguration,Grants permission to ImportHypervisorConfiguration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,ListGateways,Grants permission to ListGateways,Read,,,
10,ListHypervisors,Grants permission to ListHypervisors,Read,,,
11,ListTagsForResource,Grants permission to ListTagsForResource,Read,gateway,,
12,ListTagsForResource,Grants permission to ListTagsForResource,Read,hypervisor,,
13,ListTagsForResource,Grants permission to ListTagsForResource,Read,virtualmachine,,
14,ListTagsForResource,Grants permission to ListTagsForResource,Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,ListVirtualMachines,Grants permission to ListVirtualMachines,Read,,,
16,PutMaintenanceStartTime,Grants permission to PutMaintenanceStartTime,Write,gateway*,,
17,Restore,Grants permission to Restore,Write,hypervisor*,,
18,Restore,Grants permission to Restore,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,TagResource,Grants permission to TagResource,Tagging,gateway,,
20,TagResource,Grants permission to TagResource,Tagging,hypervisor,,
21,TagResource,Grants permission to TagResource,Tagging,virtualmachine,,
22,TagResource,Grants permission to TagResource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,TestHypervisorConfiguration,Grants permission to TestHypervisorConfiguration,Write,gateway*,,
24,UntagResource,Grants permission to UntagResource,Tagging,gateway,,
25,UntagResource,Grants permission to UntagResource,Tagging,hypervisor,,
26,UntagResource,Grants permission to UntagResource,Tagging,virtualmachine,,
27,UntagResource,Grants permission to UntagResource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
28,UpdateGatewayInformation,Grants permission to UpdateGatewayInformation,Write,gateway*,,
29,UpdateHypervisor,Grants permission to UpdateHypervisor,Write,gateway*,,
