,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAppMonitor,Grants permission to create appMonitor metadata,Write,AppMonitorResource*,,iam:CreateServiceLinkedRole  iam:GetRole
1,CreateAppMonitor,Grants permission to create appMonitor metadata,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteAppMonitor,Grants permission to delete appMonitor metadata,Write,AppMonitorResource*,,
3,GetAppMonitor,Grants permission to get appMonitor metadata,Read,AppMonitorResource*,,
4,GetAppMonitorData,Grants permission to get appMonitor data,Read,AppMonitorResource*,,
5,ListAppMonitors,Grants permission to list appMonitors metadata,List,,,
6,ListTagsForResource,Grants permission to list tags for resources,Read,,,
7,PutRumEvents,Grants permission to put RUM events for appmonitor,Write,AppMonitorResource*,,
8,TagResource,Grants permission to tag resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,UntagResource,Grants permission to untag resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,UpdateAppMonitor,Grants permission to update appmonitor metadata,Write,AppMonitorResource*,,iam:CreateServiceLinkedRole  iam:GetRole
