,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateTeamMember,Adds a user to the team for an AWS CodeStar project.,Permissions management,project*,,
1,CreateProject,"Creates a project with minimal structure, customer policies, and no resources.",Permissions management,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateUserProfile,"Creates a profile for a user that includes user preferences, display name, and email.",Write,user*,,
3,DeleteExtendedAccess [permission only],Grants access to extended delete APIs.,Write,project*,,
4,DeleteProject,"Deletes a project, including project resources. Does not delete users associated with the project, but does delete the IAM roles that allowed access to the project.",Permissions management,project*,,
5,DeleteUserProfile,"Deletes a user profile in AWS CodeStar, including all personal preference data associated with that profile, such as display name and email address. It does not delete the history of that user, for example the history of commits made by that user.",Write,user*,,
6,DescribeProject,Describes a project and its resources.,Read,project*,,
7,DescribeUserProfile,Describes a user in AWS CodeStar and the user attributes across all projects.,Read,,,
8,DisassociateTeamMember,Removes a user from a project. Removing a user from a project also removes the IAM policies from that user that allowed access to the project and its resources.,Permissions management,project*,,
9,GetExtendedAccess [permission only],Grants access to extended read APIs.,Read,project*,,
10,ListProjects,Lists all projects in CodeStar associated with your AWS account.,List,,,
11,ListResources,Lists all resources associated with a project in CodeStar.,List,project*,,
12,ListTagsForProject,Lists the tags associated with a project in CodeStar.,List,project*,,
13,ListTeamMembers,Lists all team members associated with a project.,List,project*,,
14,ListUserProfiles,Lists user profiles in AWS CodeStar.,List,,,
15,PutExtendedAccess [permission only],Grants access to extended write APIs.,Write,project*,,
16,TagProject,Adds tags to a project in CodeStar.,Tagging,project*,,
17,TagProject,Adds tags to a project in CodeStar.,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,UntagProject,Removes tags from a project in CodeStar.,Tagging,project*,,
19,UntagProject,Removes tags from a project in CodeStar.,Tagging,,aws:TagKeys,
20,UpdateProject,Updates a project in CodeStar.,Write,project*,,
21,UpdateTeamMember,Updates team member attributes within a CodeStar project.,Permissions management,project*,,
22,UpdateUserProfile,"Updates a profile for a user that includes user preferences, display name, and email.",Write,user*,,
23,VerifyServiceRole,Verifies whether the AWS CodeStar service role exists in the customer's account.,List,,,
