,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,DeleteRecommendationPreferences,Grants permission to delete recommendation preferences,Write,,compute-optimizer:ResourceType,autoscaling:DescribeAutoScalingGroups  ec2:DescribeInstances
1,DescribeRecommendationExportJobs,Grants permission to view the status of recommendation export jobs,List,,,
2,ExportAutoScalingGroupRecommendations,Grants permission to export AutoScaling group recommendations to S3 for the provided accounts,Write,,,autoscaling:DescribeAutoScalingGroups  compute-optimizer:GetAutoScalingGroupRecommendations
3,ExportEBSVolumeRecommendations,Grants permission to export EBS volume recommendations to S3 for the provided accounts,Write,,,compute-optimizer:GetEBSVolumeRecommendations  ec2:DescribeVolumes
4,ExportEC2InstanceRecommendations,Grants permission to export EC2 instance recommendations to S3 for the provided accounts,Write,,,compute-optimizer:GetEC2InstanceRecommendations  ec2:DescribeInstances
5,ExportLambdaFunctionRecommendations,Grants permission to export Lambda function recommendations to S3 for the provided accounts,Write,,,compute-optimizer:GetLambdaFunctionRecommendations  lambda:ListFunctions  lambda:ListProvisionedConcurrencyConfigs
6,GetAutoScalingGroupRecommendations,Grants permission to get recommendations for the provided AutoScaling groups,List,,,autoscaling:DescribeAutoScalingGroups
7,GetEBSVolumeRecommendations,Grants permission to get recommendations for the provided EBS volumes,List,,,ec2:DescribeVolumes
8,GetEC2InstanceRecommendations,Grants permission to get recommendations for the provided EC2 instances,List,,,ec2:DescribeInstances
9,GetEC2RecommendationProjectedMetrics,Grants permission to get the recommendation projected metrics of the specified instance,List,,,ec2:DescribeInstances
10,GetEffectiveRecommendationPreferences,Grants permission to get recommendation preferences that are in effect,Read,,compute-optimizer:ResourceType,autoscaling:DescribeAutoScalingGroups  autoscaling:DescribeAutoScalingInstances  ec2:DescribeInstances
11,GetEnrollmentStatus,Grants permission to get the enrollment status for the specified account,List,,,
12,GetEnrollmentStatusesForOrganization,Grants permission to get the enrollment statuses for member accounts of the organization,List,,,
13,GetLambdaFunctionRecommendations,Grants permission to get recommendations for the provided Lambda functions,List,,,lambda:ListFunctions  lambda:ListProvisionedConcurrencyConfigs
14,GetRecommendationPreferences,Grants permission to get recommendation preferences,Read,,compute-optimizer:ResourceType,
15,GetRecommendationSummaries,Grants permission to get the recommendation summaries for the specified account(s),List,,,
16,PutRecommendationPreferences,Grants permission to put recommendation preferences,Write,,compute-optimizer:ResourceType,autoscaling:DescribeAutoScalingGroups  autoscaling:DescribeAutoScalingInstances  ec2:DescribeInstances
17,UpdateEnrollmentStatus,Grants permission to update the enrollment status,Write,,,
