,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAnomalyMonitor,Grants permission to create a new Anomaly Monitor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateAnomalySubscription,Grants permission to create a new Anomaly Subscription,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateCostCategoryDefinition,Grants permission to create a new Cost Category with the requested name and rules,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateNotificationSubscription [permission only],Grants permission to create Reservation expiration alerts,Write,,,
4,CreateReport [permission only],Grants permission to create Cost Explorer Reports,Write,,,
5,DeleteAnomalyMonitor,Grants permission to delete an Anomaly Monitor,Write,anomalymonitor*,,
6,DeleteAnomalyMonitor,Grants permission to delete an Anomaly Monitor,Write,,aws:ResourceTag/${TagKey},
7,DeleteAnomalySubscription,Grants permission to delete an Anomaly Subscription,Write,anomalysubscription*,,
8,DeleteAnomalySubscription,Grants permission to delete an Anomaly Subscription,Write,,aws:ResourceTag/${TagKey},
9,DeleteCostCategoryDefinition,Grants permission to delete a Cost Category,Write,costcategory*,,
10,DeleteCostCategoryDefinition,Grants permission to delete a Cost Category,Write,,aws:ResourceTag/${TagKey},
11,DeleteNotificationSubscription [permission only],Grants permission to delete Reservation expiration alerts,Write,,,
12,DeleteReport [permission only],Grants permission to delete Cost Explorer Reports,Write,,,
13,DescribeCostCategoryDefinition,"Grants permission to retrieve descriptions such as the name, ARN, rules, definition, and effective dates of a Cost Category",Read,costcategory*,,
14,DescribeCostCategoryDefinition,"Grants permission to retrieve descriptions such as the name, ARN, rules, definition, and effective dates of a Cost Category",Read,,aws:ResourceTag/${TagKey},
15,DescribeNotificationSubscription [permission only],Grants permission to view Reservation expiration alerts,Read,,,
16,DescribeReport [permission only],Grants permission to view Cost Explorer Reports page,Read,,,
17,GetAnomalies,Grants permission to retrieve anomalies,Read,anomalymonitor*,,
18,GetAnomalies,Grants permission to retrieve anomalies,Read,,aws:ResourceTag/${TagKey},
19,GetAnomalyMonitors,Grants permission to query Anomaly Monitors,Read,anomalymonitor*,,
20,GetAnomalyMonitors,Grants permission to query Anomaly Monitors,Read,,aws:ResourceTag/${TagKey},
21,GetAnomalySubscriptions,Grants permission to query Anomaly Subscriptions,Read,anomalysubscription*,,
22,GetAnomalySubscriptions,Grants permission to query Anomaly Subscriptions,Read,,aws:ResourceTag/${TagKey},
23,GetCostAndUsage,Grants permission to retrieve the cost and usage metrics for your account,Read,,,
24,GetCostAndUsageWithResources,Grants permission to retrieve the cost and usage metrics with resources for your account,Read,,,
25,GetCostCategories,Grants permission to query Cost Catagory names and values for a specified time period,Read,,,
26,GetCostForecast,Grants permission to retrieve a cost forecast for a forecast time period,Read,,,
27,GetDimensionValues,Grants permission to retrieve all available filter values for a filter for a period of time,Read,,,
28,GetPreferences [permission only],Grants permission to view Cost Explorer Preferences page,Read,,,
29,GetReservationCoverage,Grants permission to retrieve the reservation coverage for your account,Read,,,
30,GetReservationPurchaseRecommendation,Grants permission to retrieve the reservation recommendations for your account,Read,,,
31,GetReservationUtilization,Grants permission to retrieve the reservation utilization for your account,Read,,,
32,GetRightsizingRecommendation,Grants permission to retrieve the rightsizing recommendations for your account,Read,,,
33,GetSavingsPlansCoverage,Grants permission to retrieve the Savings Plans coverage for your account,Read,,,
34,GetSavingsPlansPurchaseRecommendation,Grants permission to retrieve the Savings Plans recommendations for your account,Read,,,
35,GetSavingsPlansUtilization,Grants permission to retrieve the Savings Plans utilization for your account,Read,,,
36,GetSavingsPlansUtilizationDetails,Grants permission to retrieve the Savings Plans utilization details for your account,Read,,,
37,GetTags,Grants permission to query tags for a specified time period,Read,,,
38,GetUsageForecast,Grants permission to retrieve a usage forecast for a forecast time period,Read,,,
39,ListCostCategoryDefinitions,"Grants permission to retrieve names, ARN, and effective dates for all Cost Categories",List,,,
40,ListTagsForResource,Grants permission to list tags for a Cost Explorer resource,Read,anomalymonitor,,
41,ListTagsForResource,Grants permission to list tags for a Cost Explorer resource,Read,anomalysubscription,,
42,ListTagsForResource,Grants permission to list tags for a Cost Explorer resource,Read,costcategory,,
43,ListTagsForResource,Grants permission to list tags for a Cost Explorer resource,Read,,aws:ResourceTag/${TagKey},
44,ProvideAnomalyFeedback,Grants permission to provide feedback on detected anomalies,Write,,,
45,TagResource,Grants permission to tag a Cost Explorer resource,Tagging,anomalymonitor,,
46,TagResource,Grants permission to tag a Cost Explorer resource,Tagging,anomalysubscription,,
47,TagResource,Grants permission to tag a Cost Explorer resource,Tagging,costcategory,,
48,TagResource,Grants permission to tag a Cost Explorer resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
49,UntagResource,Grants permission to remove tags from a Cost Explorer resource,Tagging,anomalymonitor,,
50,UntagResource,Grants permission to remove tags from a Cost Explorer resource,Tagging,anomalysubscription,,
51,UntagResource,Grants permission to remove tags from a Cost Explorer resource,Tagging,costcategory,,
52,UntagResource,Grants permission to remove tags from a Cost Explorer resource,Tagging,,aws:TagKeys  aws:ResourceTag/${TagKey},
53,UpdateAnomalyMonitor,Grants permission to update an existing Anomaly Monitor,Write,anomalymonitor*,,
54,UpdateAnomalyMonitor,Grants permission to update an existing Anomaly Monitor,Write,,aws:ResourceTag/${TagKey},
55,UpdateAnomalySubscription,Grants permission to update an existing Anomaly Subscription,Write,anomalysubscription*,,
56,UpdateAnomalySubscription,Grants permission to update an existing Anomaly Subscription,Write,,aws:ResourceTag/${TagKey},
57,UpdateCostCategoryDefinition,Grants permission to update an existing Cost Category,Write,costcategory*,,
58,UpdateCostCategoryDefinition,Grants permission to update an existing Cost Category,Write,,aws:ResourceTag/${TagKey},
59,UpdateNotificationSubscription [permission only],Grants permission to update Reservation expiration alerts,Write,,,
60,UpdatePreferences [permission only],Grants permission to edit Cost Explorer Preferences page,Write,,,
61,UpdateReport [permission only],Grants permission to update Cost Explorer Reports,Write,,,
