,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateCoupon [permission only],Grants permission to associate a DeepComposer coupon (or DSN) with the account associated with the sender of the request,Write,,,
1,CreateAudio [permission only],Grants permission to create an audio file by converting the midi composition into a wav or mp3 file,Write,audio*,,
2,CreateComposition [permission only],Grants permission to create a multi-track midi composition,Write,composition*,,
3,CreateComposition [permission only],Grants permission to create a multi-track midi composition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateModel [permission only],Grants permission to start creating/training a generative-model that is able to perform inference against the user-provided piano-melody to create a multi-track midi composition,Write,model*,,
5,CreateModel [permission only],Grants permission to start creating/training a generative-model that is able to perform inference against the user-provided piano-melody to create a multi-track midi composition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteComposition [permission only],Grants permission to delete the composition,Write,composition*,,
7,DeleteModel,Grants permission to delete the model,Write,model*,,
8,GetComposition [permission only],Grants permission to get information about the composition,Read,composition*,,
9,GetComposition [permission only],Grants permission to get information about the composition,Read,,aws:ResourceTag/${TagKey},
10,GetModel [permission only],Grants permission to get information about the model,Read,model*,,
11,GetModel [permission only],Grants permission to get information about the model,Read,,aws:ResourceTag/${TagKey},
12,GetSampleModel [permission only],Grants permission to get information about the sample/pre-trained DeepComposer model,Read,model*,,
13,ListCompositions [permission only],Grants permission to list all the compositions owned by the sender of the request,List,composition*,,
14,ListModels [permission only],Grants permission to list all the models owned by the sender of the request,List,model*,,
15,ListSampleModels [permission only],Grants permission to list all the sample/pre-trained models provided by the DeepComposer service,List,model*,,
16,ListTagsForResource,Grants permission to list tags for a resource,List,composition,,
17,ListTagsForResource,Grants permission to list tags for a resource,List,model,,
18,ListTagsForResource,Grants permission to list tags for a resource,List,,aws:ResourceTag/${TagKey},
19,ListTrainingTopics [permission only],Grants permission to list all the training options or topic for creating/training a model,List,model*,,
20,TagResource,Grants permission to tag a resource,Tagging,composition,,
21,TagResource,Grants permission to tag a resource,Tagging,model,,
22,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
23,UntagResource,Grants permission to untag a resource,Tagging,composition,,
24,UntagResource,Grants permission to untag a resource,Tagging,model,,
25,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
26,UpdateComposition [permission only],Grants permission to modify the mutable properties associated with a composition,Write,composition*,,
27,UpdateModel [permission only],Grants permission to to modify the mutable properties associated with a model,Write,model*,,
