,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDevicePool,Grants permission to create a device pool within a project,Write,project*,,
1,CreateInstanceProfile,Grants permission to create a device instance profile,Write,,,
2,CreateNetworkProfile,Grants permission to create a network profile within a project,Write,project*,,
3,CreateProject,Grants permission to create a project for mobile testing,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateRemoteAccessSession,Grants permission to start a remote access session to a device instance,Write,device*,,
5,CreateRemoteAccessSession,Grants permission to start a remote access session to a device instance,Write,project*,,
6,CreateRemoteAccessSession,Grants permission to start a remote access session to a device instance,Write,deviceinstance,,
7,CreateRemoteAccessSession,Grants permission to start a remote access session to a device instance,Write,upload,,
8,CreateTestGridProject,Grants permission to create a project for desktop testing,Write,,,ec2:CreateNetworkInterface  ec2:DescribeSecurityGroups  ec2:DescribeSubnets  ec2:DescribeVpcs  iam:CreateServiceLinkedRole
9,CreateTestGridUrl,Grants permission to generate a new pre-signed url used to access our test grid service,Write,testgrid-project*,,
10,CreateUpload,Grants permission to upload a new file or app within a project,Write,project*,,
11,CreateVPCEConfiguration,Grants permission to create an Amazon Virtual Private Cloud (VPC) endpoint configuration,Write,,,
12,DeleteDevicePool,Grants permission to delete a user-generated device pool,Write,devicepool*,,
13,DeleteInstanceProfile,Grants permission to delete a user-generated instance profile,Write,instanceprofile*,,
14,DeleteNetworkProfile,Grants permission to delete a user-generated network profile,Write,networkprofile*,,
15,DeleteProject,Grants permission to delete a mobile testing project,Write,project*,,
16,DeleteRemoteAccessSession,Grants permission to delete a completed remote access session and its results,Write,session*,,
17,DeleteRun,Grants permission to delete a run,Write,run*,,
18,DeleteTestGridProject,Grants permission to delete a desktop testing project,Write,testgrid-project*,,
19,DeleteUpload,Grants permission to delete a user-uploaded file,Write,upload*,,
20,DeleteVPCEConfiguration,Grants permission to delete an Amazon Virtual Private Cloud (VPC) endpoint configuration,Write,vpceconfiguration*,,
21,GetAccountSettings,Grants permission to retrieve the number of unmetered iOS and/or unmetered Android devices purchased by the account,Read,,,
22,GetDevice,Grants permission to retrieve the information of a unique device type,Read,device*,,
23,GetDeviceInstance,Grants permission to retireve the information of a device instance,Read,deviceinstance*,,
24,GetDevicePool,Grants permission to retireve the information of a device pool,Read,devicepool*,,
25,GetDevicePoolCompatibility,Grants permission to retrieve information about the compatibility of a test and/or app with a device pool,Read,devicepool*,,
26,GetDevicePoolCompatibility,Grants permission to retrieve information about the compatibility of a test and/or app with a device pool,Read,upload,,
27,GetInstanceProfile,Grants permission to retireve the information of an instance profile,Read,instanceprofile*,,
28,GetJob,Grants permission to retireve the information of a job,Read,job*,,
29,GetNetworkProfile,Grants permission to retireve the information of a network profile,Read,networkprofile*,,
30,GetOfferingStatus,Grants permission to retrieve the current status and future status of all offerings purchased by an AWS account,Read,,,
31,GetProject,Grants permission to retrieve information about a mobile testing project,Read,project*,,
32,GetRemoteAccessSession,Grants permission to retireve the link to a currently running remote access session,Read,session*,,
33,GetRun,Grants permission to retireve the information of a run,Read,run*,,
34,GetSuite,Grants permission to retireve the information of a testing suite,Read,suite*,,
35,GetTest,Grants permission to retireve the information of a test case,Read,test*,,
36,GetTestGridProject,Grants permission to retrieve information about a desktop testing project,Read,testgrid-project*,,
37,GetTestGridSession,Grants permission to retireve the information of a test grid session,Read,testgrid-project,,
38,GetTestGridSession,Grants permission to retireve the information of a test grid session,Read,testgrid-session,,
39,GetUpload,Grants permission to retireve the information of an uploaded file,Read,upload*,,
40,GetVPCEConfiguration,Grants permission to retireve the information of an Amazon Virtual Private Cloud (VPC) endpoint configuration,Read,vpceconfiguration*,,
41,InstallToRemoteAccessSession,Grants permission to install an application to a device in a remote access session,Write,session*,,
42,InstallToRemoteAccessSession,Grants permission to install an application to a device in a remote access session,Write,upload*,,
43,ListArtifacts,Grants permission to list the artifacts in a project,List,job,,
44,ListArtifacts,Grants permission to list the artifacts in a project,List,run,,
45,ListArtifacts,Grants permission to list the artifacts in a project,List,suite,,
46,ListArtifacts,Grants permission to list the artifacts in a project,List,test,,
47,ListDeviceInstances,Grants permission to list the information of device instances,List,,,
48,ListDevicePools,Grants permission to list the information of device pools,List,project*,,
49,ListDevices,Grants permission to list the information of unique device types,List,,,
50,ListInstanceProfiles,Grants permission to list the information of device instance profiles,List,,,
51,ListJobs,Grants permission to list the information of jobs within a run,List,run*,,
52,ListNetworkProfiles,Grants permission to list the information of network profiles within a project,List,project*,,
53,ListOfferingPromotions,Grants permission to list the offering promotions,List,,,
54,ListOfferingTransactions,"Grants permission to list all of the historical purchases, renewals, and system renewal transactions for an AWS account",List,,,
55,ListOfferings,Grants permission to list the products or offerings that the user can manage through the API,List,,,
56,ListProjects,Grants permission to list the information of mobile testing projects for an AWS account,List,,,
57,ListRemoteAccessSessions,Grants permission to list the information of currently running remote access sessions,List,project*,,
58,ListRuns,Grants permission to list the information of runs within a project,List,project*,,
59,ListSamples,Grants permission to list the information of samples within a project,List,job*,,
60,ListSuites,Grants permission to list the information of testing suites within a job,List,job*,,
61,ListTagsForResource,Grants permission to list the tags of a resource,List,device,,
62,ListTagsForResource,Grants permission to list the tags of a resource,List,deviceinstance,,
63,ListTagsForResource,Grants permission to list the tags of a resource,List,devicepool,,
64,ListTagsForResource,Grants permission to list the tags of a resource,List,instanceprofile,,
65,ListTagsForResource,Grants permission to list the tags of a resource,List,networkprofile,,
66,ListTagsForResource,Grants permission to list the tags of a resource,List,project,,
67,ListTagsForResource,Grants permission to list the tags of a resource,List,run,,
