,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateFailbackClientToRecoveryInstanceForDrs [permission only],Grants permission to get associate failback client to recovery instance,Write,RecoveryInstanceResource*,,
1,BatchCreateVolumeSnapshotGroupForDrs [permission only],Grants permission to batch create volume snapshot group,Write,RecoveryInstanceResource*,,
2,BatchCreateVolumeSnapshotGroupForDrs [permission only],Grants permission to batch create volume snapshot group,Write,SourceServerResource*,,
3,BatchDeleteSnapshotRequestForDrs [permission only],Grants permission to batch delete snapshot request,Write,,,
4,CreateRecoveryInstanceForDrs [permission only],Grants permission to create recovery instance,Write,SourceServerResource*,,
5,CreateRecoveryInstanceForDrs [permission only],Grants permission to create recovery instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateReplicationConfigurationTemplate,Grants permission to create replication configuration template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateSessionForDrs,Grants permission to create a session,Write,,,
8,CreateSourceServerForDrs [permission only],Grants permission to create a source server,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteJob,Grants permission to delete a job,Write,JobResource*,,
10,DeleteRecoveryInstance,Grants permission to delete recovery instance,Write,RecoveryInstanceResource*,,
11,DeleteReplicationConfigurationTemplate,Grants permission to delete replication configuration template,Write,ReplicationConfigurationTemplateResource*,,
12,DeleteSourceServer,Grants permission to delete source server,Write,SourceServerResource*,,
13,DescribeJobLogItems,Grants permission to describe job log items,Read,JobResource*,,
14,DescribeJobs,Grants permission to describe jobs,Read,,,
15,DescribeRecoveryInstances,Grants permission to describe recovery instances,Read,,,ec2:DescribeInstances
16,DescribeRecoverySnapshots,Grants permission to describe recovery snapshots,Read,SourceServerResource*,,
17,DescribeReplicationConfigurationTemplates,Grants permission to describe replication configuration template,Read,,,
18,DescribeReplicationServerAssociationsForDrs [permission only],Grants permission to describe replication server associations,Read,,,
19,DescribeSnapshotRequestsForDrs [permission only],Grants permission to describe snapshot requests,Read,,,
20,DescribeSourceServers,Grants permission to describe source servers,Read,,,
21,DisconnectRecoveryInstance,Grants permission to disconnect recovery instance,Write,RecoveryInstanceResource*,,
22,DisconnectSourceServer,Grants permission to disconnect source server,Write,SourceServerResource*,,
23,GetAgentCommandForDrs [permission only],Grants permission to get agent command,Read,RecoveryInstanceResource*,,
24,GetAgentCommandForDrs [permission only],Grants permission to get agent command,Read,SourceServerResource*,,
25,GetAgentConfirmedResumeInfoForDrs [permission only],Grants permission to get agent confirmed resume info,Read,RecoveryInstanceResource*,,
26,GetAgentConfirmedResumeInfoForDrs [permission only],Grants permission to get agent confirmed resume info,Read,SourceServerResource*,,
27,GetAgentInstallationAssetsForDrs [permission only],Grants permission to get agent installation assets,Read,,,
28,GetAgentReplicationInfoForDrs [permission only],Grants permission to get agent replication info,Read,RecoveryInstanceResource*,,
29,GetAgentReplicationInfoForDrs [permission only],Grants permission to get agent replication info,Read,SourceServerResource*,,
30,GetAgentRuntimeConfigurationForDrs [permission only],Grants permission to get agent runtime configuration,Read,RecoveryInstanceResource*,,
31,GetAgentRuntimeConfigurationForDrs [permission only],Grants permission to get agent runtime configuration,Read,SourceServerResource*,,
32,GetAgentSnapshotCreditsForDrs [permission only],Grants permission to get agent snapshot credits,Read,RecoveryInstanceResource*,,
33,GetAgentSnapshotCreditsForDrs [permission only],Grants permission to get agent snapshot credits,Read,SourceServerResource*,,
34,GetChannelCommandsForDrs [permission only],Grants permission to get channel commands,Read,,,
