,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateQuote [permission only],Grants permission to create a quote,Tagging,quote*,,
1,CreateQuote [permission only],Grants permission to create a quote,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,GetQuote [permission only],Grants permission to describe a quote,Read,quote*,,
3,ListQuotes [permission only],Grants permission to list the quotes in the user account,List,,,
4,ListTagsForResource [permission only],Grants permission to lists tags for an AWS Elemental Appliances and Software resource,Read,quote,,
5,TagResource [permission only],Grants permission to tag an AWS Elemental Appliances and Software resource,Tagging,quote,,
6,TagResource [permission only],Grants permission to tag an AWS Elemental Appliances and Software resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
7,UntagResource [permission only],Grants permission to remove a tag from an AWS Elemental Appliances and Software resource,Tagging,quote,,
8,UntagResource [permission only],Grants permission to remove a tag from an AWS Elemental Appliances and Software resource,Tagging,,aws:TagKeys,
9,UpdateQuote [permission only],Grants permission to modify a quote,Write,quote*,,
