,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateCertificate,Grants permission to associate an AWS Certificate Manager (ACM) Amazon Resource Name (ARN) with AWS Elemental MediaConvert,Write,,,
1,CancelJob,Grants permission to cancel an AWS Elemental MediaConvert job that is waiting in queue,Write,Job*,,
2,CreateJob,Grants permission to create and submit an AWS Elemental MediaConvert job,Write,JobTemplate,,
3,CreateJob,Grants permission to create and submit an AWS Elemental MediaConvert job,Write,Preset,,
4,CreateJob,Grants permission to create and submit an AWS Elemental MediaConvert job,Write,Queue,,
5,CreateJob,Grants permission to create and submit an AWS Elemental MediaConvert job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateJobTemplate,Grants permission to create an AWS Elemental MediaConvert custom job template,Write,Preset,,
7,CreateJobTemplate,Grants permission to create an AWS Elemental MediaConvert custom job template,Write,Queue,,
8,CreateJobTemplate,Grants permission to create an AWS Elemental MediaConvert custom job template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreatePreset,Grants permission to create an AWS Elemental MediaConvert custom output preset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateQueue,Grants permission to create an AWS Elemental MediaConvert job queue,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,DeleteJobTemplate,Grants permission to delete an AWS Elemental MediaConvert custom job template,Write,JobTemplate*,,
12,DeletePolicy,Grants permission to delete an AWS Elemental MediaConvert policy,Write,,,
13,DeletePreset,Grants permission to delete an AWS Elemental MediaConvert custom output preset,Write,Preset*,,
14,DeleteQueue,Grants permission to delete an AWS Elemental MediaConvert job queue,Write,Queue*,,
15,DescribeEndpoints,"Grants permission to subscribe to the AWS Elemental MediaConvert service, by sending a request for an account-specific endpoint. All transcoding requests must be sent to the endpoint that the service returns",List,,,
16,DisassociateCertificate,Grants permission to remove an association between the Amazon Resource Name (ARN) of an AWS Certificate Manager (ACM) certificate and an AWS Elemental MediaConvert resource,Write,,,
17,GetJob,Grants permission to get an AWS Elemental MediaConvert job,Read,Job*,,
18,GetJobTemplate,Grants permission to get an AWS Elemental MediaConvert job template,Read,JobTemplate*,,
19,GetPolicy,Grants permission to get an AWS Elemental MediaConvert policy,Read,,,
20,GetPreset,Grants permission to get an AWS Elemental MediaConvert output preset,Read,Preset*,,
21,GetQueue,Grants permission to get an AWS Elemental MediaConvert job queue,Read,Queue*,,
22,ListJobTemplates,Grants permission to list AWS Elemental MediaConvert job templates,List,,,
23,ListJobs,Grants permission to list AWS Elemental MediaConvert jobs,List,Queue,,
24,ListPresets,Grants permission to list AWS Elemental MediaConvert output presets,List,,,
25,ListQueues,Grants permission to list AWS Elemental MediaConvert job queues,List,,,
26,ListTagsForResource,"Grants permission to retrieve the tags for a MediaConvert queue, preset, or job template",Read,JobTemplate,,
27,ListTagsForResource,"Grants permission to retrieve the tags for a MediaConvert queue, preset, or job template",Read,Preset,,
28,ListTagsForResource,"Grants permission to retrieve the tags for a MediaConvert queue, preset, or job template",Read,Queue,,
29,PutPolicy,Grants permission to put an AWS Elemental MediaConvert policy,Write,,,
30,TagResource,"Grants permission to add tags to a MediaConvert queue, preset, or job template",Tagging,JobTemplate,,
31,TagResource,"Grants permission to add tags to a MediaConvert queue, preset, or job template",Tagging,Preset,,
32,TagResource,"Grants permission to add tags to a MediaConvert queue, preset, or job template",Tagging,Queue,,
33,TagResource,"Grants permission to add tags to a MediaConvert queue, preset, or job template",Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
34,UntagResource,"Grants permission to remove tags from a MediaConvert queue, preset, or job template",Tagging,JobTemplate,,
35,UntagResource,"Grants permission to remove tags from a MediaConvert queue, preset, or job template",Tagging,Preset,,
36,UntagResource,"Grants permission to remove tags from a MediaConvert queue, preset, or job template",Tagging,Queue,,
37,UntagResource,"Grants permission to remove tags from a MediaConvert queue, preset, or job template",Tagging,,aws:TagKeys,
38,UpdateJobTemplate,Grants permission to update an AWS Elemental MediaConvert custom job template,Write,JobTemplate*,,
39,UpdateJobTemplate,Grants permission to update an AWS Elemental MediaConvert custom job template,Write,Preset,,
40,UpdateJobTemplate,Grants permission to update an AWS Elemental MediaConvert custom job template,Write,Queue,,
41,UpdatePreset,Grants permission to update an AWS Elemental MediaConvert custom output preset,Write,Preset*,,
42,UpdateQueue,Grants permission to update an AWS Elemental MediaConvert job queue,Write,Queue*,,
