,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateExperimentTemplate,Grants permission to create an AWS FIS experiment template,Write,action*,,
1,CreateExperimentTemplate,Grants permission to create an AWS FIS experiment template,Write,experiment-template*,,
2,CreateExperimentTemplate,Grants permission to create an AWS FIS experiment template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,DeleteExperimentTemplate,Grants permission to delete the AWS FIS experiment template,Write,experiment-template*,,
4,GetAction,Grants permission to retrieve an AWS FIS action,Read,action*,,
5,GetAction,Grants permission to retrieve an AWS FIS action,Read,,aws:ResourceTag/${TagKey},
6,GetExperiment,Grants permission to retrieve an AWS FIS experiment,Read,experiment*,,
7,GetExperiment,Grants permission to retrieve an AWS FIS experiment,Read,,aws:ResourceTag/${TagKey},
8,GetExperimentTemplate,Grants permission to retrieve an AWS FIS Experiment Template,Read,experiment-template*,,
9,GetExperimentTemplate,Grants permission to retrieve an AWS FIS Experiment Template,Read,,aws:ResourceTag/${TagKey},
10,GetTargetResourceType,Grants permission to get information about the specified resource type,Read,,,
11,InjectApiInternalError,Grants permission to inject an API internal error on the provided AWS service from an FIS Experiment,Write,experiment*,,
12,InjectApiInternalError,Grants permission to inject an API internal error on the provided AWS service from an FIS Experiment,Write,,fis:Service  fis:Operations  fis:Percentage  fis:Targets,
13,InjectApiThrottleError,Grants permission to inject an API throttle error on the provided AWS service from an FIS Experiment,Write,experiment*,,
14,InjectApiThrottleError,Grants permission to inject an API throttle error on the provided AWS service from an FIS Experiment,Write,,fis:Service  fis:Operations  fis:Percentage  fis:Targets,
15,InjectApiUnavailableError,Grants permission to inject an API unavailable error on the provided AWS service from an FIS Experiment,Write,experiment*,,
16,InjectApiUnavailableError,Grants permission to inject an API unavailable error on the provided AWS service from an FIS Experiment,Write,,fis:Service  fis:Operations  fis:Percentage  fis:Targets,
17,ListActions,Grants permission to list all available AWS FIS actions,List,,,
18,ListExperimentTemplates,Grants permission to list all available AWS FIS experiment templates,List,,,
19,ListExperiments,Grants permission to list all available AWS FIS experiments,List,,,
20,ListTagsForResource,Grants permission to list the tags for an AWS FIS resource,Read,action,,
21,ListTagsForResource,Grants permission to list the tags for an AWS FIS resource,Read,experiment,,
22,ListTagsForResource,Grants permission to list the tags for an AWS FIS resource,Read,experiment-template,,
23,ListTargetResourceTypes,Grants permission to list the resource types,List,,,
24,StartExperiment,Grants permission to run an AWS FIS experiment,Write,experiment*,,iam:CreateServiceLinkedRole
25,StartExperiment,Grants permission to run an AWS FIS experiment,Write,experiment-template*,,
26,StartExperiment,Grants permission to run an AWS FIS experiment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,StopExperiment,Grants permission to stop an AWS FIS experiment,Write,experiment*,,
28,TagResource,Grants permission to tag AWS FIS resources,Tagging,action,,
29,TagResource,Grants permission to tag AWS FIS resources,Tagging,experiment,,
30,TagResource,Grants permission to tag AWS FIS resources,Tagging,experiment-template,,
31,TagResource,Grants permission to tag AWS FIS resources,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
32,UntagResource,Grants permission to untag AWS FIS resources,Tagging,action,,
33,UntagResource,Grants permission to untag AWS FIS resources,Tagging,experiment,,
34,UntagResource,Grants permission to untag AWS FIS resources,Tagging,experiment-template,,
35,UntagResource,Grants permission to untag AWS FIS resources,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
36,UpdateExperimentTemplate,Grants permission to update the specified AWS FIS experiment template,Write,experiment-template*,,
37,UpdateExperimentTemplate,Grants permission to update the specified AWS FIS experiment template,Write,action,,
38,UpdateExperimentTemplate,Grants permission to update the specified AWS FIS experiment template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
