,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelContact,Grants permission to cancel a contact,Write,Contact*,,
1,CreateConfig,Grants permission to create a configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateDataflowEndpointGroup,Grants permission to create a data flow endpoint group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateMissionProfile,Grants permission to create a mission profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteConfig,Grants permission to delete a config,Write,Config*,,
5,DeleteDataflowEndpointGroup,Grants permission to delete a data flow endpoint group,Write,DataflowEndpointGroup*,,
6,DeleteMissionProfile,Grants permission to delete a mission profile,Write,MissionProfile*,,
7,DescribeContact,Grants permission to describe a contact,Read,Contact*,,
8,GetConfig,Grants permission to return a configuration,Read,Config*,,
9,GetDataflowEndpointGroup,Grants permission to return a data flow endpoint group,Read,DataflowEndpointGroup*,,
10,GetMinuteUsage,Grants permission to return minutes usage,Read,,,
11,GetMissionProfile,Grants permission to retrieve a mission profile,Read,MissionProfile*,,
12,GetSatellite,Grants permission to return information about a satellite,Read,Satellite*,,
13,ListConfigs,Grants permission to return a list of past configurations,List,,,
14,ListContacts,Grants permission to return a list of contacts,List,,,
15,ListDataflowEndpointGroups,Grants permission to list data flow endpoint groups,List,,,
16,ListGroundStations,Grants permission to list ground stations,List,,,
17,ListMissionProfiles,Grants permission to return a list of mission profiles,List,,,
18,ListSatellites,Grants permission to list satellites,List,,,
19,ListTagsForResource,Grants permission to list tags for a resource,Read,Config,,
20,ListTagsForResource,Grants permission to list tags for a resource,Read,Contact,,
21,ListTagsForResource,Grants permission to list tags for a resource,Read,DataflowEndpointGroup,,
22,ListTagsForResource,Grants permission to list tags for a resource,Read,MissionProfile,,
23,ReserveContact,Grants permission to reserve a contact,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,TagResource,Grants permission to assign a resource tag,Tagging,Config,,
25,TagResource,Grants permission to assign a resource tag,Tagging,Contact,,
26,TagResource,Grants permission to assign a resource tag,Tagging,DataflowEndpointGroup,,
27,TagResource,Grants permission to assign a resource tag,Tagging,MissionProfile,,
28,TagResource,Grants permission to assign a resource tag,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
29,UntagResource,Grants permission to deassign a resource tag,Tagging,Config,,
30,UntagResource,Grants permission to deassign a resource tag,Tagging,Contact,,
31,UntagResource,Grants permission to deassign a resource tag,Tagging,DataflowEndpointGroup,,
32,UntagResource,Grants permission to deassign a resource tag,Tagging,MissionProfile,,
33,UntagResource,Grants permission to deassign a resource tag,Tagging,,aws:TagKeys,
34,UpdateConfig,Grants permission to update a configuration,Write,Config*,,
35,UpdateMissionProfile,Grants permission to update a mission profile,Write,MissionProfile*,,
