,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,DescribeAffectedAccountsForOrganization,Grants permission to retrieve a list of accounts that have been affected by the specified events in organization,Read,,,organizations:ListAccounts
1,DescribeAffectedEntities,Grants permission to retrieve a list of entities that have been affected by the specified events,Read,event*,,
2,DescribeAffectedEntities,Grants permission to retrieve a list of entities that have been affected by the specified events,Read,,health:eventTypeCode  health:service,
3,DescribeAffectedEntitiesForOrganization,Grants permission to retrieve a list of entities that have been affected by the specified events and accounts in organization,Read,,,organizations:ListAccounts
4,DescribeEntityAggregates,Grants permission to retrieve the number of entities that are affected by each of the specified events,Read,,,
5,DescribeEventAggregates,"Grants permission to retrieve the number of events of each event type (issue, scheduled change, and account notification)",Read,,,
6,DescribeEventDetails,Grants permission to retrieve detailed information about one or more specified events,Read,event*,,
7,DescribeEventDetails,Grants permission to retrieve detailed information about one or more specified events,Read,,health:eventTypeCode  health:service,
8,DescribeEventDetailsForOrganization,Grants permission to retrieve detailed information about one or more specified events for provided accounts in organization,Read,,,organizations:ListAccounts
9,DescribeEventTypes,Grants permission to retrieve the event types that meet the specified filter criteria,Read,,,
10,DescribeEvents,Grants permission to retrieve information about events that meet the specified filter criteria,Read,,,
11,DescribeEventsForOrganization,Grants permission to retrieve information about events that meet the specified filter criteria in organization,Read,,,organizations:ListAccounts
12,DescribeHealthServiceStatusForOrganization,Grants permission to retrieve the status of enabling or disabling the Organizational View feature,Read,,,organizations:ListAccounts
13,DisableHealthServiceAccessForOrganization,Grants permission to disable the Organizational View feature,Permissions management,,,organizations:DisableAWSServiceAccess  organizations:ListAccounts
14,EnableHealthServiceAccessForOrganization,Grants permission to enable the Organizational View feature,Permissions management,,,iam:CreateServiceLinkedRole  organizations:EnableAWSServiceAccess  organizations:ListAccounts
