,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ApplyArchiveRule,Grants permission to apply an archive rule,Write,Analyzer*,,
1,CancelPolicyGeneration,Grants permission to cancel a policy generation,Write,,,
2,CreateAccessPreview,Grants permission to create an access preview for the specified analyzer,Write,Analyzer*,,
3,CreateAnalyzer,Grants permission to create an analyzer,Write,Analyzer*,,iam:CreateServiceLinkedRole
4,CreateAnalyzer,Grants permission to create an analyzer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateArchiveRule,Grants permission to create an archive rule for the specified analyzer,Write,ArchiveRule*,,
6,DeleteAnalyzer,Grants permission to delete the specified analyzer,Write,Analyzer*,,
7,DeleteArchiveRule,Grants permission to delete archive rules for the specified analyzer,Write,ArchiveRule*,,
8,GetAccessPreview,Grants permission to retrieve information about an access preview,Read,Analyzer*,,
9,GetAnalyzedResource,Grants permission to retrieve information about an analyzed resource,Read,Analyzer*,,
10,GetAnalyzer,Grants permission to retrieve information about analyzers,Read,Analyzer*,,
11,GetAnalyzer,Grants permission to retrieve information about analyzers,Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,GetArchiveRule,Grants permission to retrieve information about archive rules for the specified analyzer,Read,ArchiveRule*,,
13,GetFinding,Grants permission to retrieve findings,Read,Analyzer*,,
14,GetGeneratedPolicy,Grants permission to retrieve a policy that was generated using StartPolicyGeneration,Read,,,
15,ListAccessPreviewFindings,Grants permission to retrieve a list of findings from an access preview,Read,Analyzer*,,
16,ListAccessPreviews,Grants permission to retrieve a list of access previews,List,Analyzer*,,
17,ListAnalyzedResources,Grants permission to retrieve a list of resources that have been analyzed,Read,Analyzer*,,
18,ListAnalyzers,Grants permission to retrieves a list of analyzers,List,,,
19,ListArchiveRules,Grants permission to retrieve a list of archive rules from an analyzer,List,Analyzer*,,
20,ListFindings,Grants permission to retrieve a list of findings from an analyzer,Read,Analyzer*,,
21,ListPolicyGenerations,Grants permission to list all the recently started policy generations,Read,,,
22,ListTagsForResource,Grants permission to retrieve a list of tags applied to a resource,Read,Analyzer,,
23,StartPolicyGeneration,Grants permission to start a policy generation,Write,,,iam:PassRole
24,StartResourceScan,Grants permission to start a scan of the policies applied to a resource,Write,Analyzer*,,
25,TagResource,Grants permission to add a tag to a resource,Tagging,Analyzer,,
26,TagResource,Grants permission to add a tag to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,UntagResource,Grants permission to remove a tag from a resource,Tagging,Analyzer,,
28,UntagResource,Grants permission to remove a tag from a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,UpdateArchiveRule,Grants permission to modify an archive rule,Write,ArchiveRule*,,
30,UpdateFindings,Grants permission to modify findings,Write,Analyzer*,,
31,ValidatePolicy,Grants permission to validate a policy,Read,,,
