,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateSyncFilter,Grants permission to create a sync filter on the sync profile,Write,SyncProfileResource*,,
1,CreateSyncProfile,Grants permission to create a sync profile for the source,Write,,,ds:AuthorizeApplication
2,CreateSyncTarget,Grants permission to create a sync target for the source,Write,SyncProfileResource*,,
3,DeleteSyncFilter,Grants permission to delete a sync filter on the sync profile,Write,SyncProfileResource*,,
4,DeleteSyncProfile,Grants permission to delete a sync profile on the source,Write,SyncProfileResource*,,ds:UnauthorizeApplication
5,DeleteSyncTarget,Grants permission to delete a sync target on the source,Write,SyncProfileResource*,,
6,DeleteSyncTarget,Grants permission to delete a sync target on the source,Write,SyncTargetResource*,,
7,GetSyncProfile,Grants permission to retrieve a sync profile using sync profile name,Read,SyncProfileResource*,,
8,GetSyncTarget,Grants permission to retrieve a sync target on the sync profile,Read,SyncProfileResource*,,
9,GetSyncTarget,Grants permission to retrieve a sync target on the sync profile,Read,SyncTargetResource*,,
10,ListSyncFilters,Grants permission to list the sync filters on the sync profile,List,SyncProfileResource*,,
11,StartSync,Grants permission to start a synchronization process or to restart a synchronization that was previously stopped,Write,SyncProfileResource*,,
12,StopSync,Grants permission to stop any planned synchronizations in the synchronization schedule from starting,Write,SyncProfileResource*,,
13,UpdateSyncTarget,Grants permission to update a sync target on the sync profile,Write,SyncProfileResource*,,
14,UpdateSyncTarget,Grants permission to update a sync target on the sync profile,Write,SyncTargetResource*,,
