,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateDeviceWithPlacement,Grants permission to associate a device to a placement,Write,project*,,
1,ClaimDevicesByClaimCode,Grants permission to claim a batch of devices with a claim code,Read,,,
2,CreatePlacement,Grants permission to create a new placement in a project,Write,project*,,
3,CreateProject,Grants permission to create a new project,Write,project*,,
4,CreateProject,Grants permission to create a new project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeletePlacement,Grants permission to delete a placement from a project,Write,project*,,
6,DeleteProject,Grants permission to delete a project,Write,project*,,
7,DescribeDevice,Grants permission to describe a device,Read,device*,,
8,DescribePlacement,Grants permission to describe a placement,Read,project*,,
9,DescribeProject,Grants permission to describe a project,Read,project*,,
10,DisassociateDeviceFromPlacement,Grants permission to disassociate a device from a placement,Write,project*,,
11,FinalizeDeviceClaim,Grants permission to finalize a device claim,Read,device*,,
12,FinalizeDeviceClaim,Grants permission to finalize a device claim,Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,GetDeviceMethods,Grants permission to get available methods of a device,Read,device*,,
14,GetDevicesInPlacement,Grants permission to get devices associated to a placement,Read,project*,,
15,InitiateDeviceClaim,Grants permission to initialize a device claim,Read,device*,,
16,InvokeDeviceMethod,Grants permission to invoke a device method,Write,device*,,
17,ListDeviceEvents,Grants permission to list past events published by a device,Read,device*,,
18,ListDevices,Grants permission to list all devices,List,,,
19,ListPlacements,Grants permission to list placements in a project,Read,project*,,
20,ListProjects,Grants permission to list all projects,List,,,
21,ListTagsForResource,Grants permission to lists the tags for a resource,Read,device,,
22,ListTagsForResource,Grants permission to lists the tags for a resource,Read,project,,
23,TagResource,Grants permission to add or modify the tags of a resource,Tagging,device,,
24,TagResource,Grants permission to add or modify the tags of a resource,Tagging,project,,
25,TagResource,Grants permission to add or modify the tags of a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,UnclaimDevice,Grants permission to unclaim a device,Read,device*,,
27,UntagResource,Grants permission to remove the given tags (metadata) from a resource,Tagging,device,,
28,UntagResource,Grants permission to remove the given tags (metadata) from a resource,Tagging,project,,
29,UntagResource,Grants permission to remove the given tags (metadata) from a resource,Tagging,,aws:TagKeys,
30,UpdateDeviceState,Grants permission to update device state,Write,device*,,
31,UpdatePlacement,Grants permission to update a placement,Write,project*,,
32,UpdateProject,Update a project,Write,project*,,
