,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchPutMessage,Puts a batch of messages into the specified channel,Write,channel*,,
1,CancelPipelineReprocessing,Cancels reprocessing for the specified pipeline,Write,pipeline*,,
2,CreateChannel,Creates a channel,Write,channel*,,
3,CreateChannel,Creates a channel,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateDataset,Creates a dataset,Write,dataset*,,
5,CreateDataset,Creates a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateDatasetContent,Generates content from the specified dataset (by executing the dataset actions),Write,dataset*,,
7,CreateDatastore,Creates a datastore,Write,datastore*,,
8,CreateDatastore,Creates a datastore,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreatePipeline,Creates a pipeline,Write,pipeline*,,
10,CreatePipeline,Creates a pipeline,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,DeleteChannel,Deletes the specified channel,Write,channel*,,
12,DeleteDataset,Deletes the specified dataset,Write,dataset*,,
13,DeleteDatasetContent,Deletes the content of the specified dataset,Write,dataset*,,
14,DeleteDatastore,Deletes the specified datastore,Write,datastore*,,
15,DeletePipeline,Deletes the specified pipeline,Write,pipeline*,,
16,DescribeChannel,Describes the specified channel,Read,channel*,,
17,DescribeDataset,Describes the specified dataset,Read,dataset*,,
18,DescribeDatastore,Describes the specified datastore,Read,datastore*,,
19,DescribeLoggingOptions,Describes logging options for the the account,Read,,,
20,DescribePipeline,Describes the specified pipeline,Read,pipeline*,,
21,GetDatasetContent,Gets the content of the specified dataset,Read,dataset*,,
22,ListChannels,Lists the channels for the account,List,,,
23,ListDatasetContents,Lists information about dataset contents that have been created,List,dataset*,,
24,ListDatasets,Lists the datasets for the account,List,,,
25,ListDatastores,Lists the datastores for the account,List,,,
26,ListPipelines,Lists the pipelines for the account,List,,,
27,ListTagsForResource,Lists the tags (metadata) which you have assigned to the resource,Read,channel,,
28,ListTagsForResource,Lists the tags (metadata) which you have assigned to the resource,Read,dataset,,
29,ListTagsForResource,Lists the tags (metadata) which you have assigned to the resource,Read,datastore,,
30,ListTagsForResource,Lists the tags (metadata) which you have assigned to the resource,Read,pipeline,,
31,PutLoggingOptions,Puts logging options for the the account,Write,,,
32,RunPipelineActivity,Runs the specified pipeline activity,Read,,,
33,SampleChannelData,Samples the specified channel's data,Read,channel*,,
34,StartPipelineReprocessing,Starts reprocessing for the specified pipeline,Write,pipeline*,,
35,TagResource,Adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,channel,,
36,TagResource,Adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,dataset,,
37,TagResource,Adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,datastore,,
38,TagResource,Adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,pipeline,,
39,TagResource,Adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
40,UntagResource,Removes the given tags (metadata) from the resource,Tagging,channel,,
41,UntagResource,Removes the given tags (metadata) from the resource,Tagging,dataset,,
42,UntagResource,Removes the given tags (metadata) from the resource,Tagging,datastore,,
43,UntagResource,Removes the given tags (metadata) from the resource,Tagging,pipeline,,
44,UntagResource,Removes the given tags (metadata) from the resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
45,UpdateChannel,Updates the specified channel,Write,channel*,,
46,UpdateDataset,Updates the specified dataset,Write,dataset*,,
47,UpdateDatastore,Updates the specified datastore,Write,datastore*,,
48,UpdatePipeline,Updates the specified pipeline,Write,pipeline*,,
