,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchAcknowledgeAlarm,Grants permission to send one or more acknowledge action requests to AWS IoT Events,Write,alarmModel*,,
1,BatchDeleteDetector,Grants permission to delete a detector instance within the AWS IoT Events system,Write,detectorModel*,,
2,BatchDisableAlarm,Grants permission to disable one or more alarm instances,Write,alarmModel*,,
3,BatchEnableAlarm,Grants permission to enable one or more alarm instances,Write,alarmModel*,,
4,BatchPutMessage,Grants permission to send a set of messages to the AWS IoT Events system,Write,input*,,
5,BatchResetAlarm,Grants permission to reset one or more alarm instances,Write,alarmModel*,,
6,BatchSnoozeAlarm,Grants permission to change one or more alarm instances to the snooze mode,Write,alarmModel*,,
7,BatchUpdateDetector,Grants permission to update a detector instance within the AWS IoT Events system,Write,detectorModel*,,
8,CreateAlarmModel,Grants permission to create an alarm model to monitor an AWS IoT Events input attribute or an AWS IoT SiteWise asset property,Write,alarmModel*,,
9,CreateAlarmModel,Grants permission to create an alarm model to monitor an AWS IoT Events input attribute or an AWS IoT SiteWise asset property,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateDetectorModel,Grants permission to create a detector model to monitor an AWS IoT Events input attribute,Write,detectorModel*,,
11,CreateDetectorModel,Grants permission to create a detector model to monitor an AWS IoT Events input attribute,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateInput,Grants permission to create an Input in IotEvents,Write,input*,,
13,CreateInput,Grants permission to create an Input in IotEvents,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,DeleteAlarmModel,Grants permission to delete an alarm model,Write,alarmModel*,,
15,DeleteDetectorModel,Grants permission to delete a detector model,Write,detectorModel*,,
16,DeleteInput,Grants permission to delete an input,Write,input*,,
17,DescribeAlarm,Grants permission to retrieve information about an alarm instance,Read,alarmModel*,,
18,DescribeAlarmModel,Grants permission to retrieve information about an alarm model,Read,alarmModel*,,
19,DescribeDetector,Grants permission to retriev information about a detector instance,Read,detectorModel*,,
20,DescribeDetectorModel,Grants permission to retrieve information about a detector model,Read,detectorModel*,,
21,DescribeDetectorModelAnalysis,Grants permission to retrieve the detector model analysis information,Read,,,
22,DescribeInput,Grants permission to retrieve an information about Input,Read,input*,,
23,DescribeLoggingOptions,Grants permission to retrieve the current settings of the AWS IoT Events logging options,Read,,,
24,GetDetectorModelAnalysisResults,Grants permission to retrieve the detector model analysis results,Read,,,
25,ListAlarmModelVersions,Grants permission to list all the versions of an alarm model,List,alarmModel*,,
26,ListAlarmModels,Grants permission to list the alarm models that you created,List,,,
27,ListAlarms,Grants permission to retrieve information about all alarm instances per alarmModel,List,alarmModel*,,
28,ListDetectorModelVersions,Grants permission to list all the versions of a detector model,List,detectorModel*,,
29,ListDetectorModels,Grants permission to list the detector models that you created,List,,,
30,ListDetectors,Grants permission to retrieve information about all detector instances per detectormodel,List,detectorModel*,,
31,ListInputRoutings,Grants permission to list one or more input routings,List,,,
32,ListInputs,Grants permission to lists the inputs you have created,List,,,
33,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,alarmModel,,
34,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,detectorModel,,
35,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,input,,
36,PutLoggingOptions,Grants permission to set or update the AWS IoT Events logging options,Write,,,
37,StartDetectorModelAnalysis,Grants permission to start the detector model analysis,Write,,,
38,TagResource,Grants permission to adds to or modifies the tags of the given resource.Tags are metadata which can be used to manage a resource,Tagging,alarmModel,,
39,TagResource,Grants permission to adds to or modifies the tags of the given resource.Tags are metadata which can be used to manage a resource,Tagging,detectorModel,,
40,TagResource,Grants permission to adds to or modifies the tags of the given resource.Tags are metadata which can be used to manage a resource,Tagging,input,,
41,TagResource,Grants permission to adds to or modifies the tags of the given resource.Tags are metadata which can be used to manage a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
42,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,alarmModel,,
43,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,detectorModel,,
44,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,input,,
45,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,,aws:TagKeys,
46,UpdateAlarmModel,Grants permission to update an alarm model,Write,alarmModel*,,
47,UpdateDetectorModel,Grants permission to update a detector model,Write,detectorModel*,,
48,UpdateInput,Grants permission to update an input,Write,input*,,
49,UpdateInputRouting,Grants permission to update input routing,Write,input*,,
