,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateAssets,Grants permission to associate a child asset with a parent asset through a hierarchy,Write,asset*,,
1,AssociateTimeSeriesToAssetProperty,Grants permission to associate a time series with an asset property,Write,asset*,,
2,AssociateTimeSeriesToAssetProperty,Grants permission to associate a time series with an asset property,Write,time-series*,,
3,BatchAssociateProjectAssets,Grants permission to associate assets to a project,Write,project*,,
4,BatchDisassociateProjectAssets,Grants permission to disassociate assets from a project,Write,project*,,
5,BatchGetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for multiple asset properties,Read,asset,,
6,BatchGetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for multiple asset properties,Read,time-series,,
7,BatchGetAssetPropertyValue,Grants permission to retrieve the latest value for multiple asset properties,Read,asset,,
8,BatchGetAssetPropertyValue,Grants permission to retrieve the latest value for multiple asset properties,Read,time-series,,
9,BatchGetAssetPropertyValueHistory,Grants permission to retrieve the value history for multiple asset properties,Read,asset,,
10,BatchGetAssetPropertyValueHistory,Grants permission to retrieve the value history for multiple asset properties,Read,time-series,,
11,BatchPutAssetPropertyValue,Grants permission to put property values for asset properties,Write,asset,,
12,BatchPutAssetPropertyValue,Grants permission to put property values for asset properties,Write,time-series,,
13,CreateAccessPolicy,Grants permission to create an access policy for a portal or a project,Write,portal,,
14,CreateAccessPolicy,Grants permission to create an access policy for a portal or a project,Write,project,,
15,CreateAccessPolicy,Grants permission to create an access policy for a portal or a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateAsset,Grants permission to create an asset from an asset model,Write,asset-model*,,
17,CreateAsset,Grants permission to create an asset from an asset model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateAssetModel,Grants permission to create an asset model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateDashboard,Grants permission to create a dashboard in a project,Write,project*,,
20,CreateDashboard,Grants permission to create a dashboard in a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateGateway,Grants permission to create a gateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,CreatePortal,Grants permission to create a portal,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,sso:CreateManagedApplicationInstance  sso:DescribeRegisteredRegions
23,CreateProject,Grants permission to create a project in a portal,Write,portal*,,
24,CreateProject,Grants permission to create a project in a portal,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,DeleteAccessPolicy,Grants permission to delete an access policy,Write,access-policy*,,
26,DeleteAsset,Grants permission to delete an asset,Write,asset*,,
27,DeleteAssetModel,Grants permission to delete an asset model,Write,asset-model*,,
28,DeleteDashboard,Grants permission to delete a dashboard,Write,dashboard*,,
29,DeleteGateway,Grants permission to delete a gateway,Write,gateway*,,
30,DeletePortal,Grants permission to delete a portal,Write,portal*,,sso:DeleteManagedApplicationInstance
31,DeleteProject,Grants permission to delete a project,Write,project*,,
32,DeleteTimeSeries,Grants permission to delete a time series,Write,asset,,
33,DeleteTimeSeries,Grants permission to delete a time series,Write,time-series,,
34,DescribeAccessPolicy,Grants permission to describe an access policy,Read,access-policy*,,
35,DescribeAsset,Grants permission to describe an asset,Read,asset*,,
36,DescribeAssetModel,Grants permission to describe an asset model,Read,asset-model*,,
37,DescribeAssetProperty,Grants permission to describe an asset property,Read,asset*,,
38,DescribeDashboard,Grants permission to describe a dashboard,Read,dashboard*,,
39,DescribeDefaultEncryptionConfiguration,Grants permission to describe the default encryption configuration for the AWS account,Read,,,
40,DescribeGateway,Grants permission to describe a gateway,Read,gateway*,,
41,DescribeGatewayCapabilityConfiguration,Grants permission to describe a capability configuration for a gateway,Read,gateway*,,
42,DescribeLoggingOptions,Grants permission to describe logging options for the AWS account,Read,,,
43,DescribePortal,Grants permission to describe a portal,Read,portal*,,
44,DescribeProject,Grants permission to describe a project,Read,project*,,
45,DescribeStorageConfiguration,Grants permission to describe the storage configuration for the AWS account,Read,,,
46,DescribeTimeSeries,Grants permission to describe a time series,Read,asset,,
47,DescribeTimeSeries,Grants permission to describe a time series,Read,time-series,,
48,DisassociateAssets,Grants permission to disassociate a child asset from a parent asset by a hierarchy,Write,asset*,,
49,DisassociateTimeSeriesFromAssetProperty,Grants permission to disassociate a time series from an asset property,Write,asset*,,
50,DisassociateTimeSeriesFromAssetProperty,Grants permission to disassociate a time series from an asset property,Write,time-series*,,
51,GetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for an asset property,Read,asset,,
52,GetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for an asset property,Read,time-series,,
53,GetAssetPropertyValue,Grants permission to retrieve the latest value for an asset property,Read,asset,,
54,GetAssetPropertyValue,Grants permission to retrieve the latest value for an asset property,Read,time-series,,
55,GetAssetPropertyValueHistory,Grants permission to retrieve the value history for an asset property,Read,asset,,
56,GetAssetPropertyValueHistory,Grants permission to retrieve the value history for an asset property,Read,time-series,,
57,GetInterpolatedAssetPropertyValues,Grants permission to retrieve interpolated values for an asset property,Read,asset,,
58,GetInterpolatedAssetPropertyValues,Grants permission to retrieve interpolated values for an asset property,Read,time-series,,
59,ListAccessPolicies,Grants permission to list all access policies for an identity or a resource,List,portal,,
60,ListAccessPolicies,Grants permission to list all access policies for an identity or a resource,List,project,,
61,ListAssetModels,Grants permission to list all asset models,List,,,
62,ListAssetRelationships,Grants permission to list the asset relationship graph for an asset,List,asset*,,
63,ListAssets,Grants permission to list all assets,List,asset-model,,
64,ListAssociatedAssets,Grants permission to list all assets associated with an asset through a hierarchy,List,asset*,,
65,ListDashboards,Grants permission to list all dashboards in a project,List,project*,,
66,ListGateways,Grants permission to list all gateways,List,,,
67,ListPortals,Grants permission to list all portals,List,,,
68,ListProjectAssets,Grants permission to list all assets associated with a project,List,project*,,
69,ListProjects,Grants permission to list all projects in a portal,List,portal*,,
70,ListTagsForResource,Grants permission to list all tags for a resource,Read,access-policy,,
71,ListTagsForResource,Grants permission to list all tags for a resource,Read,asset,,
72,ListTagsForResource,Grants permission to list all tags for a resource,Read,asset-model,,
73,ListTagsForResource,Grants permission to list all tags for a resource,Read,dashboard,,
74,ListTagsForResource,Grants permission to list all tags for a resource,Read,gateway,,
75,ListTagsForResource,Grants permission to list all tags for a resource,Read,portal,,
