,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelKeyDeletion,Controls permission to cancel the scheduled deletion of an AWS KMS key,Write,key*,,
1,CancelKeyDeletion,Controls permission to cancel the scheduled deletion of an AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
2,ConnectCustomKeyStore,Controls permission to connect or reconnect a custom key store to its associated AWS CloudHSM cluster,Write,,kms:CallerAccount,
3,CreateAlias,Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys,Write,alias*,,
4,CreateAlias,Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys,Write,key*,,
5,CreateAlias,Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys,Write,,kms:CallerAccount  kms:ViaService,
6,CreateCustomKeyStore,Controls permission to create a custom key store that is associated with an AWS CloudHSM cluster that you own and manage,Write,,kms:CallerAccount,cloudhsm:DescribeClusters  iam:CreateServiceLinkedRole
7,CreateGrant,Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy,Permissions management,key*,,
8,CreateGrant,Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy,Permissions management,,kms:CallerAccount  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:GrantConstraintType  kms:GranteePrincipal  kms:GrantIsForAWSResource  kms:GrantOperations  kms:RetiringPrincipal  kms:ViaService,
9,CreateKey,Controls permission to create an AWS KMS key that can be used to protect data keys and other sensitive information,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  kms:BypassPolicyLockoutSafetyCheck  kms:CallerAccount  kms:KeySpec  kms:KeyUsage  kms:KeyOrigin  kms:MultiRegion  kms:MultiRegionKeyType  kms:ViaService,iam:CreateServiceLinkedRole  kms:PutKeyPolicy  kms:TagResource
10,Decrypt,Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key,Write,key*,,
11,Decrypt,Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RecipientAttestation:ImageSha384  kms:RequestAlias  kms:ViaService,
12,DeleteAlias,Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys,Write,alias*,,
13,DeleteAlias,Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys,Write,key*,,
14,DeleteAlias,Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys,Write,,kms:CallerAccount  kms:ViaService,
15,DeleteCustomKeyStore,Controls permission to delete a custom key store,Write,,kms:CallerAccount,
16,DeleteImportedKeyMaterial,Controls permission to delete cryptographic material that you imported into an AWS KMS key. This action makes the key unusable,Write,key*,,
17,DeleteImportedKeyMaterial,Controls permission to delete cryptographic material that you imported into an AWS KMS key. This action makes the key unusable,Write,,kms:CallerAccount  kms:ViaService,
18,DescribeCustomKeyStores,Controls permission to view detailed information about custom key stores in the account and region,Read,,kms:CallerAccount,
19,DescribeKey,Controls permission to view detailed information about an AWS KMS key,Read,key*,,
20,DescribeKey,Controls permission to view detailed information about an AWS KMS key,Read,,kms:CallerAccount  kms:RequestAlias  kms:ViaService,
21,DisableKey,"Controls permission to disable an AWS KMS key, which prevents it from being used in cryptographic operations",Write,key*,,
22,DisableKey,"Controls permission to disable an AWS KMS key, which prevents it from being used in cryptographic operations",Write,,kms:CallerAccount  kms:ViaService,
23,DisableKeyRotation,Controls permission to disable automatic rotation of a customer managed AWS KMS key,Write,key*,,
24,DisableKeyRotation,Controls permission to disable automatic rotation of a customer managed AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
25,DisconnectCustomKeyStore,Controls permission to disconnect the custom key store from its associated AWS CloudHSM cluster,Write,,kms:CallerAccount,
26,EnableKey,Controls permission to change the state of an AWS KMS key to enabled. This allows the KMS key to be used in cryptographic operations,Write,key*,,
27,EnableKey,Controls permission to change the state of an AWS KMS key to enabled. This allows the KMS key to be used in cryptographic operations,Write,,kms:CallerAccount  kms:ViaService,
28,EnableKeyRotation,Controls permission to enable automatic rotation of the cryptographic material in an AWS KMS key,Write,key*,,
29,EnableKeyRotation,Controls permission to enable automatic rotation of the cryptographic material in an AWS KMS key,Write,,kms:CallerAccount  kms:ViaService,
30,Encrypt,Controls permission to use the specified AWS KMS key to encrypt data and data keys,Write,key*,,
31,Encrypt,Controls permission to use the specified AWS KMS key to encrypt data and data keys,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
32,GenerateDataKey,Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS,Write,key*,,
33,GenerateDataKey,Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS,Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RecipientAttestation:ImageSha384  kms:RequestAlias  kms:ViaService,
34,GenerateDataKeyPair,Controls permission to use the AWS KMS key to generate data key pairs,Write,key*,,
35,GenerateDataKeyPair,Controls permission to use the AWS KMS key to generate data key pairs,Write,,kms:CallerAccount  kms:DataKeyPairSpec  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
36,GenerateDataKeyPairWithoutPlaintext,"Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy",Write,key*,,
37,GenerateDataKeyPairWithoutPlaintext,"Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy",Write,,kms:CallerAccount  kms:DataKeyPairSpec  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
38,GenerateDataKeyWithoutPlaintext,"Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key",Write,key*,,
39,GenerateDataKeyWithoutPlaintext,"Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key",Write,,kms:CallerAccount  kms:EncryptionAlgorithm  kms:EncryptionContext:${EncryptionContextKey}  kms:EncryptionContextKeys  kms:RequestAlias  kms:ViaService,
40,GenerateMac,Controls permission to use the AWS KMS key to generate message authentication codes,Write,key*,,
41,GenerateMac,Controls permission to use the AWS KMS key to generate message authentication codes,Write,,kms:CallerAccount  kms:MacAlgorithm  kms:RequestAlias  kms:ViaService,
42,GenerateRandom,Controls permission to get a cryptographically secure random byte string from AWS KMS,Write,,kms:RecipientAttestation:ImageSha384,
43,GetKeyPolicy,Controls permission to view the key policy for the specified AWS KMS key,Read,key*,,
44,GetKeyPolicy,Controls permission to view the key policy for the specified AWS KMS key,Read,,kms:CallerAccount  kms:ViaService,
45,GetKeyRotationStatus,Controls permission to determine whether automatic key rotation is enabled on the AWS KMS key,Read,key*,,
46,GetKeyRotationStatus,Controls permission to determine whether automatic key rotation is enabled on the AWS KMS key,Read,,kms:CallerAccount  kms:ViaService,
47,GetParametersForImport,"Controls permission to get data that is required to import cryptographic material into a customer managed key, including a public key and import token",Read,key*,,
48,GetParametersForImport,"Controls permission to get data that is required to import cryptographic material into a customer managed key, including a public key and import token",Read,,kms:CallerAccount  kms:ViaService  kms:WrappingAlgorithm  kms:WrappingKeySpec,
49,GetPublicKey,Controls permission to download the public key of an asymmetric AWS KMS key,Read,key*,,
50,GetPublicKey,Controls permission to download the public key of an asymmetric AWS KMS key,Read,,kms:CallerAccount  kms:RequestAlias  kms:ViaService,
51,ImportKeyMaterial,Controls permission to import cryptographic material into an AWS KMS key,Write,key*,,
52,ImportKeyMaterial,Controls permission to import cryptographic material into an AWS KMS key,Write,,kms:CallerAccount  kms:ExpirationModel  kms:ValidTo  kms:ViaService,
53,ListAliases,Controls permission to view the aliases that are defined in the account. Aliases are optional friendly names that you can associate with AWS KMS keys,List,,,
54,ListGrants,Controls permission to view all grants for an AWS KMS key,List,key*,,
55,ListGrants,Controls permission to view all grants for an AWS KMS key,List,,kms:CallerAccount  kms:GrantIsForAWSResource  kms:ViaService,
56,ListKeyPolicies,Controls permission to view the names of key policies for an AWS KMS key,List,key*,,
