,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddLFTagsToResource,Grants permission to attach Lake Formation tags to catalog resources,Tagging,,,
1,BatchGrantPermissions,Grants permission to data lake permissions to one or more principals in a batch,Permissions management,,,
2,BatchRevokePermissions,Grants permission to revoke data lake permissions from one or more principals in a batch,Permissions management,,,
3,CancelTransaction,Grants permission to cancel the given transaction,Write,,,
4,CommitTransaction,Grants permission to commit the given transaction,Write,,,
5,CreateDataCellsFilter,Grants permission to create a Lake Formation data cell filter,Write,,,
6,CreateLFTag,Grants permission to create a Lake Formation tag,Write,,,
7,DeleteDataCellsFilter,Grants permission to delete a Lake Formation data cell filter,Write,,,
8,DeleteLFTag,Grants permission to delete a Lake Formation tag,Write,,,
9,DeleteObjectsOnCancel,Grants permission to delete the specified objects if the transaction is canceled,Write,,,
10,DeregisterResource,Grants permission to deregister a registered location,Write,,,
11,DescribeResource,Grants permission to describe a registered location,Read,,,
12,DescribeTransaction,Grants permission to get status of the given transaction,Read,,,
13,ExtendTransaction,Grants permission to extend the timeout of the given transaction,Write,,,
14,GetDataAccess,Grants permission to virtual data lake access,Write,,,
15,GetDataLakeSettings,Grants permission to retrieve data lake settings such as the list of data lake administrators and database and table default permissions,Read,,,
16,GetEffectivePermissionsForPath,Grants permission to retrieve permissions attached to resources in the given path,Read,,,
17,GetLFTag,Grants permission to retrieve a Lake Formation tag,Read,,,
18,GetQueryState,Grants permission to retrieve the state of the given query,Read,,,lakeformation:StartQueryPlanning
19,GetQueryStatistics,Grants permission to retrieve the statistics for the given query,Read,,,lakeformation:StartQueryPlanning
20,GetResourceLFTags,Grants permission to retrieve lakeformation tags on a catalog resource,Read,,,
21,GetTableObjects,Grants permission to retrieve objects from a table,Read,,,
22,GetWorkUnitResults,Grants permission to retrieve the results for the given work units,Read,,,lakeformation:GetWorkUnits  lakeformation:StartQueryPlanning
23,GetWorkUnits,Grants permission to retrieve the work units for the given query,Read,,,lakeaformation:StartQueryPlanning
24,GrantPermissions,Grants permission to data lake permissions to a principal,Permissions management,,,
25,ListDataCellsFilter,Grants permission to list cell filters,List,,,
26,ListLFTags,Grants permission to list Lake Formation tags,Read,,,
27,ListPermissions,Grants permission to list permissions filtered by principal or resource,List,,,
28,ListResources,Grants permission to List registered locations,List,,,
29,ListTableStorageOptimizers,Grants permission to list all the storage optimizers for the Governed table,List,,,
30,ListTransactions,Grants permission to list all transactions in the system,List,,,
31,PutDataLakeSettings,Grants permission to overwrite data lake settings such as the list of data lake administrators and database and table default permissions,Permissions management,,,
32,RegisterResource,Grants permission to register a new location to be managed by Lake Formation,Write,,,
33,RemoveLFTagsFromResource,Grants permission to remove lakeformation tags from catalog resources,Tagging,,,
34,RevokePermissions,Grants permission to revoke data lake permissions from a principal,Permissions management,,,
35,SearchDatabasesByLFTags,Grants permission to list catalog databases with Lake Formation tags,Read,,,
36,SearchTablesByLFTags,Grants permission to list catalog tables with Lake Formation tags,Read,,,
37,StartQueryPlanning,Grants permission to initiate the planning of the given query,Write,,,
38,StartTransaction,Grants permission to start a new transaction,Write,,,
39,UpdateLFTag,Grants permission to update a Lake Formation tag,Write,,,
40,UpdateResource,Grants permission to update a registered location,Write,,,
41,UpdateTableObjects,Grants permission to add or delete the specified objects to or from a table,Write,,,
42,UpdateTableStorageOptimizer,Grants permission to update the configuration of the storage optimizer for the Governed table,Write,,,
