,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateCreatedArtifact,Associate a given AWS artifact to a MigrationTask,Write,migrationTask*,,
1,AssociateDiscoveredResource,Associate a given ADS resource to a MigrationTask,Write,migrationTask*,,
2,CreateHomeRegionControl,Create a Migration Hub Home Region Control,Write,,,
3,CreateProgressUpdateStream,Create a ProgressUpdateStream,Write,progressUpdateStream*,,
4,DeleteProgressUpdateStream,Delete a ProgressUpdateStream,Write,progressUpdateStream*,,
5,DescribeApplicationState,Get an Application Discovery Service Application's state,Read,,,
6,DescribeHomeRegionControls,List Home Region Controls,List,,,
7,DescribeMigrationTask,Describe a MigrationTask,Read,migrationTask*,,
8,DisassociateCreatedArtifact,Disassociate a given AWS artifact from a MigrationTask,Write,migrationTask*,,
9,DisassociateDiscoveredResource,Disassociate a given ADS resource from a MigrationTask,Write,migrationTask*,,
10,GetHomeRegion,Get the Migration Hub Home Region,Read,,,
11,ImportMigrationTask,Import a MigrationTask,Write,migrationTask*,,
12,ListApplicationStates,List Application statuses,List,,,
13,ListCreatedArtifacts,List associated created artifacts for a MigrationTask,List,migrationTask*,,
14,ListDiscoveredResources,List associated ADS resources from MigrationTask,List,migrationTask*,,
15,ListMigrationTasks,List MigrationTasks,List,,,
16,ListProgressUpdateStreams,List ProgressUpdateStreams,List,,,
17,NotifyApplicationState,Update an Application Discovery Service Application's state,Write,,,
18,NotifyMigrationTaskState,Notify latest MigrationTask state,Write,migrationTask*,,
19,PutResourceAttributes,Put ResourceAttributes,Write,migrationTask*,,
