,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateProject,Create a project,Write,,,
1,CreateServiceRole,Enable AWS Mobile Hub in the account by creating the required service role,Write,,,
2,DeleteProject,Delete the specified project,Write,project*,,
3,DeleteProjectSnapshot,Delete a saved snapshot of project configuration,Write,,,
4,DeployToStage,Deploy changes to the specified stage,Write,,,
5,DescribeBundle,Describe the download bundle,Read,,,
6,ExportBundle,Export the download bundle,Read,,,
7,ExportProject,Export the project configuration,Read,project*,,
8,GenerateProjectParameters,Generate project parameters required for code generation,Read,project*,,
9,GetProject,Get project configuration and resources,Read,project*,,
10,GetProjectSnapshot,Fetch the previously exported project configuration snapshot,Read,,,
11,ImportProject,Create a new project from the previously exported project configuration,Write,,,
12,InstallBundle,Install a bundle in the project deployments S3 bucket,Write,,,
13,ListAvailableConnectors,List the available SaaS (Software as a Service) connectors,List,,,
14,ListAvailableFeatures,List available features,List,,,
15,ListAvailableRegions,List available regions for projects,List,,,
16,ListBundles,List the available download bundles,List,,,
17,ListProjectSnapshots,List saved snapshots of project configuration,List,,,
18,ListProjects,List projects,List,,,
19,SynchronizeProject,Synchronize state of resources into project,Write,project*,,
20,UpdateProject,Update project,Write,project*,,
21,ValidateProject,Validate a mobile hub project.,Read,,,
22,VerifyServiceRole,Verify AWS Mobile Hub is enabled in the account,Read,,,
