,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateFirewallPolicy,Grants permission to create an association between a firewall policy and a firewall,Write,Firewall*,,
1,AssociateFirewallPolicy,Grants permission to create an association between a firewall policy and a firewall,Write,FirewallPolicy*,,
2,AssociateSubnets,Grants permission to associate VPC subnets to a firewall,Write,Firewall*,,
3,CreateFirewall,Grants permission to create an AWS Network Firewall firewall,Write,Firewall*,,iam:CreateServiceLinkedRole
4,CreateFirewall,Grants permission to create an AWS Network Firewall firewall,Write,FirewallPolicy*,,
5,CreateFirewall,Grants permission to create an AWS Network Firewall firewall,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateFirewallPolicy,Grants permission to create an AWS Network Firewall firewall policy,Write,FirewallPolicy*,,
7,CreateFirewallPolicy,Grants permission to create an AWS Network Firewall firewall policy,Write,StatefulRuleGroup,,
8,CreateFirewallPolicy,Grants permission to create an AWS Network Firewall firewall policy,Write,StatelessRuleGroup,,
9,CreateFirewallPolicy,Grants permission to create an AWS Network Firewall firewall policy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateRuleGroup,Grants permission to create an AWS Network Firewall rule group,Write,StatefulRuleGroup,,
11,CreateRuleGroup,Grants permission to create an AWS Network Firewall rule group,Write,StatelessRuleGroup,,
12,CreateRuleGroup,Grants permission to create an AWS Network Firewall rule group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,DeleteFirewall,Grants permission to delete a firewall,Write,Firewall*,,
14,DeleteFirewallPolicy,Grants permission to delete a firewall policy,Write,FirewallPolicy*,,
15,DeleteResourcePolicy,Grants permission to delete a resource policy for a firewall policy or rule group,Write,FirewallPolicy,,
16,DeleteResourcePolicy,Grants permission to delete a resource policy for a firewall policy or rule group,Write,StatefulRuleGroup,,
17,DeleteResourcePolicy,Grants permission to delete a resource policy for a firewall policy or rule group,Write,StatelessRuleGroup,,
18,DeleteRuleGroup,Grants permission to delete a rule group,Write,StatefulRuleGroup*,,
19,DeleteRuleGroup,Grants permission to delete a rule group,Write,StatelessRuleGroup*,,
20,DescribeFirewall,Grants permission to retrieve the data objects that define a firewall,Read,Firewall*,,
21,DescribeFirewallPolicy,Grants permission to retrieve the data objects that define a firewall policy,Read,FirewallPolicy*,,
22,DescribeFirewallPolicy,Grants permission to retrieve the data objects that define a firewall policy,Read,StatefulRuleGroup,,
23,DescribeFirewallPolicy,Grants permission to retrieve the data objects that define a firewall policy,Read,StatelessRuleGroup,,
24,DescribeLoggingConfiguration,Grants permission to describe the logging configuration of a firewall,Read,Firewall*,,
25,DescribeResourcePolicy,Grants permission to describe a resource policy for a firewall policy or rule group,Read,FirewallPolicy,,
26,DescribeResourcePolicy,Grants permission to describe a resource policy for a firewall policy or rule group,Read,StatefulRuleGroup,,
27,DescribeResourcePolicy,Grants permission to describe a resource policy for a firewall policy or rule group,Read,StatelessRuleGroup,,
28,DescribeRuleGroup,Grants permission to retrieve the data objects that define a rule group,Read,StatefulRuleGroup,,
29,DescribeRuleGroup,Grants permission to retrieve the data objects that define a rule group,Read,StatelessRuleGroup,,
30,DescribeRuleGroupMetadata,Grants permission to retrieve the high-level information about a rule group,Read,StatefulRuleGroup,,
31,DescribeRuleGroupMetadata,Grants permission to retrieve the high-level information about a rule group,Read,StatelessRuleGroup,,
32,DisassociateSubnets,Grants permission to disassociate VPC subnets from a firewall,Write,Firewall*,,
33,ListFirewallPolicies,Grants permission to retrieve the metadata for firewall policies,List,FirewallPolicy*,,
34,ListFirewalls,Grants permission to retrieve the metadata for firewalls,List,Firewall*,,
35,ListRuleGroups,Grants permission to retrieve the metadata for rule groups,List,,,
36,ListTagsForResource,Grants permission to retrieve the tags for a resource,List,Firewall*,,
37,ListTagsForResource,Grants permission to retrieve the tags for a resource,List,FirewallPolicy*,,
38,ListTagsForResource,Grants permission to retrieve the tags for a resource,List,StatefulRuleGroup,,
39,ListTagsForResource,Grants permission to retrieve the tags for a resource,List,StatelessRuleGroup,,
40,PutResourcePolicy,Grants permission to put a resource policy for a firewall policy or rule group,Write,FirewallPolicy,,
41,PutResourcePolicy,Grants permission to put a resource policy for a firewall policy or rule group,Write,StatefulRuleGroup,,
42,PutResourcePolicy,Grants permission to put a resource policy for a firewall policy or rule group,Write,StatelessRuleGroup,,
43,TagResource,Grants permission to attach tags to a resource,Tagging,Firewall,,
44,TagResource,Grants permission to attach tags to a resource,Tagging,FirewallPolicy,,
45,TagResource,Grants permission to attach tags to a resource,Tagging,StatefulRuleGroup,,
46,TagResource,Grants permission to attach tags to a resource,Tagging,StatelessRuleGroup,,
47,TagResource,Grants permission to attach tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
48,UntagResource,Grants permission to remove tags from a resource,Tagging,Firewall,,
49,UntagResource,Grants permission to remove tags from a resource,Tagging,FirewallPolicy,,
50,UntagResource,Grants permission to remove tags from a resource,Tagging,StatefulRuleGroup,,
51,UntagResource,Grants permission to remove tags from a resource,Tagging,StatelessRuleGroup,,
52,UntagResource,Grants permission to remove tags from a resource,Tagging,,aws:TagKeys,
53,UpdateFirewallDeleteProtection,Grants permission to add or remove delete protection for a firewall,Write,Firewall*,,
54,UpdateFirewallDescription,Grants permission to modify the description for a firewall,Write,Firewall*,,
55,UpdateFirewallPolicy,Grants permission to modify a firewall policy,Write,FirewallPolicy*,,
56,UpdateFirewallPolicy,Grants permission to modify a firewall policy,Write,StatefulRuleGroup,,
57,UpdateFirewallPolicy,Grants permission to modify a firewall policy,Write,StatelessRuleGroup,,
58,UpdateFirewallPolicyChangeProtection,Grants permission to add or remove firewall policy change protection for a firewall,Write,Firewall*,,
59,UpdateLoggingConfiguration,Grants permission to modify the logging configuration of a firewall,Write,Firewall*,,
60,UpdateRuleGroup,Grants permission to modify a rule group,Write,StatefulRuleGroup,,
61,UpdateRuleGroup,Grants permission to modify a rule group,Write,StatelessRuleGroup,,
62,UpdateSubnetChangeProtection,Grants permission to add or remove subnet change protection for a firewall,Write,Firewall*,,
