,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelOrder,Grants permission to cancel an order,Write,,,
1,CreateOrder,Grants permission to create an order,Write,,,
2,CreateOutpost,Grants permission to create an Outpost,Write,,,
3,CreatePrivateConnectivityConfig,Grants permission to create a private connectivity configuration,Write,,,
4,CreateSite,Grants permission to create a site,Write,,,
5,DeleteOutpost,Grants permission to delete an Outpost,Write,,,
6,DeleteSite,Grants permission to delete a site,Write,,,
7,GetCatalogItem,Grants permission to get a catalog item,Read,,,
8,GetOrder,Grants permission to get information about an order,Read,,,
9,GetOutpost,Grants permission to get information about the specified Outpost,Read,,,
10,GetOutpostInstanceTypes,Grants permission to get the instance types for the specified Outpost,Read,,,
11,GetPrivateConnectivityConfig,Grants permission to get a private connectivity configuration,Read,,,
12,GetSite,Grants permission to get a site,Read,,,
13,GetSiteAddress,Grants permission to get a site address,Read,,,
14,ListAssets,Grants permission to list the assets for your Outpost,List,,,
15,ListCatalogItems,Grants permission to list all catalog items,List,,,
16,ListOrders,Grants permission to list the orders for your AWS account,List,,,
17,ListOutposts,Grants permission to list the Outposts for your AWS account,List,,,
18,ListSites,Grants permission to list the sites for your AWS account,List,,,
19,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
20,TagResource,Grants permission to tag a resource,Tagging,,,
21,UntagResource,Grants permission to untag a resource,Tagging,,,
22,UpdateOutpost,Grants permission to update an Outpost,Write,,,
23,UpdateSite,Grants permission to update a site,Write,,,
24,UpdateSiteAddress,Grants permission to update the site address,Write,,,
25,UpdateSiteRackPhysicalProperties,Grants permission to update the physical properties of a rack at a site,Write,,,
