,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptEnvironmentAccountConnection,Grants permission to reject an environment account connection request from another environment account,Write,environment-account-connection*,,
1,CancelEnvironmentDeployment,Grants permission to cancel an environment deployment,Write,environment*,,
2,CancelEnvironmentDeployment,Grants permission to cancel an environment deployment,Write,,proton:EnvironmentTemplate,
3,CancelServiceInstanceDeployment,Grants permission to cancel a service instance deployment,Write,service-instance*,,
4,CancelServiceInstanceDeployment,Grants permission to cancel a service instance deployment,Write,,proton:ServiceTemplate,
5,CancelServicePipelineDeployment,Grants permission to cancel a service pipeline deployment,Write,service*,,
6,CancelServicePipelineDeployment,Grants permission to cancel a service pipeline deployment,Write,,proton:ServiceTemplate,
7,CreateEnvironment,Grants permission to create an environment,Write,environment*,,iam:PassRole
8,CreateEnvironment,Grants permission to create an environment,Write,,aws:TagKeys  aws:RequestTag/${TagKey}  proton:EnvironmentTemplate,
9,CreateEnvironmentAccountConnection,Grants permission to create an environment account connection,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
10,CreateEnvironmentTemplate,Grants permission to create an environment template,Write,environment-template*,,
11,CreateEnvironmentTemplate,Grants permission to create an environment template,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
12,CreateEnvironmentTemplateMajorVersion,Grants permission to create an environment template major version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,environment-template*,,
13,CreateEnvironmentTemplateMajorVersion,Grants permission to create an environment template major version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
14,CreateEnvironmentTemplateMinorVersion,Grants permission to create an environment template minor version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,environment-template*,,
15,CreateEnvironmentTemplateMinorVersion,Grants permission to create an environment template minor version. DEPRECATED - use CreateEnvironmentTemplateVersion instead,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
16,CreateEnvironmentTemplateVersion,Grants permission to create an environment template version,Write,environment-template*,,
17,CreateEnvironmentTemplateVersion,Grants permission to create an environment template version,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
18,CreateRepository,Grants permission to create a repository,Write,repository*,,
19,CreateRepository,Grants permission to create a repository,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
20,CreateService,Grants permission to create a service,Write,service*,,codestar-connections:PassConnection
21,CreateService,Grants permission to create a service,Write,,aws:TagKeys  aws:RequestTag/${TagKey}  proton:ServiceTemplate,
