,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddDraftAppVersionResourceMappings,Grants permission to add draft application version resource mappings,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources
1,CreateApp,Grants permission to create application,Write,resiliency-policy,,
2,CreateApp,Grants permission to create application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateRecommendationTemplate,Grants permission to create recommendation template,Write,application*,,s3:CreateBucket  s3:ListBucket  s3:PutObject
4,CreateRecommendationTemplate,Grants permission to create recommendation template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateResiliencyPolicy,Grants permission to create resiliency policy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteApp,Grants permission to batch delete application,Write,application*,,
7,DeleteAppAssessment,Grants permission to batch delete application assessment,Write,application*,,
8,DeleteRecommendationTemplate,Grants permission to batch delete recommendation template,Write,application*,,
9,DeleteResiliencyPolicy,Grants permission to batch delete resiliency policy,Write,resiliency-policy*,,
10,DescribeApp,Grants permission to describe application,Read,application*,,
11,DescribeAppAssessment,Grants permission to describe application assessment,Read,application*,,
12,DescribeAppVersionResourcesResolutionStatus,Grants permission to describe application resolution,Read,application*,,
13,DescribeAppVersionTemplate,Grants permission to describe application version template,Read,application*,,
14,DescribeDraftAppVersionResourcesImportStatus,Grants permission to describe draft application version resources import status,Read,application*,,
15,DescribeResiliencyPolicy,Grants permission to describe resiliency policy,Read,resiliency-policy*,,
16,ImportResourcesToDraftAppVersion,Grants permission to import resources to draft application version,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources
17,ListAlarmRecommendations,Grants permission to list alarm recommendation,List,application*,,
18,ListAppAssessments,Grants permission to list application assessment,List,application,,
19,ListAppComponentCompliances,Grants permission to list app component compliances,List,application*,,
20,ListAppComponentRecommendations,Grants permission to list app component recommendations,List,application*,,
21,ListAppVersionResourceMappings,Grants permission to application version resource mappings,List,application*,,
22,ListAppVersionResources,Grants permission to list application resources,List,application*,,
23,ListAppVersions,Grants permission to list application version,List,application*,,
24,ListApps,Grants permission to list applications,List,,,
25,ListRecommendationTemplates,Grants permission to list recommendation templates,List,application*,,
26,ListResiliencyPolicies,Grants permission to list resiliency policies,List,,,
27,ListSopRecommendations,Grants permission to list SOP recommendations,List,application*,,
28,ListSuggestedResiliencyPolicies,Grants permission to list suggested resiliency policies,List,,,
29,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
30,ListTestRecommendations,Grants permission to list test recommendations,List,application*,,
31,ListUnsupportedAppVersionResources,Grants permission to list unsupported application version resources,List,application*,,
32,PublishAppVersion,Grants permission to publish application version,Write,application*,,
33,PutDraftAppVersionTemplate,Grants permission to put draft application version template,Write,application*,,
34,RemoveDraftAppVersionResourceMappings,Grants permission to remove draft application version mappings,Write,application*,,
35,ResolveAppVersionResources,Grants permission to resolve application version resources,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources
36,StartAppAssessment,Grants permission to create application assessment,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  cloudwatch:DescribeAlarms  cloudwatch:GetMetricData  cloudwatch:GetMetricStatistics  cloudwatch:PutMetricData  fis:GetExperimentTemplate  fis:ListExperimentTemplates  fis:ListExperiments  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources  ssm:GetParametersByPath
37,StartAppAssessment,Grants permission to create application assessment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
38,TagResource,Grants permission to assign a resource tag,Tagging,app-assessment,,
39,TagResource,Grants permission to assign a resource tag,Tagging,application,,
40,TagResource,Grants permission to assign a resource tag,Tagging,recommendation-template,,
41,TagResource,Grants permission to assign a resource tag,Tagging,resiliency-policy,,
42,TagResource,Grants permission to assign a resource tag,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
43,UntagResource,Grants permission to untag a resource,Tagging,app-assessment,,
44,UntagResource,Grants permission to untag a resource,Tagging,application,,
45,UntagResource,Grants permission to untag a resource,Tagging,recommendation-template,,
46,UntagResource,Grants permission to untag a resource,Tagging,resiliency-policy,,
47,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys,
48,UpdateApp,Grants permission to update application,Write,application*,,
49,UpdateResiliencyPolicy,Grants permission to update resiliency policy,Write,resiliency-policy*,,
