,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateConnectionWithChart [permission only],Grants permission to associate connection to a chart,Write,chart*,,
1,AssociateConnectionWithChart [permission only],Grants permission to associate connection to a chart,Write,connection*,,
2,AssociateConnectionWithTab [permission only],Grants permission to associate connection to a tab,Write,connection*,,
3,AssociateQueryWithTab [permission only],Grants permission to associate query to a tab,Write,query*,,
4,BatchDeleteFolder [permission only],Grants permission to delete folders on your account,Write,,,
5,CreateAccount [permission only],Grants permission to create SQLWorkbench account,Write,,,
6,CreateChart [permission only],Grants permission to create new saved chart on your account,Write,chart*,,
7,CreateChart [permission only],Grants permission to create new saved chart on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
8,CreateConnection [permission only],Grants permission to create a new connection on your account,Write,connection*,,
9,CreateConnection [permission only],Grants permission to create a new connection on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
10,CreateFolder [permission only],Grants permission to create folder on your account,Write,,,
11,CreateSavedQuery [permission only],Grants permission to create a new saved query on your account,Write,query*,,
12,CreateSavedQuery [permission only],Grants permission to create a new saved query on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
13,DeleteChart [permission only],Grants permission to remove charts on your account,Write,chart*,,
14,DeleteConnection [permission only],Grants permission to remove connections on your account,Write,connection*,,
15,DeleteSavedQuery [permission only],Grants permission to remove saved queries on your account,Write,query*,,
16,DeleteTab [permission only],Grants permission to remove a tab on your account,Write,,,
17,DriverExecute [permission only],Grants permission to execute a query in your redshift cluster,Write,connection*,,
18,GenerateSession [permission only],Grants permission to generate a new session on your account,Write,,,
19,GetAccountInfo [permission only],Grants permission to get account info,Read,,,
20,GetChart [permission only],Grants permission to get charts on your account,Read,chart*,,
21,GetConnection [permission only],Grants permission to get connections on your account,Read,connection*,,
22,GetSavedQuery [permission only],Grants permission to get saved query on your account,Read,query*,,
23,GetUserInfo [permission only],Grants permission to get user info,Read,,,
24,GetUserWorkspaceSettings [permission only],Grants permission to get workspace settings on your account,Read,,,
25,ListConnections [permission only],Grants permission to list the connections on your account,List,,,
26,ListDatabases [permission only],Grants permission to list databases of your redshift cluster,List,,,
27,ListFiles [permission only],Grants permission to list files and folders,List,,,
28,ListRedshiftClusters [permission only],Grants permission to list redshift clusters on your account,List,,,
29,ListSampleDatabases [permission only],Grants permission to list sample databases,Read,,,
30,ListSavedQueryVersions [permission only],Grants permission to list versions of saved query on your account,List,query*,,
31,ListTabs [permission only],Grants permission to list tabs on your account,List,,,
32,ListTaggedResources [permission only],Grants permission to list tagged resources,Read,,,
33,ListTagsForResource [permission only],Grants permission to list the tags of an sqlworkbench resource,Read,chart,,
34,ListTagsForResource [permission only],Grants permission to list the tags of an sqlworkbench resource,Read,connection,,
35,ListTagsForResource [permission only],Grants permission to list the tags of an sqlworkbench resource,Read,query,,
36,PutTab [permission only],Grants permission to create or update a tab on your account,Write,,,
37,PutUserWorkspaceSettings [permission only],Grants permission to update workspace settings on your account,Write,,,
38,TagResource [permission only],Grants permission to tag an sqlworkbench resource,Tagging,chart,,
39,TagResource [permission only],Grants permission to tag an sqlworkbench resource,Tagging,connection,,
40,TagResource [permission only],Grants permission to tag an sqlworkbench resource,Tagging,query,,
41,TagResource [permission only],Grants permission to tag an sqlworkbench resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
42,UntagResource [permission only],Grants permission to untag an sqlworkbench resource,Tagging,chart,,
43,UntagResource [permission only],Grants permission to untag an sqlworkbench resource,Tagging,connection,,
44,UntagResource [permission only],Grants permission to untag an sqlworkbench resource,Tagging,query,,
45,UntagResource [permission only],Grants permission to untag an sqlworkbench resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
46,UpdateAccountExportSettings [permission only],Grants permission to update account-wide export settings,Write,,,
47,UpdateChart [permission only],Grants permission to update a chart on your account,Write,chart*,,
48,UpdateChart [permission only],Grants permission to update a chart on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
49,UpdateConnection [permission only],Grants permission to update a connection on your account,Write,connection*,,
50,UpdateConnection [permission only],Grants permission to update a connection on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
51,UpdateFileFolder [permission only],Grants permission to move files on your account,Write,chart,,
52,UpdateFileFolder [permission only],Grants permission to move files on your account,Write,query,,
53,UpdateFolder [permission only],Grants permission to update a folder's name and details on your account,Write,,,
54,UpdateSavedQuery [permission only],Grants permission to update a saved query on your account,Write,query*,,
55,UpdateSavedQuery [permission only],Grants permission to update a saved query on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
