,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateDirectory,Grants permission to connect a directory to be used by AWS Single Sign-On,Write,,,ds:AuthorizeApplication
1,AssociateProfile,Grants permission to create an association between a directory user or group and a profile,Write,,,
2,AttachManagedPolicyToPermissionSet,Grants permission to attach an AWS managed policy to a permission set,Permissions management,Instance*,,
3,AttachManagedPolicyToPermissionSet,Grants permission to attach an AWS managed policy to a permission set,Permissions management,PermissionSet*,,
4,CreateAccountAssignment,Grants permission to assign access to a Principal for a specified AWS account using a specified permission set,Write,Account*,,
5,CreateAccountAssignment,Grants permission to assign access to a Principal for a specified AWS account using a specified permission set,Write,Instance*,,
6,CreateAccountAssignment,Grants permission to assign access to a Principal for a specified AWS account using a specified permission set,Write,PermissionSet*,,
7,CreateApplicationInstance,Grants permission to add an application instance to AWS Single Sign-On,Write,,,
8,CreateApplicationInstanceCertificate,Grants permission to add a new certificate for an application instance,Write,,,
9,CreateInstanceAccessControlAttributeConfiguration,Grants permission to enable the instance for ABAC and specify the attributes,Write,Instance*,,
10,CreateManagedApplicationInstance,Grants permission to add a managed application instance to AWS Single Sign-On,Write,,,
11,CreatePermissionSet,Grants permission to create a permission set,Write,Instance*,,
12,CreatePermissionSet,Grants permission to create a permission set,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateProfile,Grants permission to create a profile for an application instance,Write,,,
14,CreateTrust,Grants permission to create a federation trust in a target account,Write,,,
15,DeleteAccountAssignment,Grants permission to delete a Principal's access from a specified AWS account using a specified permission set,Write,Account*,,
16,DeleteAccountAssignment,Grants permission to delete a Principal's access from a specified AWS account using a specified permission set,Write,Instance*,,
17,DeleteAccountAssignment,Grants permission to delete a Principal's access from a specified AWS account using a specified permission set,Write,PermissionSet*,,
18,DeleteApplicationInstance,Grants permission to delete the application instance,Write,,,
19,DeleteApplicationInstanceCertificate,Grants permission to delete an inactive or expired certificate from the application instance,Write,,,
20,DeleteInlinePolicyFromPermissionSet,Grants permission to delete the inline policy from a specified permission set,Write,Instance*,,
21,DeleteInlinePolicyFromPermissionSet,Grants permission to delete the inline policy from a specified permission set,Write,PermissionSet*,,
22,DeleteInstanceAccessControlAttributeConfiguration,Grants permission to disable ABAC and remove the attributes list for the instance,Write,Instance*,,
23,DeleteManagedApplicationInstance,Grants permission to delete the managed application instance,Write,,,
24,DeletePermissionSet,Grants permission to delete a permission set,Write,Instance*,,
25,DeletePermissionSet,Grants permission to delete a permission set,Write,PermissionSet*,,
26,DeletePermissionsPolicy,Grants permission to delete the permission policy associated with a permission set,Permissions management,,,
27,DeleteProfile,Grants permission to delete the profile for an application instance,Write,,,
28,DescribeAccountAssignmentCreationStatus,Grants permission to describe the status of the assignment creation request,Read,Instance*,,
29,DescribeAccountAssignmentDeletionStatus,Grants permission to describe the status of an assignment deletion request,Read,Instance*,,
30,DescribeInstanceAccessControlAttributeConfiguration,Grants permission to get the list of attributes used by the instance for ABAC,Read,Instance*,,
31,DescribePermissionSet,Grants permission to describe a permission set,Read,Instance*,,
32,DescribePermissionSet,Grants permission to describe a permission set,Read,PermissionSet*,,
33,DescribePermissionSetProvisioningStatus,Grants permission to describe the status for the given Permission Set Provisioning request,Read,Instance*,,
34,DescribePermissionsPolicies,Grants permission to retrieve all the permissions policies associated with a permission set,Read,,,
35,DescribeRegisteredRegions,Grants permission to obtain the regions where your organization has enabled AWS Single Sign-on,Read,,,
36,DetachManagedPolicyFromPermissionSet,Grants permission to detach the attached AWS managed policy from the specified permission set,Permissions management,Instance*,,
37,DetachManagedPolicyFromPermissionSet,Grants permission to detach the attached AWS managed policy from the specified permission set,Permissions management,PermissionSet*,,
38,DisassociateDirectory,Grants permission to disassociate a directory to be used by AWS Single Sign-On,Write,,,ds:UnauthorizeApplication
39,DisassociateProfile,Grants permission to disassociate a directory user or group from a profile,Write,,,
40,GetApplicationInstance,Grants permission to retrieve details for an application instance,Read,,,
41,GetApplicationTemplate,Grants permission to retrieve application template details,Read,,,
42,GetInlinePolicyForPermissionSet,Grants permission to obtain the inline policy assigned to the permission set,Read,Instance*,,
43,GetInlinePolicyForPermissionSet,Grants permission to obtain the inline policy assigned to the permission set,Read,PermissionSet*,,
44,GetManagedApplicationInstance,Grants permission to retrieve details for an application instance,Read,,,
45,GetMfaDeviceManagementForDirectory,Grants permission to retrieve Mfa Device Management settings for the directory,Read,,,
46,GetPermissionSet,Grants permission to retrieve details of a permission set,Read,,,
47,GetPermissionsPolicy,Grants permission to retrieve all permission policies associated with a permission set,Read,,,sso:DescribePermissionsPolicies
48,GetProfile,Grants permission to retrieve a profile for an application instance,Read,,,
49,GetSSOStatus,Grants permission to check if AWS Single Sign-On is enabled,Read,,,
50,GetSharedSsoConfiguration,Grants permission to retrieve shared configuration for the current SSO instance,Read,,,
51,GetSsoConfiguration,Grants permission to retrieve configuration for the current SSO instance,Read,,,
52,GetTrust,Grants permission to retrieve the federation trust in a target account,Read,,,
53,ImportApplicationInstanceServiceProviderMetadata,Grants permission to update the application instance by uploading an application SAML metadata file provided by the service provider,Write,,,
54,ListAccountAssignmentCreationStatus,Grants permission to list the status of the AWS account assignment creation requests for a specified SSO instance,List,Instance*,,
55,ListAccountAssignmentDeletionStatus,Grants permission to list the status of the AWS account assignment deletion requests for a specified SSO instance,List,Instance*,,
56,ListAccountAssignments,Grants permission to list the assignee of the specified AWS account with the specified permission set,List,Account*,,
57,ListAccountAssignments,Grants permission to list the assignee of the specified AWS account with the specified permission set,List,Instance*,,
58,ListAccountAssignments,Grants permission to list the assignee of the specified AWS account with the specified permission set,List,PermissionSet*,,
59,ListAccountsForProvisionedPermissionSet,Grants permission to list all the AWS accounts where the specified permission set is provisioned,List,Instance*,,
60,ListAccountsForProvisionedPermissionSet,Grants permission to list all the AWS accounts where the specified permission set is provisioned,List,PermissionSet*,,
61,ListApplicationInstanceCertificates,Grants permission to retrieve all of the certificates for a given application instance,Read,,,
62,ListApplicationInstances,Grants permission to retrieve all application instances,List,,,sso:GetApplicationInstance
63,ListApplicationTemplates,Grants permission to retrieve all supported application templates,List,,,sso:GetApplicationTemplate
64,ListApplications,Grants permission to retrieve all supported applications,List,,,
65,ListDirectoryAssociations,Grants permission to retrieve details about the directory connected to AWS Single Sign-On,Read,,,
66,ListInstances,Grants permission to list the SSO Instances that the caller has access to,List,,,
67,ListManagedPoliciesInPermissionSet,Grants permission to list the AWS managed policies that are attached to a specified permission set,List,Instance*,,
68,ListManagedPoliciesInPermissionSet,Grants permission to list the AWS managed policies that are attached to a specified permission set,List,PermissionSet*,,
69,ListPermissionSetProvisioningStatus,Grants permission to list the status of the Permission Set Provisioning requests for a specified SSO instance,List,Instance*,,
70,ListPermissionSets,Grants permission to retrieve all permission sets,List,Instance*,,
71,ListPermissionSetsProvisionedToAccount,Grants permission to list all the permission sets that are provisioned to a specified AWS account,List,Account*,,
72,ListPermissionSetsProvisionedToAccount,Grants permission to list all the permission sets that are provisioned to a specified AWS account,List,Instance*,,
73,ListProfileAssociations,Grants permission to retrieve the directory user or group associated with the profile,Read,,,
74,ListProfiles,Grants permission to retrieve all profiles for an application instance,List,,,sso:GetProfile
75,ListTagsForResource,Grants permission to list the tags that are attached to a specified resource,Read,Instance*,,
76,ListTagsForResource,Grants permission to list the tags that are attached to a specified resource,Read,PermissionSet*,,
77,ProvisionPermissionSet,Grants permission to provision a specified permission set to the specified target,Write,Account*,,
78,ProvisionPermissionSet,Grants permission to provision a specified permission set to the specified target,Write,Instance*,,
79,ProvisionPermissionSet,Grants permission to provision a specified permission set to the specified target,Write,PermissionSet*,,
80,PutInlinePolicyToPermissionSet,Grants permission to attach an IAM inline policy to a permission set,Write,Instance*,,
81,PutInlinePolicyToPermissionSet,Grants permission to attach an IAM inline policy to a permission set,Write,PermissionSet*,,
82,PutMfaDeviceManagementForDirectory,Grants permission to put Mfa Device Management settings for the directory,Write,,,
83,PutPermissionsPolicy,Grants permission to add a policy to a permission set,Permissions management,,,
84,SearchGroups,Grants permission to search for groups within the associated directory,Read,,,ds:DescribeDirectories
85,SearchUsers,Grants permission to search for users within the associated directory,Read,,,ds:DescribeDirectories
86,StartSSO,Grants permission to initialize AWS Single Sign-On,Write,,,organizations:DescribeOrganization  organizations:EnableAWSServiceAccess
87,TagResource,Grants permission to associate a set of tags with a specified resource,Tagging,Instance*,,
88,TagResource,Grants permission to associate a set of tags with a specified resource,Tagging,PermissionSet*,,
89,TagResource,Grants permission to associate a set of tags with a specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
90,UntagResource,Grants permission to disassociate a set of tags from a specified resource,Tagging,Instance*,,
91,UntagResource,Grants permission to disassociate a set of tags from a specified resource,Tagging,PermissionSet*,,
92,UntagResource,Grants permission to disassociate a set of tags from a specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
