,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelRotateSecret,Grants permission to cancel an in-progress secret rotation,Write,Secret*,,
1,CancelRotateSecret,Grants permission to cancel an in-progress secret rotation,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
2,CreateSecret,Grants permission to create a secret that stores encrypted data that can be queried and rotated,Write,Secret*,,
3,CreateSecret,Grants permission to create a secret that stores encrypted data that can be queried and rotated,Write,,secretsmanager:Name  secretsmanager:Description  secretsmanager:KmsKeyId  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys  secretsmanager:ResourceTag/tag-key  secretsmanager:AddReplicaRegions  secretsmanager:ForceOverwriteReplicaSecret,
4,DeleteResourcePolicy,Grants permission to delete the resource policy attached to a secret,Permissions management,Secret*,,
5,DeleteResourcePolicy,Grants permission to delete the resource policy attached to a secret,Permissions management,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
6,DeleteSecret,Grants permission to delete a secret,Write,Secret*,,
7,DeleteSecret,Grants permission to delete a secret,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:RecoveryWindowInDays  secretsmanager:ForceDeleteWithoutRecovery  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
8,DescribeSecret,"Grants permission to retrieve the metadata about a secret, but not the encrypted data",Read,Secret*,,
9,DescribeSecret,"Grants permission to retrieve the metadata about a secret, but not the encrypted data",Read,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
10,GetRandomPassword,Grants permission to generate a random string for use in password creation,Read,,,
11,GetResourcePolicy,Grants permission to get the resource policy attached to a secret,Read,Secret*,,
12,GetResourcePolicy,Grants permission to get the resource policy attached to a secret,Read,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
13,GetSecretValue,Grants permission to retrieve and decrypt the encrypted data,Read,Secret*,,
14,GetSecretValue,Grants permission to retrieve and decrypt the encrypted data,Read,,secretsmanager:SecretId  secretsmanager:VersionId  secretsmanager:VersionStage  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
15,ListSecretVersionIds,Grants permission to list the available versions of a secret,Read,Secret*,,
16,ListSecretVersionIds,Grants permission to list the available versions of a secret,Read,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
17,ListSecrets,Grants permission to list the available secrets,List,,,
18,PutResourcePolicy,Grants permission to attach a resource policy to a secret,Permissions management,Secret*,,
19,PutResourcePolicy,Grants permission to attach a resource policy to a secret,Permissions management,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:BlockPublicPolicy  secretsmanager:SecretPrimaryRegion,
20,PutSecretValue,Grants permission to create a new version of the secret with new encrypted data,Write,Secret*,,
21,PutSecretValue,Grants permission to create a new version of the secret with new encrypted data,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
22,RemoveRegionsFromReplication,Grants permission to remove regions from replication,Write,Secret*,,
23,RemoveRegionsFromReplication,Grants permission to remove regions from replication,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
24,ReplicateSecretToRegions,Grants permission to convert an existing secret to a multi-Region secret and begin replicating the secret to a list of new regions,Write,Secret*,,
25,ReplicateSecretToRegions,Grants permission to convert an existing secret to a multi-Region secret and begin replicating the secret to a list of new regions,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion  secretsmanager:AddReplicaRegions  secretsmanager:ForceOverwriteReplicaSecret,
26,RestoreSecret,Grants permission to cancel deletion of a secret,Write,Secret*,,
27,RestoreSecret,Grants permission to cancel deletion of a secret,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
28,RotateSecret,Grants permission to start rotation of a secret,Write,Secret*,,
29,RotateSecret,Grants permission to start rotation of a secret,Write,,secretsmanager:SecretId  secretsmanager:RotationLambdaARN  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion  secretsmanager:ModifyRotationRules  secretsmanager:RotateImmediately,
30,StopReplicationToReplica,Grants permission to remove the secret from replication and promote the secret to a regional secret in the replica Region,Write,Secret*,,
31,StopReplicationToReplica,Grants permission to remove the secret from replication and promote the secret to a regional secret in the replica Region,Write,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
32,TagResource,Grants permission to add tags to a secret,Tagging,Secret*,,
33,TagResource,Grants permission to add tags to a secret,Tagging,,secretsmanager:SecretId  aws:RequestTag/${TagKey}  aws:TagKeys  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
34,UntagResource,Grants permission to remove tags from a secret,Tagging,Secret*,,
35,UntagResource,Grants permission to remove tags from a secret,Tagging,,secretsmanager:SecretId  aws:TagKeys  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
36,UpdateSecret,Grants permission to update a secret with new metadata or with a new version of the encrypted data,Write,Secret*,,
37,UpdateSecret,Grants permission to update a secret with new metadata or with a new version of the encrypted data,Write,,secretsmanager:SecretId  secretsmanager:Description  secretsmanager:KmsKeyId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
38,UpdateSecretVersionStage,Grants permission to move a stage from one secret to another,Write,Secret*,,
39,UpdateSecretVersionStage,Grants permission to move a stage from one secret to another,Write,,secretsmanager:SecretId  secretsmanager:VersionStage  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
40,ValidateResourcePolicy,Grants permission to validate a resource policy before attaching policy,Permissions management,Secret*,,
41,ValidateResourcePolicy,Grants permission to validate a resource policy before attaching policy,Permissions management,,secretsmanager:SecretId  secretsmanager:resource/AllowRotationLambdaArn  secretsmanager:ResourceTag/tag-key  aws:ResourceTag/${TagKey}  secretsmanager:SecretPrimaryRegion,
