,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApplication,"Creates an application, optionally including an AWS SAM file to create the first application version in the same call.",Write,,,
1,CreateApplicationVersion,Creates an application version.,Write,applications*,,
2,CreateCloudFormationChangeSet,Creates an AWS CloudFormation ChangeSet for the given application.,Write,applications*,,
3,CreateCloudFormationChangeSet,Creates an AWS CloudFormation ChangeSet for the given application.,Write,,serverlessrepo:applicationType,
4,CreateCloudFormationTemplate,Creates an AWS CloudFormation template,Write,applications*,,
5,CreateCloudFormationTemplate,Creates an AWS CloudFormation template,Write,,serverlessrepo:applicationType,
6,DeleteApplication,Deletes the specified application,Write,applications*,,
7,GetApplication,Gets the specified application.,Read,applications*,,
8,GetApplication,Gets the specified application.,Read,,serverlessrepo:applicationType,
9,GetApplicationPolicy,Gets the policy for the specified application.,Read,applications*,,
10,GetCloudFormationTemplate,Gets the specified AWS CloudFormation template,Read,applications*,,
11,ListApplicationDependencies,Retrieves the list of applications nested in the containing application,List,applications*,,
12,ListApplicationDependencies,Retrieves the list of applications nested in the containing application,List,,serverlessrepo:applicationType,
13,ListApplicationVersions,Lists versions for the specified application owned by the requester.,List,applications*,,
14,ListApplicationVersions,Lists versions for the specified application owned by the requester.,List,,serverlessrepo:applicationType,
15,ListApplications,Lists applications owned by the requester.,List,,,
16,PutApplicationPolicy,Puts the policy for the specified application.,Write,applications*,,
17,SearchApplications,Gets all applications authorized for this user,Read,,serverlessrepo:applicationType,
18,UnshareApplication,Unshares the specified application,Write,applications*,,
19,UpdateApplication,Updates meta-data of the application,Write,applications*,,
