,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptPortfolioShare,Grants permission to accept a portfolio that has been shared with you,Write,Portfolio*,,
1,AssociateAttributeGroup,Grants permission to associate an attribute group with an application,Write,Application*,,
2,AssociateAttributeGroup,Grants permission to associate an attribute group with an application,Write,AttributeGroup*,,
3,AssociateBudgetWithResource,Grants permission to associate a budget with a resource,Write,,,
4,AssociatePrincipalWithPortfolio,"Grants permission to associate an IAM principal with a portfolio, giving the specified principal access to any products associated with the specified portfolio",Write,Portfolio*,,
5,AssociateProductWithPortfolio,Grants permission to associate a product with a portfolio,Write,,,
6,AssociateResource,Grants permission to associate a resource with an application,Write,Application*,,
7,AssociateServiceActionWithProvisioningArtifact,Grants permission to associate an action with a provisioning artifact,Write,Product*,,
8,AssociateTagOptionWithResource,Grants permission to associate the specified TagOption with the specified portfolio or product,Write,Portfolio,,
9,AssociateTagOptionWithResource,Grants permission to associate the specified TagOption with the specified portfolio or product,Write,Product,,
10,BatchAssociateServiceActionWithProvisioningArtifact,Grants permission to associate multiple self-service actions with provisioning artifacts,Write,,,
11,BatchDisassociateServiceActionFromProvisioningArtifact,Grants permission to disassociate a batch of self-service actions from the specified provisioning artifact,Write,,,
12,CopyProduct,Grants permission to copy the specified source product to the specified target product or a new product,Write,,,
13,CreateApplication,Grants permission to create an application,Write,Application*,,iam:CreateServiceLinkedRole
14,CreateApplication,Grants permission to create an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateAttributeGroup,Grants permission to create an attribute group,Write,AttributeGroup*,,
16,CreateAttributeGroup,Grants permission to create an attribute group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateConstraint,Grants permission to create a constraint on an associated product and portfolio,Write,Product*,,
18,CreatePortfolio,Grants permission to create a portfolio,Write,Portfolio*,,
19,CreatePortfolio,Grants permission to create a portfolio,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,CreatePortfolioShare,Grants permission to share a portfolio you own with another AWS account,Permissions management,Portfolio*,,
21,CreateProduct,Grants permission to create a product and that product's first provisioning artifact,Write,Product*,,
22,CreateProduct,Grants permission to create a product and that product's first provisioning artifact,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateProvisionedProductPlan,Grants permission to add a new provisioned product plan,Write,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
24,CreateProvisioningArtifact,Grants permission to add a new provisioning artifact to an existing product,Write,Product*,,
25,CreateServiceAction,Grants permission to create a self-service action,Write,,,
26,CreateTagOption,Grants permission to create a TagOption,Write,,,
27,DeleteApplication,Grants permission to delete an application if all associations have been removed from the application,Write,Application*,,
28,DeleteAttributeGroup,Grants permission to delete an attribute group if all associations have been removed from the attribute group,Write,AttributeGroup*,,
29,DeleteConstraint,Grants permission to remove and delete an existing constraint from an associated product and portfolio,Write,,,
30,DeletePortfolio,Grants permission to delete a portfolio if all associations and shares have been removed from the portfolio,Write,Portfolio*,,
31,DeletePortfolioShare,Grants permission to unshare a portfolio you own from an AWS account you previously shared the portfolio with,Permissions management,Portfolio*,,
32,DeleteProduct,Grants permission to delete a product if all associations have been removed from the product,Write,Product*,,
33,DeleteProvisionedProductPlan,Grants permission to delete a provisioned product plan,Write,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
34,DeleteProvisioningArtifact,Grants permission to delete a provisioning artifact from a product,Write,Product*,,
35,DeleteServiceAction,Grants permission to delete a self-service action,Write,,,
36,DeleteTagOption,Grants permission to delete the specified TagOption,Write,,,
37,DescribeConstraint,Grants permission to describe a constraint,Read,,,
38,DescribeCopyProductStatus,Grants permission to get the status of the specified copy product operation,Read,,,
39,DescribePortfolio,Grants permission to describe a portfolio,Read,Portfolio*,,
40,DescribePortfolioShareStatus,Grants permission to get the status of the specified portfolio share operation,Read,,,
41,DescribePortfolioShares,Grants permission to view a summary of each of the portfolio shares that were created for the specified portfolio,List,Portfolio*,,
42,DescribeProduct,Grants permission to describe a product as an end-user,Read,Product*,,
43,DescribeProductAsAdmin,Grants permission to describe a product as an admin,Read,Product*,,
44,DescribeProductView,Grants permission to describe a product as an end-user,Read,,,
45,DescribeProvisionedProduct,Grants permission to describe a provisioned product,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
46,DescribeProvisionedProductPlan,Grants permission to describe a provisioned product plan,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
47,DescribeProvisioningArtifact,Grants permission to describe a provisioning artifact,Read,Product*,,
48,DescribeProvisioningParameters,Grants permission to describe the parameters that you need to specify to successfully provision a specified provisioning artifact,Read,Product*,,
49,DescribeRecord,Grants permission to describe a record and lists any outputs,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
50,DescribeServiceAction,Grants permission to describe a self-service action,Read,,,
51,DescribeServiceActionExecutionParameters,Grants permission to get the default parameters if you executed the specified Service Action on the specified Provisioned Product,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
52,DescribeTagOption,Grants permission to get information about the specified TagOption,Read,,,
53,DisableAWSOrganizationsAccess,Grants permission to disable portfolio sharing through AWS Organizations feature,Write,,,
54,DisassociateAttributeGroup,Grants permission to disassociate an attribute group from an application,Write,Application*,,
55,DisassociateAttributeGroup,Grants permission to disassociate an attribute group from an application,Write,AttributeGroup*,,
56,DisassociateBudgetFromResource,Grants permission to disassociate a budget from a resource,Write,,,
57,DisassociatePrincipalFromPortfolio,Grants permission to disassociate an IAM principal from a portfolio,Write,Portfolio*,,
58,DisassociateProductFromPortfolio,Grants permission to disassociate a product from a portfolio,Write,,,
59,DisassociateResource,Grants permission to disassociate a resource from an application,Write,Application*,,
60,DisassociateServiceActionFromProvisioningArtifact,Grants permission to disassociate the specified self-service action association from the specified provisioning artifact,Write,Product*,,
