,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateDRTLogBucket,Grants permission to authorize the DDoS Response team to access the specified Amazon S3 bucket containing your flow logs,Write,,,s3:GetBucketPolicy  s3:PutBucketPolicy
1,AssociateDRTRole,"Grants permission to authorize the DDoS Response team using the specified role, to access your AWS account to assist with DDoS attack mitigation during potential attacks",Write,,,iam:GetRole  iam:ListAttachedRolePolicies  iam:PassRole
2,AssociateHealthCheck,Grants permission to add health-based detection to the Shield Advanced protection for a resource,Write,protection*,,route53:GetHealthCheck
3,AssociateHealthCheck,Grants permission to add health-based detection to the Shield Advanced protection for a resource,Write,,aws:ResourceTag/${TagKey},
4,AssociateProactiveEngagementDetails,Grants permission to initialize proactive engagement and set the list of contacts for the DDoS Response Team (DRT) to use,Write,,,
5,CreateProtection,Grants permission to activate DDoS protection service for a given resource ARN,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateProtectionGroup,Grants permission to create a grouping of protected resources so they can be handled as a collective,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateSubscription,Grants permission to activate subscription,Write,,,
8,DeleteProtection,Grants permission to delete an existing protection,Write,protection*,,
9,DeleteProtection,Grants permission to delete an existing protection,Write,,aws:ResourceTag/${TagKey},
10,DeleteProtectionGroup,Grants permission to remove the specified protection group,Write,protection-group*,,
11,DeleteProtectionGroup,Grants permission to remove the specified protection group,Write,,aws:ResourceTag/${TagKey},
12,DeleteSubscription,Grants permission to deactivate subscription,Write,,,
13,DescribeAttack,Grants permission to get attack details,Read,attack*,,
14,DescribeAttackStatistics,Grants permission to describe information about the number and type of attacks AWS Shield has detected in the last year,Read,,,
15,DescribeDRTAccess,Grants permission to describe the current role and list of Amazon S3 log buckets used by the DDoS Response team to access your AWS account while assisting with attack mitigation,Read,,,
16,DescribeEmergencyContactSettings,Grants permission to list the email addresses that the DRT can use to contact you during a suspected attack,Read,,,
17,DescribeProtection,Grants permission to get protection details,Read,protection*,,
18,DescribeProtection,Grants permission to get protection details,Read,,aws:ResourceTag/${TagKey},
19,DescribeProtectionGroup,Grants permission to describe the specification for the specified protection group,Read,protection-group*,,
20,DescribeProtectionGroup,Grants permission to describe the specification for the specified protection group,Read,,aws:ResourceTag/${TagKey},
21,DescribeSubscription,"Grants permission to get subscription details, such as start time",Read,,,
22,DisableApplicationLayerAutomaticResponse,Grants permission to disable application layer automatic response for Shield Advanced protection for a resource,Write,,,
23,DisableProactiveEngagement,Grants permission to remove authorization from the DDoS Response Team (DRT) to notify contacts about escalations,Write,,,
24,DisassociateDRTLogBucket,Grants permission to remove the DDoS Response team's access to the specified Amazon S3 bucket containing your flow logs,Write,,,s3:DeleteBucketPolicy  s3:GetBucketPolicy  s3:PutBucketPolicy
25,DisassociateDRTRole,Grants permission to remove the DDoS Response team's access to your AWS account,Write,,,
26,DisassociateHealthCheck,Grants permission to remove health-based detection from the Shield Advanced protection for a resource,Write,protection*,,
27,DisassociateHealthCheck,Grants permission to remove health-based detection from the Shield Advanced protection for a resource,Write,,aws:ResourceTag/${TagKey},
28,EnableApplicationLayerAutomaticResponse,Grants permission to enable application layer automatic response for Shield Advanced protection for a resource,Write,,,cloudfront:GetDistribution  iam:CreateServiceLinkedRole  iam:GetRole
29,EnableProactiveEngagement,Grants permission to authorize the DDoS Response Team (DRT) to use email and phone to notify contacts about escalations,Write,,,
30,GetSubscriptionState,Grants permission to get subscription state,Read,,,
31,ListAttacks,Grants permission to list all existing attacks,List,,,
32,ListProtectionGroups,Grants permission to retrieve the protection groups for the account,List,,,
33,ListProtections,Grants permission to list all existing protections,List,,,
34,ListResourcesInProtectionGroup,Grants permission to retrieve the resources that are included in the protection group,List,protection-group*,,
35,ListTagsForResource,Grants permission to get information about AWS tags for a specified Amazon Resource Name (ARN) in AWS Shield,Read,protection,,
36,ListTagsForResource,Grants permission to get information about AWS tags for a specified Amazon Resource Name (ARN) in AWS Shield,Read,protection-group,,
37,TagResource,Grants permission to add or updates tags for a resource in AWS Shield,Tagging,protection,,
38,TagResource,Grants permission to add or updates tags for a resource in AWS Shield,Tagging,protection-group,,
39,TagResource,Grants permission to add or updates tags for a resource in AWS Shield,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
40,UntagResource,Grants permission to remove tags from a resource in AWS Shield,Tagging,protection,,
41,UntagResource,Grants permission to remove tags from a resource in AWS Shield,Tagging,protection-group,,
42,UntagResource,Grants permission to remove tags from a resource in AWS Shield,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
43,UpdateApplicationLayerAutomaticResponse,Grants permission to update application layer automatic response for Shield Advanced protection for a resource,Write,,,
44,UpdateEmergencyContactSettings,Grants permission to update the details of the list of email addresses that the DRT can use to contact you during a suspected attack,Write,,,
45,UpdateProtectionGroup,Grants permission to update an existing protection group,Write,protection-group*,,
46,UpdateProtectionGroup,Grants permission to update an existing protection group,Write,,aws:ResourceTag/${TagKey},
47,UpdateSubscription,Grants permission to update the details of an existing subscription,Write,,,
