,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddProfilePermission,Grants permission to add cross-account permissions to a Signing Profile,Permissions management,signing-profile*,,
1,AddProfilePermission,Grants permission to add cross-account permissions to a Signing Profile,Permissions management,,signer:ProfileVersion,
2,CancelSigningProfile,Grants permission to change the state of a Signing Profile to CANCELED,Write,signing-profile*,,
3,CancelSigningProfile,Grants permission to change the state of a Signing Profile to CANCELED,Write,,signer:ProfileVersion,
4,DescribeSigningJob,Grants permission to return information about a specific Signing Job,Read,signing-job*,,
5,GetSigningPlatform,Grants permission to return information about a specific Signing Platform,Read,,,
6,GetSigningProfile,Grants permission to return information about a specific Signing Profile,Read,signing-profile*,,
7,GetSigningProfile,Grants permission to return information about a specific Signing Profile,Read,,signer:ProfileVersion,
8,ListProfilePermissions,Grants permission to list the cross-account permissions associated with a Signing Profile,Read,signing-profile*,,
9,ListSigningJobs,Grants permission to list all Signing Jobs in your account,List,,,
10,ListSigningPlatforms,Grants permission to list all available Signing Platforms,List,,,
11,ListSigningProfiles,Grants permission to list all Signing Profiles in your account,List,,,
12,ListTagsForResource,Grants permission to list the tags associated with a Signing Profile,Read,signing-profile*,,
13,PutSigningProfile,Grants permission to create a new Signing Profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,RemoveProfilePermission,Grants permission to remove cross-account permissions from a Signing Profile,Permissions management,signing-profile*,,
15,RemoveProfilePermission,Grants permission to remove cross-account permissions from a Signing Profile,Permissions management,,signer:ProfileVersion,
16,RevokeSignature,Grants permission to change the state of a Signing Job to REVOKED,Write,signing-job*,,
17,RevokeSignature,Grants permission to change the state of a Signing Job to REVOKED,Write,,signer:ProfileVersion,
18,RevokeSigningProfile,Grants permission to change the state of a Signing Profile to REVOKED,Write,signing-profile*,,
19,RevokeSigningProfile,Grants permission to change the state of a Signing Profile to REVOKED,Write,,signer:ProfileVersion,
20,StartSigningJob,Grants permission to initiate a Signing Job on the provided code,Write,signing-profile*,,
21,StartSigningJob,Grants permission to initiate a Signing Job on the provided code,Write,,signer:ProfileVersion,
22,TagResource,Grants permission to add one or more tags to a Signing Profile,Tagging,signing-profile*,,
23,TagResource,Grants permission to add one or more tags to a Signing Profile,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
24,UntagResource,Grants permission to remove one or more tags from a Signing Profile,Tagging,signing-profile*,,
25,UntagResource,Grants permission to remove one or more tags from a Signing Profile,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
