,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelTask,Grants permission to cancel tasks on remote devices,Write,task*,,
1,CreateTask,Grants permission to create tasks on remote devices,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DescribeDevice,Grants permission to describe a remotely-managed device,Read,managed-device*,,
3,DescribeDeviceEc2Instances,Grants permission to describe a remotely-managed device's EC2 instances,Read,managed-device*,,
4,DescribeExecution,Grants permission to describe task executions,Read,,,
5,DescribeTask,Grants permission to describe a task,Read,task*,,
6,ListDeviceResources,Grants permission to list a remotely-managed device's resources,List,managed-device*,,
7,ListDevices,Grants permission to list remotely-managed devices,List,,,
8,ListExecutions,Grants permission to list task executions,List,,,
9,ListTagsForResource,Grants permission to list the tags for a resource (device or task),Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,ListTasks,Grants permission to list tasks,List,,,
11,TagResource,Grants permission to tag a resource,Tagging,managed-device,,
12,TagResource,Grants permission to tag a resource,Tagging,task,,
13,TagResource,Grants permission to tag a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,UntagResource,Grants permission to untag a resource,Tagging,managed-device,,
15,UntagResource,Grants permission to untag a resource,Tagging,task,,
16,UntagResource,Grants permission to untag a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
