,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelCluster,Cancels a cluster job.,Write,,,
1,CancelJob,Cancels the specified job.,Write,,,
2,CreateAddress,Creates an address for a Snowball to be shipped to.,Write,,,
3,CreateCluster,Creates an empty cluster.,Write,,,
4,CreateJob,Creates a job to import or export data between Amazon S3 and your on-premises data center.,Write,,,
5,CreateLongTermPricing,Grants permission to creates a LongTermPricingListEntry for allowing customers to add an upfront billing contract for a job,Write,,,
6,CreateReturnShippingLabel,Creates a shipping label that will be used to return the Snow device to AWS.,Write,,,
7,DescribeAddress,Takes an AddressId and returns specific details about that address in the form of an Address object.,Read,,,
8,DescribeAddresses,Returns a specified number of ADDRESS objects.,List,,,
9,DescribeCluster,"Returns information about a specific cluster including shipping information, cluster status, and other important metadata.",Read,,,
10,DescribeJob,"Returns information about a specific job including shipping information, job status, and other important metadata.",Read,,,
11,DescribeReturnShippingLabel,Information on the shipping label of a Snow device that is being returned to AWS.,Read,,,
12,GetJobManifest,Returns a link to an Amazon S3 presigned URL for the manifest file associated with the specified JobId value.,Read,,,
13,GetJobUnlockCode,Returns the UnlockCode code value for the specified job.,Read,,,
14,GetSnowballUsage,"Returns information about the Snowball service limit for your account, and also the number of Snowballs your account has in use.",Read,,,
15,GetSoftwareUpdates,Returns an Amazon S3 presigned URL for an update file associated with a specified JobId.,Read,,,
16,ListClusterJobs,Returns an array of JobListEntry objects of the specified length.,List,,,
17,ListClusters,Returns an array of ClusterListEntry objects of the specified length.,List,,,
18,ListCompatibleImages,This action returns a list of the different Amazon EC2 Amazon Machine Images (AMIs) that are owned by your AWS account that would be supported for use on a Snow device.,List,,,
19,ListJobs,Returns an array of JobListEntry objects of the specified length.,List,,,
20,ListLongTermPricing,Grants permission to list LongTermPricingListEntry objects for the account making the request,Read,,,
21,UpdateCluster,"While a cluster's ClusterState value is in the AwaitingQuorum state, you can update some of the information associated with a cluster.",Write,,,
22,UpdateJob,"While a job's JobState value is New, you can update some of the information associated with a job.",Write,,,
23,UpdateJobShipmentState,Updates the state when a the shipment states changes to a different state.,Write,,,
24,UpdateLongTermPricing,Grants permission to update a specific upfront billing contract for a job,Write,,,
