,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddAttachmentsToSet,Adds one or more attachments to an AWS Support case.,Write,,,
1,AddCommunicationToCase,Adds a customer communication to an AWS Support case.,Write,,,
2,CreateCase,Creates a new AWS Support case.,Write,,,
3,DescribeAttachment,Returns the description for an attachment.,Read,,,
4,DescribeCaseAttributes,This is an internally managed function which allows secondary services to read AWS Support case attributes.,Read,,,
5,DescribeCases,Returns a list of AWS Support cases that matches the given inputs.,Read,,,
6,DescribeCommunications,Returns the communications and attachments for one or more AWS Support cases.,Read,,,
7,DescribeIssueTypes,Returns issue types for AWS Support cases.,Read,,,
8,DescribeServices,Returns the current list of AWS services and categories that applies to each service.,Read,,,
9,DescribeSeverityLevels,Returns the list of severity levels that can be assigned to an AWS Support case.,Read,,,
10,DescribeSupportLevel,Returns the support level for an AWS Account identifier.,Read,,,
11,DescribeTrustedAdvisorCheckRefreshStatuses,Returns the status of a Trusted Advisor refresh check based on a list of check identifiers.,Read,,,
12,DescribeTrustedAdvisorCheckResult,Returns the results of the Trusted Advisor check that has the specified check identifier.,Read,,,
13,DescribeTrustedAdvisorCheckSummaries,Returns the summaries of the results of the Trusted Advisor checks that have the specified check identifiers.,Read,,,
14,DescribeTrustedAdvisorChecks,"Returns a list of all available Trusted Advisor checks, including name, identifier, category and description.",Read,,,
15,InitiateCallForCase,This is an internally managed function to initiate a call on AWS Support Center.,Write,,,
16,InitiateChatForCase,This is an internally managed function to initiate a chat on AWS Support Center.,Write,,,
17,PutCaseAttributes,This is an internally managed function which allows secondary services to attach attributes to AWS Support cases.,Write,,,
18,RateCaseCommunication,Rate an AWS Support case communication.,Write,,,
19,RefreshTrustedAdvisorCheck,Requests a refresh of the Trusted Advisor check that has the specified check identifier.,Write,,,
20,ResolveCase,Resolves an AWS Support case.,Write,,,
21,SearchForCases,Returns a list of AWS Support cases that matches the given inputs.,Read,,,
