,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptPage,Grants permission to accept a page,Write,page*,,
1,ActivateContactChannel,Grants permission to activate a contact's contact channel,Write,contactchannel*,,
2,AssociateContact [permission only],Grants permission to use a contact in an escalation plan,Permissions management,contact*,,
3,CreateContact,Grants permission to create a contact,Write,contact*,,ssm-contacts:AssociateContact
4,CreateContactChannel,Grants permission to create a contact channel for a contact,Write,contact*,,
5,DeactivateContactChannel,Grants permission to deactivate a contact's contact channel,Write,contactchannel*,,
6,DeleteContact,Grants permission to delete a contact,Write,contact*,,
7,DeleteContactChannel,Grants permission to delete a contact's contact channel,Write,contactchannel*,,
8,DeleteContactPolicy,Grants permission to delete a contact's resource policy,Write,contact*,,
9,DescribeEngagement,Grants permission to describe an engagement,Read,engagement*,,
10,DescribePage,Grants permission to describe a page,Read,page*,,
11,GetContact,Grants permission to get a contact,Read,contact*,,
12,GetContactChannel,Grants permission to get a contact's contact channel,Read,contactchannel*,,
13,GetContactPolicy,Grants permission to get a contact's resource policy,Read,contact*,,
14,ListContactChannels,Grants permission to list all of a contact's contact channels,List,contact*,,
15,ListContacts,Grants permission to list all contacts,List,,,
16,ListEngagements,Grants permission to list all engagements,List,,,
17,ListPageReceipts,Grants permission to list all receipts of a page,List,page*,,
18,ListPagesByContact,Grants permission to list all pages sent to a contact,List,contact*,,
19,ListPagesByEngagement,Grants permission to list all pages created in an engagement,List,engagement*,,
20,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,contact*,,
21,PutContactPolicy,Grants permission to add a resource policy to a contact,Write,contact*,,
22,SendActivationCode,Grants permission to send the activation code of a contact's contact channel,Write,contactchannel*,,
23,StartEngagement,Grants permission to start an engagement,Write,contact*,,
24,StopEngagement,Grants permission to stop an engagement,Write,engagement*,,
25,TagResource,Grants permission to add tags to a response plan,Tagging,contact*,,
26,UntagResource,Grants permission to remove tags from a response plan,Tagging,contact*,,
27,UpdateContact,Grants permission to update a contact,Write,contact*,,ssm-contacts:AssociateContact
28,UpdateContactChannel,Grants permission to update a contact's contact channel,Write,contactchannel*,,
29,UpdateContactPolicy,Grants permission to update a contact's resource policy,Write,contact*,,
