,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,automation-execution,,
1,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,document,,
2,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,maintenancewindow,,
3,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,managed-instance,,
4,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,opsitem,,
5,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,opsmetadata,,
6,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,parameter,,
7,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,patchbaseline,,
8,AssociateOpsItemRelatedItem,Grants permission to associate RelatedItem to an OpsItem,Write,opsitem*,,
9,CancelCommand,Grants permission to cancel a specified Run Command command,Write,,,
10,CancelMaintenanceWindowExecution,Grants permission to cancel an in-progress maintenance window execution,Write,,,
11,CreateActivation,Grants permission to create an activation that is used to register on-premises servers and virtual machines (VMs) with Systems Manager,Write,,,
12,CreateAssociation,Grants permission to associate a specified Systems Manager document with specified instances or other targets,Write,document*,,
13,CreateAssociation,Grants permission to associate a specified Systems Manager document with specified instances or other targets,Write,instance,,
14,CreateAssociation,Grants permission to associate a specified Systems Manager document with specified instances or other targets,Write,managed-instance,,
15,CreateAssociationBatch,Grants permission to combine entries for multiple CreateAssociation operations in a single command,Write,document*,,
16,CreateAssociationBatch,Grants permission to combine entries for multiple CreateAssociation operations in a single command,Write,instance,,
17,CreateAssociationBatch,Grants permission to combine entries for multiple CreateAssociation operations in a single command,Write,managed-instance,,
18,CreateDocument,Grants permission to create a Systems Manager SSM document,Write,document*,,iam:PassRole
19,CreateDocument,Grants permission to create a Systems Manager SSM document,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,CreateMaintenanceWindow,Grants permission to create a maintenance window,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateOpsItem,Grants permission to create an OpsItem in OpsCenter,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,CreateOpsMetadata,Grants permission to create an OpsMetadata object for an AWS resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreatePatchBaseline,Grants permission to create a patch baseline,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateResourceDataSync,"Grants permission to create a resource data sync configuration, which regularly collects inventory data from managed instances and updates the data in an Amazon S3 bucket",Write,resourcedatasync*,,
25,CreateResourceDataSync,"Grants permission to create a resource data sync configuration, which regularly collects inventory data from managed instances and updates the data in an Amazon S3 bucket",Write,,ssm:SyncType,
26,DeleteActivation,Grants permission to delete a specified activation for managed instances,Write,,,
27,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,association,,
28,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,document,,
29,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,instance,,
30,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,managed-instance,,
31,DeleteDocument,Grants permission to delete a specified SSM document and its instance associations,Write,document*,,
32,DeleteInventory,"Grants permission to delete a specified custom inventory type, or the data associated with a custom inventory type",Write,,,
33,DeleteMaintenanceWindow,Grants permission to delete a specified maintenance window,Write,maintenancewindow*,,
34,DeleteOpsMetadata,Grants permission to delete an OpsMetadata object,Write,opsmetadata*,,
35,DeleteParameter,Grants permission to delete a specified SSM parameter,Write,parameter*,,
36,DeleteParameters,Grants permission to delete multiple specified SSM parameters,Write,parameter*,,
37,DeletePatchBaseline,Grants permission to delete a specified patch baseline,Write,patchbaseline*,,
38,DeleteResourceDataSync,Grants permission to delete a specified resource data sync,Write,resourcedatasync*,,
39,DeleteResourceDataSync,Grants permission to delete a specified resource data sync,Write,,ssm:SyncType,
40,DeregisterManagedInstance,Grants permission to deregister a specified on-premises server or virtual machine (VM) from Systems Manager,Write,managed-instance*,,
41,DeregisterPatchBaselineForPatchGroup,Grants permission to deregister a specified patch baseline from being the default patch baseline for a specified patch group,Write,patchbaseline*,,
42,DeregisterTargetFromMaintenanceWindow,Grants permission to deregister a specified target from a maintenance window,Write,maintenancewindow*,,
43,DeregisterTaskFromMaintenanceWindow,Grants permission to deregister a specified task from a maintenance window,Write,maintenancewindow*,,
44,DescribeActivations,"Grants permission to view details about a specified managed instance activation, such as when it was created and the number of instances registered using the activation",Read,,,
45,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,association,,
46,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,document,,
47,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,instance,,
48,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,managed-instance,,
49,DescribeAssociationExecutionTargets,Grants permission to view information about a specified association execution,Read,,,
50,DescribeAssociationExecutions,Grants permission to view all executions for a specified association,Read,,,
51,DescribeAutomationExecutions,Grants permission to view details about all active and terminated Automation executions,Read,,,
52,DescribeAutomationStepExecutions,Grants permission to view information about all active and terminated step executions in an Automation workflow,Read,,,
53,DescribeAvailablePatches,Grants permission to view all patches eligible to include in a patch baseline,Read,,,
54,DescribeDocument,Grants permission to view details about a specified SSM document,Read,document*,,
55,DescribeDocumentParameters,Grants permission to display information about SSM document parameters in the Systems Manager console (internal Systems Manager action),Read,document*,,
56,DescribeDocumentPermission,Grants permission to view the permissions for a specified SSM document,Read,document*,,
57,DescribeEffectiveInstanceAssociations,Grants permission to view all current associations for a specified instance,Read,instance,,
58,DescribeEffectiveInstanceAssociations,Grants permission to view all current associations for a specified instance,Read,managed-instance,,
59,DescribeEffectivePatchesForPatchBaseline,Grants permission to view details about the patches currently associated with the specified patch baseline (Windows only),Read,patchbaseline*,,
60,DescribeInstanceAssociationsStatus,Grants permission to view the status of the associations for a specified instance,Read,instance,,
61,DescribeInstanceAssociationsStatus,Grants permission to view the status of the associations for a specified instance,Read,managed-instance,,
62,DescribeInstanceInformation,Grants permission to view details about a specified instance,Read,,,
63,DescribeInstancePatchStates,Grants permission to view status details about patches on a specified instance,Read,,,
64,DescribeInstancePatchStatesForPatchGroup,Grants permission to describe the high-level patch state for the instances in the specified patch group,Read,,,
65,DescribeInstancePatches,Grants permission to view general details about the patches on a specified instance,Read,,,
66,DescribeInstanceProperties,Grants permission to user's Amazon EC2 console to render managed instances' nodes,Read,,,
67,DescribeInventoryDeletions,Grants permission to view details about a specified inventory deletion,Read,,,
68,DescribeMaintenanceWindowExecutionTaskInvocations,Grants permission to view details of a specified task execution for a maintenance window,List,,,
69,DescribeMaintenanceWindowExecutionTasks,Grants permission to view details about the tasks that ran during a specified maintenance window execution,List,,,
70,DescribeMaintenanceWindowExecutions,Grants permission to view the executions of a specified maintenance window,List,maintenancewindow*,,
71,DescribeMaintenanceWindowSchedule,Grants permission to view details about upcoming executions of a specified maintenance window,List,,,
72,DescribeMaintenanceWindowTargets,Grants permission to view a list of the targets associated with a specified maintenance window,List,maintenancewindow*,,
73,DescribeMaintenanceWindowTasks,Grants permission to view a list of the tasks associated with a specified maintenance window,List,maintenancewindow*,,
74,DescribeMaintenanceWindows,Grants permission to view information about all or specified maintenance windows,List,,,
75,DescribeMaintenanceWindowsForTarget,Grants permission to view information about the maintenance window targets and tasks associated with a specified instance,List,,,
