,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,DescribeAccount [permission only],Grants permission to view the AWS Support plan and various AWS Trusted Advisor preferences,Read,,,
1,DescribeAccountAccess [permission only],Grants permission to view if the AWS account has enabled or disabled AWS Trusted Advisor,Read,,,
2,DescribeCheckItems,Grants permission to view details for the check items,Read,checks*,,
3,DescribeCheckRefreshStatuses,Grants permission to view the refresh statuses for AWS Trusted Advisor checks,Read,checks*,,
4,DescribeCheckSummaries,Grants permission to view AWS Trusted Advisor check summaries,Read,checks*,,
5,DescribeChecks,Grants permission to view details for AWS Trusted Advisor checks,Read,,,
6,DescribeNotificationPreferences [permission only],Grants permission to view the notification preferences for the AWS account,Read,,,
7,DescribeOrganization [permission only],Grants permission to view if the AWS account meets the requirements to enable the organizational view feature,Read,,,
8,DescribeOrganizationAccounts [permission only],Grants permission to view the linked AWS accounts that are in the organization,Read,,,
9,DescribeReports [permission only],"Grants permission to view details for organizational view reports, such as the report name, runtime, date created, status, and format",Read,,,
10,DescribeRisk,Grants permission to view risk details in AWS Trusted Advisor Priority,Read,,,
11,DescribeRiskResources,Grants permission to view affected resources for a risk in AWS Trusted Advisor Priority,Read,,,
12,DescribeRisks,Grants permission to view risks in AWS Trusted Advisor Priority,Read,,,
13,DescribeServiceMetadata [permission only],"Grants permission to view information about organizational view reports, such as the AWS Regions, check categories, check names, and resource statuses",Read,,,
14,DownloadRisk,Grants permission to download a file that contains details about the risk in AWS Trusted Advisor Priority,Read,,,
15,ExcludeCheckItems [permission only],Grants permission to exclude recommendations for AWS Trusted Advisor checks,Write,checks*,,
16,GenerateReport [permission only],Grants permission to create a report for AWS Trusted Advisor checks in your organization,Write,,,
17,IncludeCheckItems [permission only],Grants permission to include recommendations for AWS Trusted Advisor checks,Write,checks*,,
18,ListAccountsForParent [permission only],"Grants permission to view, in the Trusted Advisor console, all of the accounts in an AWS organization that are contained by a root or organizational unit (OU)",Read,,,
19,ListOrganizationalUnitsForParent [permission only],"Grants permission to view, in the Trusted Advisor console, all of the organizational units (OUs) in a parent organizational unit or root",Read,,,
20,ListRoots [permission only],"Grants permission to view, in the Trusted Advisor console, all of the roots that are defined in an AWS organization",Read,,,
21,RefreshCheck,Grants permission to refresh an AWS Trusted Advisor check,Write,checks*,,
22,SetAccountAccess [permission only],Grants permission to enable or disable AWS Trusted Advisor for the account,Write,,,
23,SetOrganizationAccess [permission only],Grants permission to enable the organizational view feature for AWS Trusted Advisor,Write,,,
24,UpdateNotificationPreferences [permission only],Grants permission to update notification preferences for AWS Trusted Advisor,Write,,,
25,UpdateRiskStatus,Grants permission to update the risk status in AWS Trusted Advisor Priority,Write,,,
