,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateWebACL,Grants permission to associate a web ACL with a resource,Write,loadbalancer/app/*,,
1,AssociateWebACL,Grants permission to associate a web ACL with a resource,Write,webacl*,,
2,CreateByteMatchSet,Grants permission to create a ByteMatchSet,Write,bytematchset*,,
3,CreateGeoMatchSet,Grants permission to create a GeoMatchSet,Write,geomatchset*,,
4,CreateIPSet,Grants permission to create an IPSet,Write,ipset*,,
5,CreateRateBasedRule,Grants permission to create a RateBasedRule,Write,ratebasedrule*,,
6,CreateRateBasedRule,Grants permission to create a RateBasedRule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateRegexMatchSet,Grants permission to create a RegexMatchSet,Write,regexmatchset*,,
8,CreateRegexPatternSet,Grants permission to create a RegexPatternSet,Write,regexpatternset*,,
9,CreateRule,Grants permission to create a Rule,Write,rule*,,
10,CreateRule,Grants permission to create a Rule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateRuleGroup,Grants permission to create a RuleGroup,Write,rulegroup*,,
12,CreateRuleGroup,Grants permission to create a RuleGroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateSizeConstraintSet,Grants permission to create a SizeConstraintSet,Write,sizeconstraintset*,,
14,CreateSqlInjectionMatchSet,Grants permission to create an SqlInjectionMatchSet,Write,sqlinjectionmatchset*,,
15,CreateWebACL,Grants permission to create a WebACL,Permissions management,webacl*,,
16,CreateWebACL,Grants permission to create a WebACL,Permissions management,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateWebACLMigrationStack,Grants permission to create a CloudFormation web ACL template in an S3 bucket for the purposes of migrating the web ACL from AWS WAF Classic to AWS WAF v2,Write,webacl*,,s3:PutObject
18,CreateXssMatchSet,Grants permission to create an XssMatchSet,Write,xssmatchset*,,
19,DeleteByteMatchSet,Grants permission to delete a ByteMatchSet,Write,bytematchset*,,
20,DeleteGeoMatchSet,Grants permission to delete a GeoMatchSet,Write,geomatchset*,,
21,DeleteIPSet,Grants permission to delete an IPSet,Write,ipset*,,
22,DeleteLoggingConfiguration,Grants permission to delete a LoggingConfiguration from a web ACL,Write,webacl*,,
23,DeletePermissionPolicy,Grants permission to delete an IAM policy from a rule group,Permissions management,rulegroup*,,
24,DeleteRateBasedRule,Grants permission to delete a RateBasedRule,Write,ratebasedrule*,,
25,DeleteRegexMatchSet,Grants permission to delete a RegexMatchSet,Write,regexmatchset*,,
26,DeleteRegexPatternSet,Grants permission to delete a RegexPatternSet,Write,regexpatternset*,,
27,DeleteRule,Grants permission to delete a Rule,Write,rule*,,
28,DeleteRuleGroup,Grants permission to delete a RuleGroup,Write,rulegroup*,,
29,DeleteSizeConstraintSet,Grants permission to delete a SizeConstraintSet,Write,sizeconstraintset*,,
30,DeleteSqlInjectionMatchSet,Grants permission to delete an SqlInjectionMatchSet,Write,sqlinjectionmatchset*,,
31,DeleteWebACL,Grants permission to delete a WebACL,Permissions management,webacl*,,
32,DeleteXssMatchSet,Grants permission to delete an XssMatchSet,Write,xssmatchset*,,
33,DisassociateWebACL,Grants permission to delete an association between a web ACL and a resource,Write,loadbalancer/app/*,,
34,GetByteMatchSet,Grants permission to retrieve a ByteMatchSet,Read,bytematchset*,,
35,GetChangeToken,"Grants permission to retrieve a change token to use in create, update, and delete requests",Read,,,
36,GetChangeTokenStatus,Grants permission to retrieve the status of a change token,Read,,,
37,GetGeoMatchSet,Grants permission to retrieve a GeoMatchSet,Read,geomatchset*,,
38,GetIPSet,Grants permission to retrieve an IPSet,Read,ipset*,,
39,GetLoggingConfiguration,Grants permission to retrieve a LoggingConfiguration,Read,webacl*,,
40,GetPermissionPolicy,Grants permission to retrieve an IAM policy attached to a RuleGroup,Read,rulegroup*,,
41,GetRateBasedRule,Grants permission to retrieve a RateBasedRule,Read,ratebasedrule*,,
42,GetRateBasedRuleManagedKeys,Grants permission to retrieve the array of IP addresses that are currently being blocked by a RateBasedRule,Read,ratebasedrule*,,
43,GetRegexMatchSet,Grants permission to retrieve a RegexMatchSet,Read,regexmatchset*,,
44,GetRegexPatternSet,Grants permission to retrieve a RegexPatternSet,Read,regexpatternset*,,
45,GetRule,Grants permission to retrieve a Rule,Read,rule*,,
46,GetRuleGroup,Grants permission to retrieve a RuleGroup,Read,rulegroup*,,
47,GetSampledRequests,Grants permission to retrieve detailed information for a sample set of web requests,Read,rule,,
48,GetSampledRequests,Grants permission to retrieve detailed information for a sample set of web requests,Read,webacl,,
49,GetSizeConstraintSet,Grants permission to retrieve a SizeConstraintSet,Read,sizeconstraintset*,,
50,GetSqlInjectionMatchSet,Grants permission to retrieve an SqlInjectionMatchSet,Read,sqlinjectionmatchset*,,
51,GetWebACL,Grants permission to retrieve a WebACL,Read,webacl*,,
52,GetWebACLForResource,Grants permission to retrieve a WebACL that's associated with a specified resource,Read,loadbalancer/app/*,,
53,GetXssMatchSet,Grants permission to retrieve an XssMatchSet,Read,xssmatchset*,,
54,ListActivatedRulesInRuleGroup,Grants permission to retrieve an array of ActivatedRule objects,List,,,
55,ListByteMatchSets,Grants permission to retrieve an array of ByteMatchSetSummary objects,List,,,
56,ListGeoMatchSets,Grants permission to retrieve an array of GeoMatchSetSummary objects,List,,,
57,ListIPSets,Grants permission to retrieve an array of IPSetSummary objects,List,,,
58,ListLoggingConfigurations,Grants permission to retrieve an array of LoggingConfiguration objects,List,,,
59,ListRateBasedRules,Grants permission to retrieve an array of RuleSummary objects,List,,,
60,ListRegexMatchSets,Grants permission to retrieve an array of RegexMatchSetSummary objects,List,,,
61,ListRegexPatternSets,Grants permission to retrieve an array of RegexPatternSetSummary objects,List,,,
62,ListResourcesForWebACL,Grants permission to retrieve an array of resources associated with a specified WebACL,List,webacl*,,
63,ListRuleGroups,Grants permission to retrieve an array of RuleGroup objects,List,,,
64,ListRules,Grants permission to retrieve an array of RuleSummary objects,List,,,
65,ListSizeConstraintSets,Grants permission to retrieve an array of SizeConstraintSetSummary objects,List,,,
66,ListSqlInjectionMatchSets,Grants permission to retrieve an array of SqlInjectionMatchSet objects,List,,,
67,ListSubscribedRuleGroups,Grants permission to retrieve an array of RuleGroup objects that you are subscribed to,List,,,
68,ListTagsForResource,Grants permission to lists the Tags for a resource,Read,ratebasedrule,,
69,ListTagsForResource,Grants permission to lists the Tags for a resource,Read,rule,,
70,ListTagsForResource,Grants permission to lists the Tags for a resource,Read,rulegroup,,
71,ListTagsForResource,Grants permission to lists the Tags for a resource,Read,webacl,,
72,ListWebACLs,Grants permission to retrieve an array of WebACLSummary objects,List,,,
73,ListXssMatchSets,Grants permission to retrieve an array of XssMatchSet objects,List,,,
74,PutLoggingConfiguration,Grants permission to associates a LoggingConfiguration with a web ACL,Write,webacl*,,iam:CreateServiceLinkedRole
75,PutPermissionPolicy,"Grants permission to attach an IAM policy to a specified rule group, to support rule group sharing between accounts",Permissions management,rulegroup*,,
76,TagResource,Grants permission to add a Tag to a resource,Tagging,ratebasedrule,,
77,TagResource,Grants permission to add a Tag to a resource,Tagging,rule,,
78,TagResource,Grants permission to add a Tag to a resource,Tagging,rulegroup,,
79,TagResource,Grants permission to add a Tag to a resource,Tagging,webacl,,
80,TagResource,Grants permission to add a Tag to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
81,UntagResource,Grants permission to remove a Tag from a resource,Tagging,ratebasedrule,,
82,UntagResource,Grants permission to remove a Tag from a resource,Tagging,rule,,
83,UntagResource,Grants permission to remove a Tag from a resource,Tagging,rulegroup,,
84,UntagResource,Grants permission to remove a Tag from a resource,Tagging,webacl,,
85,UntagResource,Grants permission to remove a Tag from a resource,Tagging,,aws:TagKeys,
86,UpdateByteMatchSet,Grants permission to insert or delete ByteMatchTuple objects in a ByteMatchSet,Write,bytematchset*,,
87,UpdateGeoMatchSet,Grants permission to insert or delete GeoMatchConstraint objects in a GeoMatchSet,Write,geomatchset*,,
88,UpdateIPSet,Grants permission to insert or delete IPSetDescriptor objects in an IPSet,Write,ipset*,,
89,UpdateRateBasedRule,Grants permission to insert or delete predicate objects in a rate based rule and update the RateLimit in the rule,Write,ratebasedrule*,,
90,UpdateRegexMatchSet,Grants permission to insert or delete RegexMatchTuple objects in a RegexMatchSet,Write,regexmatchset*,,
91,UpdateRegexPatternSet,Grants permission to insert or delete RegexPatternStrings in a RegexPatternSet,Write,regexpatternset*,,
92,UpdateRule,Grants permission to insert or delete predicate objects in a Rule,Write,rule*,,
93,UpdateRuleGroup,Grants permission to insert or delete ActivatedRule objects in a RuleGroup,Write,rulegroup*,,
94,UpdateSizeConstraintSet,Grants permission to insert or delete SizeConstraint objects in a SizeConstraintSet,Write,sizeconstraintset*,,
95,UpdateSqlInjectionMatchSet,Grants permission to insert or delete SqlInjectionMatchTuple objects in an SqlInjectionMatchSet,Write,sqlinjectionmatchset*,,
96,UpdateWebACL,Grants permission to insert or delete ActivatedRule objects in a WebACL,Permissions management,webacl*,,
97,UpdateXssMatchSet,Grants permission to insert or delete XssMatchTuple objects in an XssMatchSet,Write,xssmatchset*,,
