,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,webacl*,,
1,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,apigateway,,
2,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,appsync,,
3,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,loadbalancer/app/,,
4,CheckCapacity,Grants permission to calculate web ACL capacity unit (WCU) requirements for a specified scope and set of rules,Read,,,
5,CreateIPSet,Grants permission to create an IPSet,Write,ipset*,,
6,CreateIPSet,Grants permission to create an IPSet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateRegexPatternSet,Grants permission to create a RegexPatternSet,Write,regexpatternset*,,
8,CreateRegexPatternSet,Grants permission to create a RegexPatternSet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateRuleGroup,Grants permission to create a RuleGroup,Write,rulegroup*,,
10,CreateRuleGroup,Grants permission to create a RuleGroup,Write,ipset,,
11,CreateRuleGroup,Grants permission to create a RuleGroup,Write,regexpatternset,,
12,CreateRuleGroup,Grants permission to create a RuleGroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateWebACL,Grants permission to create a WebACL,Write,webacl*,,
14,CreateWebACL,Grants permission to create a WebACL,Write,ipset,,
15,CreateWebACL,Grants permission to create a WebACL,Write,managedruleset,,
16,CreateWebACL,Grants permission to create a WebACL,Write,regexpatternset,,
17,CreateWebACL,Grants permission to create a WebACL,Write,rulegroup,,
18,CreateWebACL,Grants permission to create a WebACL,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,DeleteFirewallManagerRuleGroups,Grants permission to delete FirewallManagedRulesGroups from a WebACL if not managed by Firewall Manager anymore,Write,webacl*,,
20,DeleteIPSet,Grants permission to delete an IPSet,Write,ipset*,,
21,DeleteLoggingConfiguration,Grants permission to delete the LoggingConfiguration from a WebACL,Write,webacl*,,
22,DeletePermissionPolicy,Grants permission to delete the PermissionPolicy on a RuleGroup,Permissions management,rulegroup*,,
23,DeleteRegexPatternSet,Grants permission to delete a RegexPatternSet,Write,regexpatternset*,,
24,DeleteRuleGroup,Grants permission to delete a RuleGroup,Write,rulegroup*,,
25,DeleteWebACL,Grants permission to delete a WebACL,Write,webacl*,,
26,DescribeManagedRuleGroup,Grants permission to retrieve high-level information for a managed rule group,Read,,,
27,DisassociateFirewallManager [permission only],Grants permission to disassociate Firewall Manager from a WebACL,Write,webacl*,,
28,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,apigateway,,
29,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,appsync,,
30,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,loadbalancer/app/,,
31,GenerateMobileSdkReleaseUrl,Grants permission to generate a presigned download URL for the specified release of the mobile SDK,Read,,,
32,GetIPSet,Grants permission to retrieve details about an IPSet,Read,ipset*,,
33,GetIPSet,Grants permission to retrieve details about an IPSet,Read,,aws:ResourceTag/${TagKey},
34,GetLoggingConfiguration,Grants permission to retrieve LoggingConfiguration for a WebACL,Read,webacl*,,
35,GetLoggingConfiguration,Grants permission to retrieve LoggingConfiguration for a WebACL,Read,,aws:ResourceTag/${TagKey},
36,GetManagedRuleSet,Grants permission to retrieve details about a ManagedRuleSet,Read,managedruleset*,,
37,GetMobileSdkRelease,"Grants permission to retrieve information for the specified mobile SDK release, including release notes and tags",Read,,,
38,GetPermissionPolicy,Grants permission to retrieve a PermissionPolicy for a RuleGroup,Read,rulegroup*,,
39,GetRateBasedStatementManagedKeys,Grants permission to retrieve the keys that are currently blocked by a rate-based rule,Read,webacl*,,
40,GetRateBasedStatementManagedKeys,Grants permission to retrieve the keys that are currently blocked by a rate-based rule,Read,,aws:ResourceTag/${TagKey},
41,GetRegexPatternSet,Grants permission to retrieve details about a RegexPatternSet,Read,regexpatternset*,,
42,GetRegexPatternSet,Grants permission to retrieve details about a RegexPatternSet,Read,,aws:ResourceTag/${TagKey},
43,GetRuleGroup,Grants permission to retrieve details about a RuleGroup,Read,rulegroup*,,
44,GetRuleGroup,Grants permission to retrieve details about a RuleGroup,Read,,aws:ResourceTag/${TagKey},
45,GetSampledRequests,Grants permission to retrieve detailed information about a sampling of web requests,Read,webacl*,,
46,GetWebACL,Grants permission to retrieve details about a WebACL,Read,webacl*,,
47,GetWebACL,Grants permission to retrieve details about a WebACL,Read,,aws:ResourceTag/${TagKey},
48,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,apigateway,,
49,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,appsync,,
50,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,loadbalancer/app/,,
51,ListAvailableManagedRuleGroupVersions,Grants permission to retrieve an array of managed rule group versions that are available for you to use,List,,,
52,ListAvailableManagedRuleGroups,Grants permission to retrieve an array of managed rule groups that are available for you to use,List,,,
53,ListIPSets,Grants permission to retrieve an array of IPSetSummary objects for the IP sets that you manage,List,,,
54,ListLoggingConfigurations,Grants permission to retrieve an array of your LoggingConfiguration objects,List,,,
55,ListManagedRuleSets,Grants permission to retrieve an array of your ManagedRuleSet objects,List,,,
56,ListMobileSdkReleases,Grants permission to retrieve a list of the available releases for the mobile SDK and the specified device platform,List,,,
57,ListRegexPatternSets,Grants permission to retrieve an array of RegexPatternSetSummary objects for the regex pattern sets that you manage,List,,,
58,ListResourcesForWebACL,Grants permission to retrieve an array of the Amazon Resource Names (ARNs) for the resources that are associated with a web ACL,List,webacl*,,
59,ListRuleGroups,Grants permission to retrieve an array of RuleGroupSummary objects for the rule groups that you manage,List,,,
60,ListTagsForResource,Grants permission to list tags for a resource,Read,ipset,,
61,ListTagsForResource,Grants permission to list tags for a resource,Read,regexpatternset,,
62,ListTagsForResource,Grants permission to list tags for a resource,Read,rulegroup,,
63,ListTagsForResource,Grants permission to list tags for a resource,Read,webacl,,
64,ListTagsForResource,Grants permission to list tags for a resource,Read,,aws:ResourceTag/${TagKey},
65,ListWebACLs,Grants permission to retrieve an array of WebACLSummary objects for the web ACLs that you manage,List,,,
66,PutFirewallManagerRuleGroups [permission only],Grants permission to create FirewallManagedRulesGroups in a WebACL,Write,webacl*,,
67,PutLoggingConfiguration,"Grants permission to enable a LoggingConfiguration, to start logging for a web ACL",Write,webacl*,,iam:CreateServiceLinkedRole
68,PutManagedRuleSetVersions,Grants permission to enable create a new or update an existing version of a ManagedRuleSet,Write,managedruleset*,,
69,PutManagedRuleSetVersions,Grants permission to enable create a new or update an existing version of a ManagedRuleSet,Write,rulegroup*,,
70,PutPermissionPolicy,"Grants permission to attach an IAM policy to a resource, used to share rule groups between accounts",Permissions management,rulegroup*,,
71,TagResource,Grants permission to associate tags with a AWS resource,Tagging,ipset,,
72,TagResource,Grants permission to associate tags with a AWS resource,Tagging,regexpatternset,,
73,TagResource,Grants permission to associate tags with a AWS resource,Tagging,rulegroup,,
74,TagResource,Grants permission to associate tags with a AWS resource,Tagging,webacl,,
