,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateLenses,Grants permission to associate a lens to the specified workload,Write,workload*,,
1,CreateLensShare,Grants permission to an owner of a lens to share with other AWS accounts and IAM Users,Write,lens*,,
2,CreateLensVersion,Grants permission to create a new lens version,Write,lens*,,
3,CreateMilestone,Grants permission to create a new milestone for the specified workload,Write,workload*,,
4,CreateWorkload,Grants permission to create a new workload,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateWorkloadShare,Grants permission to share a workload with another account,Write,workload*,,
6,DeleteLens,Grants permission to delete a lens,Write,lens*,,
7,DeleteLensShare,Grants permission to delete an existing lens share,Write,lens*,,
8,DeleteWorkload,Grants permission to delete an existing workload,Write,workload*,,
9,DeleteWorkloadShare,Grants permission to delete an existing workload share,Write,workload*,,
10,DisassociateLenses,Grants permission to disassociate a lens from the specified workload,Write,workload*,,
11,ExportLens,Grants permission to export an existing lens,Read,lens*,,
12,GetAnswer,Grants permission to retrieve the specified answer from the specified lens review,Read,workload*,,
13,GetLens,Grants permission to get an existing lens,Read,lens*,,
14,GetLensReview,Grants permission to retrieve the specified lens review of the specified workload,Read,workload*,,
15,GetLensReviewReport,Grants permission to retrieve the report for the specified lens review,Read,workload*,,
16,GetLensVersionDifference,Grants permission to get the difference between the specified lens version and latest available lens version,Read,lens*,,
17,GetMilestone,Grants permission to retrieve the specified milestone of the specified workload,Read,workload*,,
18,GetWorkload,Grants permission to retrieve the specified workload,Read,workload*,,
19,GetWorkload,Grants permission to retrieve the specified workload,Read,,aws:ResourceTag/${TagKey},
20,ImportLens,Grants permission to import a new lens,Write,,,
21,ListAnswers,Grants permission to list the answers from the specified lens review,List,workload*,,
22,ListLensReviewImprovements,Grants permission to list the improvements of the specified lens review,List,workload*,,
23,ListLensReviews,Grants permission to list the lens reviews of the specified workload,List,workload*,,
24,ListLensShares,Grants permission to list all shares created for a lens,List,lens*,,
25,ListLenses,Grants permission to list the lenses available to this account,List,,,
26,ListMilestones,Grants permission to list the milestones of the specified workload,List,workload*,,
27,ListNotifications,Grants permission to list notifications related to the account or specified resource,List,,,
28,ListShareInvitations,Grants permission to list the workload share invitations of the specified account or user,List,,,
29,ListTagsForResource,Grants permission to list tags for a Well-Architected resource,Read,workload*,,
30,ListTagsForResource,Grants permission to list tags for a Well-Architected resource,Read,,aws:ResourceTag/${TagKey},
31,ListWorkloadShares,Grants permission to list the workload shares of the specified workload,List,workload*,,
32,ListWorkloads,Grants permission to list the workloads in this account,List,,,
33,TagResource,Grants permission to tag a Well-Architected resource,Tagging,workload*,,
34,TagResource,Grants permission to tag a Well-Architected resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
35,UntagResource,Grants permission to untag a Well-Architected resource,Tagging,workload*,,
36,UntagResource,Grants permission to untag a Well-Architected resource,Tagging,,aws:TagKeys,
37,UpdateAnswer,Grants permission to update properties of the specified answer,Write,workload*,,
38,UpdateLensReview,Grants permission to update properties of the specified lens review,Write,workload*,,
39,UpdateShareInvitation,Grants permission to update status of the specified workload share invitation,Write,workload*,,
40,UpdateWorkload,Grants permission to update properties of the specified workload,Write,workload*,,
41,UpdateWorkloadShare,Grants permission to update properties of the specified workload,Write,workload*,,
42,UpgradeLensReview,Grants permission to upgrade the specified lens review to use the latest version of the associated lens,Write,workload*,,
