,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetTraces,Grants permission to retrieve a list of traces specified by ID. Each trace is a collection of segment documents that originates from a single request. Use GetTraceSummaries to get a list of trace IDs,List,,,
1,CreateGroup,Grants permission to create a group resource with a name and a filter expression,Write,group*,,
2,CreateGroup,Grants permission to create a group resource with a name and a filter expression,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateSamplingRule,Grants permission to create a rule to control sampling behavior for instrumented applications,Write,sampling-rule*,,
4,CreateSamplingRule,Grants permission to create a rule to control sampling behavior for instrumented applications,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteGroup,Grants permission to delete a group resource,Write,group*,,
6,DeleteGroup,Grants permission to delete a group resource,Write,,aws:ResourceTag/${TagKey},
7,DeleteSamplingRule,Grants permission to delete a sampling rule,Write,sampling-rule*,,
8,DeleteSamplingRule,Grants permission to delete a sampling rule,Write,,aws:ResourceTag/${TagKey},
9,GetEncryptionConfig,Grants permission to retrieve the current encryption configuration for X-Ray data,Read,,,
10,GetGroup,Grants permission to retrieve group resource details,Read,group*,,
11,GetGroup,Grants permission to retrieve group resource details,Read,,aws:ResourceTag/${TagKey},
12,GetGroups,Grants permission to retrieve all active group details,Read,,,
13,GetInsight,Grants permission to retrieve the details of a specific insight,Read,,,
14,GetInsightEvents,Grants permission to retrieve the events of a specific insight,Read,,,
15,GetInsightImpactGraph,Grants permission to retrieve the part of the service graph which is impacted for a specific insight,Read,,,
16,GetInsightSummaries,Grants permission to retrieve the summary of all insights for a group and time range with optional filters,Read,,,
17,GetSamplingRules,Grants permission to retrieve all sampling rules,Read,,,
18,GetSamplingStatisticSummaries,Grants permission to retrieve information about recent sampling results for all sampling rules,Read,,,
19,GetSamplingTargets,Grants permission to request a sampling quota for rules that the service is using to sample requests,Read,,,
20,GetServiceGraph,"Grants permission to retrieve a document that describes services that process incoming requests, and downstream services that they call as a result",Read,,,
21,GetTimeSeriesServiceStatistics,Grants permission to retrieve an aggregation of service statistics defined by a specific time range bucketed into time intervals,Read,,,
22,GetTraceGraph,Grants permission to retrieve a service graph for one or more specific trace IDs,Read,,,
23,GetTraceSummaries,"Grants permission to retrieve IDs and metadata for traces available for a specified time frame using an optional filter. To get the full traces, pass the trace IDs to BatchGetTraces",Read,,,
24,ListTagsForResource,Grants permission to list tags for an X-Ray resource,List,group,,
25,ListTagsForResource,Grants permission to list tags for an X-Ray resource,List,sampling-rule,,
26,PutEncryptionConfig,Grants permission to update the encryption configuration for X-Ray data,Permissions management,,,
27,PutTelemetryRecords,Grants permission to send AWS X-Ray daemon telemetry to the service,Write,,,
28,PutTraceSegments,"Grants permission to upload segment documents to AWS X-Ray. The X-Ray SDK generates segment documents and sends them to the X-Ray daemon, which uploads them in batches",Write,,,
29,TagResource,Grants permission to add tags to an X-Ray resource,Tagging,group,,
30,TagResource,Grants permission to add tags to an X-Ray resource,Tagging,sampling-rule,,
31,TagResource,Grants permission to add tags to an X-Ray resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
32,UntagResource,Grants permission to remove tags from an X-Ray resource,Tagging,group,,
33,UntagResource,Grants permission to remove tags from an X-Ray resource,Tagging,sampling-rule,,
34,UntagResource,Grants permission to remove tags from an X-Ray resource,Tagging,,aws:TagKeys,
35,UpdateGroup,Grants permission to update a group resource,Write,group*,,
36,UpdateGroup,Grants permission to update a group resource,Write,,aws:ResourceTag/${TagKey},
37,UpdateSamplingRule,Grants permission to modify a sampling rule's configuration,Write,sampling-rule*,,
38,UpdateSamplingRule,Grants permission to modify a sampling rule's configuration,Write,,aws:ResourceTag/${TagKey},
