,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDataIntegration,Grants permission to create a new DataIntegration,Write,data-integration*,,
1,CreateDataIntegration,Grants permission to create a new DataIntegration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateDataIntegrationAssociation [permission only],Grants permission to create a DataIntegrationAssociation,Write,data-integration*,,
3,CreateEventIntegration,Grants permission to create a new EventIntegration,Write,event-integration*,,
4,CreateEventIntegration,Grants permission to create a new EventIntegration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateEventIntegrationAssociation [permission only],Grants permission to create an EventIntegrationAssociation,Write,event-integration*,,events:PutRule  events:PutTargets
6,DeleteDataIntegration,Grants permission to delete a DataIntegration,Write,data-integration*,,
7,DeleteDataIntegration,Grants permission to delete a DataIntegration,Write,,aws:ResourceTag/${TagKey},
8,DeleteDataIntegrationAssociation [permission only],Grants permission to delete a DataIntegrationAssociation,Write,data-integration-association*,,
9,DeleteEventIntegration,Grants permission to delete an EventIntegration,Write,event-integration*,,
10,DeleteEventIntegration,Grants permission to delete an EventIntegration,Write,,aws:ResourceTag/${TagKey},
11,DeleteEventIntegrationAssociation [permission only],Grants permission to delete an EventIntegrationAssociation,Write,event-integration-association*,,events:DeleteRule  events:ListTargetsByRule  events:RemoveTargets
12,GetDataIntegration,Grants permission to view details about DataIntegrations,Read,data-integration*,,
13,GetDataIntegration,Grants permission to view details about DataIntegrations,Read,,aws:ResourceTag/${TagKey},
14,GetEventIntegration,Grants permission to view details about EventIntegrations,Read,event-integration*,,
15,GetEventIntegration,Grants permission to view details about EventIntegrations,Read,,aws:ResourceTag/${TagKey},
16,ListDataIntegrationAssociations,Grants permission to list DataIntegrationAssociations,List,,,
17,ListDataIntegrations,Grants permission to list DataIntegrations,List,,,
18,ListEventIntegrationAssociations,Grants permission to list EventIntegrationAssociations,Read,,,
19,ListEventIntegrations,Grants permission to list EventIntegrations,List,,,
20,ListTagsForResource,Grants permission to lists tag for an Amazon AppIntegration resource,Read,data-integration,,
21,ListTagsForResource,Grants permission to lists tag for an Amazon AppIntegration resource,Read,data-integration-association,,
22,ListTagsForResource,Grants permission to lists tag for an Amazon AppIntegration resource,Read,event-integration,,
23,ListTagsForResource,Grants permission to lists tag for an Amazon AppIntegration resource,Read,event-integration-association,,
24,ListTagsForResource,Grants permission to lists tag for an Amazon AppIntegration resource,Read,,aws:ResourceTag/${TagKey},
25,TagResource,Grants permission to tag an Amazon AppIntegration resource,Tagging,data-integration,,
26,TagResource,Grants permission to tag an Amazon AppIntegration resource,Tagging,data-integration-association,,
27,TagResource,Grants permission to tag an Amazon AppIntegration resource,Tagging,event-integration,,
28,TagResource,Grants permission to tag an Amazon AppIntegration resource,Tagging,event-integration-association,,
29,TagResource,Grants permission to tag an Amazon AppIntegration resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
30,UntagResource,Grants permission to untag an Amazon AppIntegration resource,Tagging,data-integration,,
31,UntagResource,Grants permission to untag an Amazon AppIntegration resource,Tagging,data-integration-association,,
32,UntagResource,Grants permission to untag an Amazon AppIntegration resource,Tagging,event-integration,,
33,UntagResource,Grants permission to untag an Amazon AppIntegration resource,Tagging,event-integration-association,,
34,UntagResource,Grants permission to untag an Amazon AppIntegration resource,Tagging,,aws:TagKeys  aws:ResourceTag/${TagKey},
35,UpdateDataIntegration,Grants permission to modify a DataIntegration,Write,data-integration*,,
36,UpdateDataIntegration,Grants permission to modify a DataIntegration,Write,,aws:ResourceTag/${TagKey},
37,UpdateEventIntegration,Grants permission to modify an EventIntegration,Write,event-integration*,,
38,UpdateEventIntegration,Grants permission to modify an EventIntegration,Write,,aws:ResourceTag/${TagKey},
