,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetNamedQuery,Grants permission to get information about one or more named queries,Read,workgroup*,,
1,BatchGetQueryExecution,Grants permission to get information about one or more query executions,Read,workgroup*,,
2,CreateDataCatalog,Grants permission to create a datacatalog,Write,datacatalog*,,
3,CreateDataCatalog,Grants permission to create a datacatalog,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateNamedQuery,Grants permission to create a named query,Write,workgroup*,,
5,CreatePreparedStatement,Grants permission to create a prepared statement,Write,workgroup*,,
6,CreateWorkGroup,Grants permission to create a workgroup,Write,workgroup*,,
7,CreateWorkGroup,Grants permission to create a workgroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,DeleteDataCatalog,Grants permission to delete a datacatalog,Write,datacatalog*,,
9,DeleteNamedQuery,Grants permission to delete a named query specified,Write,workgroup*,,
10,DeletePreparedStatement,Grants permission to delete a prepared statement specified,Write,workgroup*,,
11,DeleteWorkGroup,Grants permission to delete a workgroup,Write,workgroup*,,
12,GetDataCatalog,Grants permission to get a datacatalog,Read,datacatalog*,,
13,GetDatabase,Grants permission to get a database for a given datacatalog,Read,datacatalog*,,
14,GetNamedQuery,Grants permission to get information about the specified named query,Read,workgroup*,,
15,GetPreparedStatement,Grants permission to get information about the specified prepared statement,Read,workgroup*,,
16,GetQueryExecution,Grants permission to get information about the specified query execution,Read,workgroup*,,
17,GetQueryResults,Grants permission to get the query results,Read,workgroup*,,
18,GetQueryResultsStream,Grants permission to get the query results stream,Read,workgroup*,,
19,GetTableMetadata,Grants permission to get a metadata about a table for a given datacatalog,Read,datacatalog*,,
20,GetWorkGroup,Grants permission to get a workgroup,Read,workgroup*,,
21,ListDataCatalogs,Grants permission to return a list of datacatalogs for the specified AWS account,List,,,
22,ListDatabases,Grants permission to return a list of databases for a given datacatalog,List,datacatalog*,,
23,ListEngineVersions,Grants permission to return a list of athena engine versions for the specified AWS account,Read,,,
24,ListNamedQueries,Grants permission to return a list of named queries in Amazon Athena for the specified AWS account,List,workgroup*,,
25,ListPreparedStatements,Grants permission to return a list of prepared statements for the specified workgroup,List,workgroup*,,
26,ListQueryExecutions,Grants permission to return a list of query executions for the specified AWS account,Read,workgroup*,,
27,ListTableMetadata,Grants permission to return a list of table metadata in a database for a given datacatalog,Read,datacatalog*,,
28,ListTagsForResource,Grants permission to return a list of tags for a resource,Read,datacatalog*,,
29,ListTagsForResource,Grants permission to return a list of tags for a resource,Read,workgroup*,,
30,ListWorkGroups,Grants permission to return a list of workgroups for the specified AWS account,List,,,
31,StartQueryExecution,Grants permission to start a query execution using an SQL query provided as a string,Write,workgroup*,,
32,StopQueryExecution,Grants permission to stop the specified query execution,Write,workgroup*,,
33,TagResource,Grants permission to add a tag to a resource,Tagging,datacatalog*,,
34,TagResource,Grants permission to add a tag to a resource,Tagging,workgroup*,,
35,TagResource,Grants permission to add a tag to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
36,UntagResource,Grants permission to remove a tag from a resource,Tagging,datacatalog*,,
37,UntagResource,Grants permission to remove a tag from a resource,Tagging,workgroup*,,
38,UntagResource,Grants permission to remove a tag from a resource,Tagging,,aws:TagKeys,
39,UpdateDataCatalog,Grants permission to update a datacatalog,Write,datacatalog*,,
40,UpdateNamedQuery,Grants permission to update a named query specified,Write,workgroup*,,
41,UpdatePreparedStatement,Grants permission to update a prepared statement,Write,workgroup*,,
42,UpdateWorkGroup,Grants permission to update a workgroup,Write,workgroup*,,
