,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateAlias,Grants permission to associate an alias to a CloudFront distribution,Write,distribution*,,
1,CreateCachePolicy,Grants permission to add a new cache policy to CloudFront,Write,cache-policy*,,
2,CreateCloudFrontOriginAccessIdentity,Grants permission to create a new CloudFront origin access identity,Write,origin-access-identity*,,
3,CreateDistribution,Grants permission to create a new web distribution,Write,distribution*,,
4,CreateFieldLevelEncryptionConfig,Grants permission to create a new field-level encryption configuration,Write,field-level-encryption*,,
5,CreateFieldLevelEncryptionProfile,Grants permission to create a field-level encryption profile,Write,field-level-encryption-profile*,,
6,CreateFunction,Grants permission to create a CloudFront function,Write,function*,,
7,CreateInvalidation,Grants permission to create a new invalidation batch request,Write,distribution*,,
8,CreateKeyGroup,Grants permission to add a new key group to CloudFront,Write,,,
9,CreateMonitoringSubscription,Grants permission to enable additional CloudWatch metrics for the specified CloudFront distribution. The additional metrics incur an additional cost,Write,,,
10,CreateOriginRequestPolicy,Grants permission to add a new origin request policy to CloudFront,Write,origin-request-policy*,,
11,CreatePublicKey,Grants permission to add a new public key to CloudFront,Write,,,
12,CreateRealtimeLogConfig,Grants permission to create a real-time log configuration,Write,realtime-log-config*,,
13,CreateResponseHeadersPolicy,Grants permission to add a new response headers policy to CloudFront,Write,response-headers-policy*,,
14,CreateStreamingDistribution,Grants permission to create a new RTMP distribution,Write,streaming-distribution*,,
15,CreateStreamingDistributionWithTags,Grants permission to create a new RTMP distribution with tags,Write,streaming-distribution*,,
16,CreateStreamingDistributionWithTags,Grants permission to create a new RTMP distribution with tags,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,DeleteCachePolicy,Grants permission to delete a cache policy,Write,cache-policy*,,
18,DeleteCloudFrontOriginAccessIdentity,Grants permission to delete a CloudFront origin access identity,Write,origin-access-identity*,,
19,DeleteDistribution,Grants permission to delete a web distribution,Write,distribution*,,
20,DeleteFieldLevelEncryptionConfig,Grants permission to delete a field-level encryption configuration,Write,field-level-encryption*,,
21,DeleteFieldLevelEncryptionProfile,Grants permission to delete a field-level encryption profile,Write,field-level-encryption-profile*,,
22,DeleteFunction,Grants permission to delete a CloudFront function,Write,function*,,
23,DeleteKeyGroup,Grants permission to delete a key group,Write,,,
24,DeleteMonitoringSubscription,Grants permission to disable additional CloudWatch metrics for the specified CloudFront distribution,Write,,,
25,DeleteOriginRequestPolicy,Grants permission to delete an origin request policy,Write,origin-request-policy*,,
26,DeletePublicKey,Grants permission to delete a public key from CloudFront,Write,,,
27,DeleteRealtimeLogConfig,Grants permission to delete a real-time log configuration,Write,realtime-log-config*,,
28,DeleteResponseHeadersPolicy,Grants permission to delete a response headers policy,Write,response-headers-policy*,,
29,DeleteStreamingDistribution,Grants permission to delete an RTMP distribution,Write,streaming-distribution*,,
30,DescribeFunction,Grants permission to get a CloudFront function summary,Read,function*,,
31,GetCachePolicy,Grants permission to get the cache policy,Read,cache-policy*,,
32,GetCachePolicyConfig,Grants permission to get the cache policy configuration,Read,cache-policy*,,
33,GetCloudFrontOriginAccessIdentity,Grants permission to get the information about a CloudFront origin access identity,Read,origin-access-identity*,,
34,GetCloudFrontOriginAccessIdentityConfig,Grants permission to get the configuration information about a Cloudfront origin access identity,Read,origin-access-identity*,,
35,GetDistribution,Grants permission to get the information about a web distribution,Read,distribution*,,
36,GetDistributionConfig,Grants permission to get the configuration information about a distribution,Read,distribution*,,
37,GetFieldLevelEncryption,Grants permission to get the field-level encryption configuration information,Read,field-level-encryption*,,
38,GetFieldLevelEncryptionConfig,Grants permission to get the field-level encryption configuration information,Read,field-level-encryption*,,
39,GetFieldLevelEncryptionProfile,Grants permission to get the field-level encryption configuration information,Read,field-level-encryption-profile*,,
40,GetFieldLevelEncryptionProfileConfig,Grants permission to get the field-level encryption profile configuration information,Read,field-level-encryption-profile*,,
41,GetFunction,Grants permission to get a CloudFront function's code,Read,function*,,
42,GetInvalidation,Grants permission to get the information about an invalidation,Read,distribution*,,
43,GetKeyGroup,Grants permission to get a key group,Read,,,
