,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchEvaluateFeature,Grants permission to send a batched evaluate feature request,Write,Feature*,,
1,CreateExperiment,Grants permission to create an experiment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateFeature,Grants permission to create a feature,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateLaunch,Grants permission to create a launch,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateProject,Grants permission to create a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteExperiment,Grants permission to delete an experiment,Write,Experiment*,,
6,DeleteFeature,Grants permission to delete a feature,Write,Feature*,,
7,DeleteLaunch,Grants permission to delete a launch,Write,Launch*,,
8,DeleteProject,Grants permission to delete a project,Write,Project*,,
9,EvaluateFeature,Grants permission to send an evaluate feature request,Write,Feature*,,
10,GetExperiment,Grants permission to get experiment details,Read,Experiment*,,
11,GetExperimentResults,Grants permission to get experiment result,Read,Experiment*,,
12,GetFeature,Grants permission to get feature details,Read,Feature*,,
13,GetLaunch,Grants permission to get launch details,Read,Launch*,,
14,GetProject,Grants permission to get project details,Read,Project*,,
15,ListExperiments,Grants permission to list experiments,Read,,,
16,ListFeatures,Grants permission to list features,Read,,,
17,ListLaunches,Grants permission to list launches,Read,,,
18,ListProjects,Grants permission to list projects,Read,,,
19,ListTagsForResource,Grants permission to list tags for resources,Read,,,
20,PutProjectEvents,Grants permission to send performance events,Write,Project*,,
21,StartExperiment,Grants permission to start an experiment,Write,Experiment*,,
22,StartLaunch,Grants permission to start a launch,Write,Launch*,,
23,StopExperiment,Grants permission to stop an experiment,Write,Experiment*,,
24,StopLaunch,Grants permission to stop a launch,Write,Launch*,,
25,TagResource,Grants permission to tag resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,UntagResource,Grants permission to untag resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,UpdateExperiment,Grants permission to update experiment,Write,Experiment*,,
28,UpdateFeature,Grants permission to update feature,Write,Feature*,,
29,UpdateLaunch,Grants permission to update a launch,Write,Launch*,,
30,UpdateProject,Grants permission to update project,Write,Project*,,
31,UpdateProjectDataDelivery,Grants permission to update project data delivery,Write,Project*,,
