,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCanary,Grants permission to create a canary,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,DeleteCanary,Grants permission to delete a canary. Amazon Synthetics deletes all the resources except for the Lambda function and the CloudWatch Alarms if you created one,Write,canary*,,
2,DescribeCanaries,Grants permission to list information of all canaries,Read,,synthetics:Names,
3,DescribeCanariesLastRun,Grants permission to list information about the last test run associated with all canaries,Read,,synthetics:Names,
4,DescribeRuntimeVersions,Grants permission to list information about Synthetics canary runtime versions,Read,,,
5,GetCanary,Grants permission to get a canary details,Read,canary*,,
6,GetCanaryRuns,Grants permission to list information about all the test runs associated with a canary,Read,canary*,,
7,ListTagsForResource,Grants permission to list all tags and values associated with a canary,Read,canary,,
8,StartCanary,"Grants permission to start a canary, so that Amazon CloudWatch Synthetics starts monitoring a website",Write,canary*,,
9,StopCanary,Grants permission to stop a canary,Write,canary*,,
10,TagResource,Grants permission to add one or more tags to a canary,Tagging,canary,,
11,TagResource,Grants permission to add one or more tags to a canary,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,UntagResource,Grants permission to remove one or more tags from a canary,Tagging,canary,,
13,UntagResource,Grants permission to remove one or more tags from a canary,Tagging,,aws:TagKeys,
14,UpdateCanary,Grants permission to update a canary,Write,canary*,,
