,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,DeleteAlarms,Grants permission to delete a collection of alarms,Write,alarm*,,
1,DeleteAnomalyDetector,Grants permission to delete the specified anomaly detection model from your account,Write,,,
2,DeleteDashboards,Grants permission to delete all CloudWatch dashboards that you specify,Write,dashboard*,,
3,DeleteInsightRules,Grants permission to delete a collection of insight rules,Write,insight-rule*,,
4,DeleteMetricStream,Grants permission to delete the CloudWatch metric stream that you specify,Write,metric-stream*,,
5,DescribeAlarmHistory,Grants permission to retrieve the history for the specified alarm,Read,alarm*,,
6,DescribeAlarms,"Grants permission to describe all alarms, currently owned by the user's account",Read,alarm*,,
7,DescribeAlarmsForMetric,"Grants permission to describe all alarms configured on the specified metric, currently owned by the user's account",Read,,,
8,DescribeAnomalyDetectors,Grants permission to list the anomaly detection models that you have created in your account,Read,,,
9,DescribeInsightRules,"Grants permission to describe all insight rules, currently owned by the user's account",Read,,,
10,DisableAlarmActions,Grants permission to disable actions for a collection of alarms,Write,alarm*,,
11,DisableInsightRules,Grants permission to disable a collection of insight rules,Write,insight-rule*,,
12,EnableAlarmActions,Grants permission to enable actions for a collection of alarms,Write,alarm*,,
13,EnableInsightRules,Grants permission to enable a collection of insight rules,Write,insight-rule*,,
14,GetDashboard,Grants permission to display the details of the CloudWatch dashboard you specify,Read,dashboard*,,
15,GetInsightRuleReport,Grants permission to return the top-N report of unique contributors over a time range for a given insight rule,Read,insight-rule*,,
16,GetMetricData,Grants permission to retrieve batch amounts of CloudWatch metric data and perform metric math on retrieved data,Read,,,
17,GetMetricStatistics,Grants permission to retrieve statistics for the specified metric,Read,,,
18,GetMetricStream,Grants permission to return the details of a CloudWatch metric stream,Read,metric-stream*,,
19,GetMetricWidgetImage,Grants permission to retrieve snapshots of metric widgets,Read,,,
20,ListDashboards,Grants permission to return a list of all CloudWatch dashboards in your account,List,,,
21,ListMetricStreams,Grants permission to return a list of all CloudWatch metric streams in your account,List,,,
22,ListMetrics,Grants permission to retrieve a list of valid metrics stored for the AWS account owner,List,,,
23,ListTagsForResource,Grants permission to list tags for an Amazon CloudWatch resource,List,alarm,,
24,ListTagsForResource,Grants permission to list tags for an Amazon CloudWatch resource,List,insight-rule,,
25,ListTagsForResource,SCENARIO: CloudWatch-Alarm,,alarm*,,
26,ListTagsForResource,SCENARIO: CloudWatch-InsightRule,,insight-rule*,,
27,PutAnomalyDetector,Grants permission to create or update an anomaly detection model for a CloudWatch metric,Write,,,
28,PutCompositeAlarm,Grants permission to create or update a composite alarm,Write,alarm*,,
29,PutCompositeAlarm,Grants permission to create or update a composite alarm,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  cloudwatch:AlarmActions,
30,PutDashboard,"Grants permission to create a CloudWatch dashboard, or update an existing dashboard if it already exists",Write,dashboard*,,
31,PutInsightRule,Grants permission to create a new insight rule or replace an existing insight rule,Write,insight-rule*,,
32,PutInsightRule,Grants permission to create a new insight rule or replace an existing insight rule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  cloudwatch:requestInsightRuleLogGroups,
33,PutMetricAlarm,Grants permission to create or update an alarm and associates it with the specified Amazon CloudWatch metric,Write,alarm*,,
34,PutMetricAlarm,Grants permission to create or update an alarm and associates it with the specified Amazon CloudWatch metric,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  cloudwatch:AlarmActions,
35,PutMetricData,Grants permission to publish metric data points to Amazon CloudWatch,Write,,cloudwatch:namespace,
36,PutMetricStream,"Grants permission to create a CloudWatch metric stream, or update an existing metric stream if it already exists",Write,metric-stream*,,
37,PutMetricStream,"Grants permission to create a CloudWatch metric stream, or update an existing metric stream if it already exists",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
38,SetAlarmState,Grants permission to temporarily set the state of an alarm for testing purposes,Write,alarm*,,
39,StartMetricStreams,Grants permission to start all CloudWatch metric streams that you specify,Write,metric-stream*,,
40,StopMetricStreams,Grants permission to stop all CloudWatch metric streams that you specify,Write,metric-stream*,,
41,TagResource,Grants permission to add tags to an Amazon CloudWatch resource,Tagging,alarm,,
42,TagResource,Grants permission to add tags to an Amazon CloudWatch resource,Tagging,insight-rule,,
43,TagResource,Grants permission to add tags to an Amazon CloudWatch resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
44,TagResource,SCENARIO: CloudWatch-Alarm,,alarm*,,
45,TagResource,SCENARIO: CloudWatch-InsightRule,,insight-rule*,,
46,UntagResource,Grants permission to remove a tag from an Amazon CloudWatch resource,Tagging,alarm,,
47,UntagResource,Grants permission to remove a tag from an Amazon CloudWatch resource,Tagging,insight-rule,,
48,UntagResource,Grants permission to remove a tag from an Amazon CloudWatch resource,Tagging,,aws:TagKeys,
49,UntagResource,SCENARIO: CloudWatch-Alarm,,alarm*,,
50,UntagResource,SCENARIO: CloudWatch-InsightRule,,insight-rule*,,
