,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateRepository,Grants permission to associates a repository with Amazon CodeGuru Reviewer,Write,association*,,codecommit:ListRepositories  codecommit:TagResource  events:PutRule  events:PutTargets  iam:CreateServiceLinkedRole  s3:CreateBucket  s3:ListBucket  s3:PutBucketPolicy  s3:PutLifecycleConfiguration
1,AssociateRepository,Grants permission to associates a repository with Amazon CodeGuru Reviewer,Write,connection,,
2,AssociateRepository,Grants permission to associates a repository with Amazon CodeGuru Reviewer,Write,repository,,
3,AssociateRepository,Grants permission to associates a repository with Amazon CodeGuru Reviewer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateCodeReview,Grants permission to create a code review,Write,association*,,s3:GetObject
5,CreateCodeReview,Grants permission to create a code review,Write,,aws:ResourceTag/${TagKey},
6,CreateConnectionToken [permission only],Grants permission to perform webbased oauth handshake for 3rd party providers,Read,,,
7,DescribeCodeReview,Grants permission to describe a code review,Read,association*,,
8,DescribeCodeReview,Grants permission to describe a code review,Read,,aws:ResourceTag/${TagKey},
9,DescribeRecommendationFeedback,Grants permission to describe a recommendation feedback on a code review,Read,association*,,
10,DescribeRecommendationFeedback,Grants permission to describe a recommendation feedback on a code review,Read,,aws:ResourceTag/${TagKey},
11,DescribeRepositoryAssociation,Grants permission to describe a repository association,Read,association*,,
12,DescribeRepositoryAssociation,Grants permission to describe a repository association,Read,,aws:ResourceTag/${TagKey},
13,DisassociateRepository,Grants permission to disassociate a repository with Amazon CodeGuru Reviewer,Write,association*,,codecommit:UntagResource  events:DeleteRule  events:RemoveTargets
14,DisassociateRepository,Grants permission to disassociate a repository with Amazon CodeGuru Reviewer,Write,,aws:ResourceTag/${TagKey},
15,GetMetricsData [permission only],Grants permission to view pull request metrics in console,Read,,,
16,ListCodeReviews,Grants permission to list summary of code reviews,List,,,
17,ListRecommendationFeedback,Grants permission to list summary of recommendation feedback on a code review,List,association*,,
18,ListRecommendationFeedback,Grants permission to list summary of recommendation feedback on a code review,List,,aws:ResourceTag/${TagKey},
19,ListRecommendations,Grants permission to list summary of recommendations on a code review,List,association*,,
20,ListRecommendations,Grants permission to list summary of recommendations on a code review,List,,aws:ResourceTag/${TagKey},
21,ListRepositoryAssociations,Grants permission to list summary of repository associations,List,,,
22,ListTagsForResource,Grants permission to list the resource attached to a associated repository ARN,List,association*,,
23,ListTagsForResource,Grants permission to list the resource attached to a associated repository ARN,List,,aws:ResourceTag/${TagKey},
24,ListThirdPartyRepositories [permission only],Grants permission to list 3rd party providers repositories in console,Read,,,
25,PutRecommendationFeedback,Grants permission to put feedback for a recommendation on a code review,Write,association*,,
26,PutRecommendationFeedback,Grants permission to put feedback for a recommendation on a code review,Write,,aws:ResourceTag/${TagKey},
27,TagResource,Grants permission to attach resource tags to an associated repository ARN,Tagging,association*,,
28,TagResource,Grants permission to attach resource tags to an associated repository ARN,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,UnTagResource,Grants permission to disassociate resource tags from an associated repository ARN,Tagging,association*,,
30,UnTagResource,Grants permission to disassociate resource tags from an associated repository ARN,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
