,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateIdentityPool,Grants permission to create a new identity pool,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,DeleteIdentities,Grants permission to delete identities from an identity pool. You can specify a list of 1-60 identities that you want to delete,Write,,,
2,DeleteIdentityPool,"Grants permission to delete a user pool. Once a pool is deleted, users will not be able to authenticate with the pool",Write,identitypool*,,
3,DescribeIdentity,"Grants permission to return metadata related to the given identity, including when the identity was created and any associated linked logins",Read,,,
4,DescribeIdentityPool,"Grants permission to get details about a particular identity pool, including the pool name, ID description, creation date, and current number of users",Read,identitypool*,,
5,GetCredentialsForIdentity,Grants permission to return credentials for the provided identity ID,Read,,,
6,GetId,Grants permission to generate (or retrieve) a Cognito ID. Supplying multiple logins will create an implicit linked account,Write,,,
7,GetIdentityPoolRoles,Grants permission to get the roles for an identity pool,Read,identitypool*,,
8,GetOpenIdToken,"Grants permission to get an OpenID token, using a known Cognito ID",Read,,,
9,GetOpenIdTokenForDeveloperIdentity,Grants permission to register (or retrieve) a Cognito IdentityId and an OpenID Connect token for a user authenticated by your backend authentication process,Read,identitypool*,,
10,GetPrincipalTagAttributeMap,Grants permission to get the principal tags for an identity pool and provider,Read,identitypool*,,
11,ListIdentities,Grants permission to list the identities in an identity pool,List,identitypool*,,
12,ListIdentityPools,Grants permission to list all of the Cognito identity pools registered for your account,List,,,
13,ListTagsForResource,Grants permission to list the tags that are assigned to an Amazon Cognito identity pool,Read,identitypool,,
14,LookupDeveloperIdentity,Grants permission to retrieve the IdentityId associated with a DeveloperUserIdentifier or the list of DeveloperUserIdentifiers associated with an IdentityId for an existing identity,Read,identitypool*,,
15,MergeDeveloperIdentities,"Grants permission to merge two users having different IdentityIds, existing in the same identity pool, and identified by the same developer provider",Write,identitypool*,,
16,SetIdentityPoolRoles,Grants permission to set the roles for an identity pool. These roles are used when making calls to GetCredentialsForIdentity action,Write,,,
17,SetPrincipalTagAttributeMap,Grants permission to set the principal tags for an identity pool and provider. These tags are used when making calls to GetOpenIdToken action,Write,,,
18,TagResource,Grants permission to assign a set of tags to an Amazon Cognito identity pool,Tagging,identitypool,,
19,TagResource,Grants permission to assign a set of tags to an Amazon Cognito identity pool,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,UnlinkDeveloperIdentity,Grants permission to unlink a DeveloperUserIdentifier from an existing identity,Write,identitypool*,,
21,UnlinkIdentity,Grants permission to unlink a federated identity from an existing account,Write,,,
22,UntagResource,Grants permission to remove the specified tags from an Amazon Cognito identity pool,Tagging,identitypool,,
23,UntagResource,Grants permission to remove the specified tags from an Amazon Cognito identity pool,Tagging,,aws:TagKeys,
24,UpdateIdentityPool,Grants permission to update an identity pool,Write,identitypool*,,
