,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddProfileKey,Grants permission to add a profile key,Write,domains*,,
1,CreateDomain,Grants permission to create a Domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateIntegrationWorkflow,Grants permission to create an integration workflow in a domain,Write,domains*,,
3,CreateIntegrationWorkflow,Grants permission to create an integration workflow in a domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateProfile,Grants permission to create a profile in the domain,Write,domains*,,
5,DeleteDomain,Grants permission to delete a Domain,Write,domains*,,
6,DeleteIntegration,Grants permission to delete a integration in a domain,Write,domains*,,
7,DeleteIntegration,Grants permission to delete a integration in a domain,Write,integrations*,,
8,DeleteProfile,Grants permission to delete a profile,Write,domains*,,
9,DeleteProfileKey,Grants permission to delete a profile key,Write,domains*,,
10,DeleteProfileObject,Grants permission to delete a profile object,Write,domains*,,
11,DeleteProfileObject,Grants permission to delete a profile object,Write,object-types*,,
12,DeleteProfileObjectType,Grants permission to delete a specific profile object type in the domain,Write,domains*,,
13,DeleteProfileObjectType,Grants permission to delete a specific profile object type in the domain,Write,object-types*,,
14,DeleteWorkflow,Grants permission to delete a workflow in a domain,Write,domains*,,
15,GetAutoMergingPreview,Grants permission to get a preview of auto merging in a domain,Read,domains*,,
16,GetDomain,Grants permission to get a specific domain in an account,Read,domains*,,
17,GetIdentityResolutionJob,Grants permission to get an identity resolution job in a domain,Read,domains*,,
18,GetIntegration,Grants permission to get a specific integrations in a domain,Read,domains*,,
19,GetIntegration,Grants permission to get a specific integrations in a domain,Read,integrations*,,
20,GetMatches,Grants permission to get profile matches in a domain,List,domains*,,
21,GetProfileObjectType,Grants permission to get a specific profile object type in the domain,Read,domains*,,
22,GetProfileObjectType,Grants permission to get a specific profile object type in the domain,Read,object-types*,,
23,GetProfileObjectTypeTemplate,Grants permission to get a specific object type template,Read,,,
24,GetWorkflow,Grants permission to get workflow details in a domain,Read,domains*,,
25,GetWorkflowSteps,Grants permission to get workflow step details in a domain,Read,domains*,,
26,ListAccountIntegrations,Grants permission to list all the integrations in the account,List,,,
27,ListDomains,Grants permission to list all the domains in an account,List,,,
28,ListIdentityResolutionJobs,Grants permission to list identity resolution jobs in a domain,List,domains*,,
29,ListIntegrations,Grants permission to list all the integrations in a specific domain,List,domains*,,
30,ListProfileObjectTypeTemplates,Grants permission to list all the profile object type templates in the account,List,,,
31,ListProfileObjectTypes,Grants permission to list all the profile object types in the domain,List,domains*,,
32,ListProfileObjects,Grants permission to list all the profile objects for a profile,List,domains*,,
33,ListProfileObjects,Grants permission to list all the profile objects for a profile,List,object-types*,,
34,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
35,ListWorkflows,Grants permission to list all the workflows in a specific domain,List,domains*,,
36,MergeProfiles,Grants permission to merge profiles in a domain,Write,domains*,,
37,PutIntegration,Grants permission to put a integration in a domain,Write,domains*,,
38,PutIntegration,Grants permission to put a integration in a domain,Write,integrations*,,
39,PutIntegration,Grants permission to put a integration in a domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
40,PutProfileObject,Grants permission to put an object for a profile,Write,domains*,,
41,PutProfileObject,Grants permission to put an object for a profile,Write,object-types*,,
42,PutProfileObjectType,Grants permission to put a specific profile object type in the domain,Write,domains*,,
43,PutProfileObjectType,Grants permission to put a specific profile object type in the domain,Write,object-types*,,
44,PutProfileObjectType,Grants permission to put a specific profile object type in the domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
45,SearchProfiles,Grants permission to search for profiles in a domain,Read,domains*,,
46,TagResource,Grants permission to adds tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
47,UntagResource,Grants permission to remove tags from a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
48,UpdateDomain,Grants permission to update a Domain,Write,domains*,,
49,UpdateProfile,Grants permission to update a profile in the domain,Write,domains*,,
