,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDomain,Grants permission to create a domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,DeleteDomain,Grants permission to delete a domain,Write,domain*,,
2,DeleteFraudster,Grants permission to delete a fraudster,Write,domain*,,
3,DeleteSpeaker,Grants permission to delete a speaker,Write,domain*,,
4,DescribeComplianceConsent [permission only],Grants permission to describe compliance consent,Read,,,
5,DescribeDomain,Grants permission to describe a domain,Read,domain*,,
6,DescribeFraudster,Grants permission to describe a fraudster,Read,domain*,,
7,DescribeFraudsterRegistrationJob,Grants permission to describe a fraudster registration job,Read,domain*,,
8,DescribeSpeaker,Grants permission to describe a speaker,Read,domain*,,
9,DescribeSpeakerEnrollmentJob,Grants permission to describe a speaker enrollment job,Read,domain*,,
10,EvaluateSession,Grants permission to evaluate a session,Write,domain*,,
11,ListDomains,Grants permission to list domains for an account,List,,,
12,ListFraudsterRegistrationJobs,Grants permission to list fraudster registration jobs for a domain,List,domain*,,
13,ListSpeakerEnrollmentJobs,Grants permission to list speaker enrollment jobs for a domain,List,domain*,,
14,ListSpeakers,Grants permission to list speakers for a domain,List,domain*,,
15,ListTagsForResource,Grants permission to list tags for a Voice ID resource,Read,domain,,
16,OptOutSpeaker,Grants permission to opt out a speaker,Write,domain*,,
17,RegisterComplianceConsent [permission only],Grants permission to register compliance consent,Write,,,
18,StartFraudsterRegistrationJob,Grants permission to start a fraudster registration job,Write,domain*,,
19,StartSpeakerEnrollmentJob,Grants permission to start a speaker enrollment job,Write,domain*,,
20,TagResource,Grants permission to tag a Voice ID resource,Tagging,domain,,
21,TagResource,Grants permission to tag a Voice ID resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,UntagResource,Grants permission to remove a tag from a Voice ID resource,Tagging,domain,,
23,UntagResource,Grants permission to remove a tag from a Voice ID resource,Tagging,,aws:TagKeys,
24,UpdateDomain,Grants permission to update a domain,Write,domain*,,
