,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetItem,Grants permission to return the attributes of one or more items from one or more tables,Read,application*,,
1,BatchWriteItem,Grants permission to put or delete multiple items in one or more tables,Write,application*,,
2,ConditionCheckItem,Grants permission to the ConditionCheckItem operation that checks the existence of a set of attributes for the item with the given primary key,Read,application*,,
3,CreateCluster,Grants permission to create a DAX cluster,Write,application*,,dax:CreateParameterGroup  dax:CreateSubnetGroup  ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSecurityGroups  ec2:DescribeSubnets  ec2:DescribeVpcs  iam:GetRole  iam:PassRole
4,CreateParameterGroup,Grants permission to create a parameter group,Write,,,
5,CreateSubnetGroup,Grants permission to create a subnet group,Write,,,
6,DecreaseReplicationFactor,Grants permission to remove one or more nodes from a DAX cluster,Write,application*,,
7,DeleteCluster,Grants permission to delete a previously provisioned DAX cluster,Write,application*,,
8,DeleteItem,Grants permission to delete a single item in a table by primary key,Write,application*,,
9,DeleteItem,Grants permission to delete a single item in a table by primary key,Write,,dax:EnclosingOperation,
10,DeleteParameterGroup,Grants permission to delete the specified parameter group,Write,,,
11,DeleteSubnetGroup,Grants permission to delete a subnet group,Write,,,
12,DescribeClusters,Grants permission to return information about all provisioned DAX clusters,List,application,,
13,DescribeDefaultParameters,Grants permission to return the default system parameter information for DAX,List,,,
14,DescribeEvents,Grants permission to return events related to DAX clusters and parameter groups,List,,,
15,DescribeParameterGroups,Grants permission to return a list of parameter group descriptions,List,,,
16,DescribeParameters,Grants permission to return the detailed parameter list for a particular parameter group,Read,,,
17,DescribeSubnetGroups,Grants permission to return a list of subnet group descriptions,List,,,
18,GetItem,Grants permission to the GetItem operation that returns a set of attributes for the item with the given primary key,Read,application*,,
19,GetItem,Grants permission to the GetItem operation that returns a set of attributes for the item with the given primary key,Read,,dax:EnclosingOperation,
20,IncreaseReplicationFactor,Grants permission to add one or more nodes to a DAX cluster,Write,application*,,
21,ListTags,Grants permission to return a list all of the tags for a DAX cluster,Read,application*,,
22,PutItem,"Grants permission to create a new item, or replace an old item with a new item",Write,application*,,
23,PutItem,"Grants permission to create a new item, or replace an old item with a new item",Write,,dax:EnclosingOperation,
24,Query,Grants permission to use the primary key of a table or a secondary index to directly access items from that table or index,Read,application*,,
25,RebootNode,Grants permission to reboot a single node of a DAX cluster,Write,application*,,
26,Scan,Grants permission to return one or more items and item attributes by accessing every item in a table or a secondary index,Read,application*,,
27,TagResource,Grants permission to associate a set of tags with a DAX resource,Tagging,application*,,
28,UntagResource,Grants permission to remove the association of tags from a DAX resource,Tagging,application*,,
29,UpdateCluster,Grants permission to modify the settings for a DAX cluster,Write,application*,,
30,UpdateItem,"Grants permission to edit an existing item's attributes, or adds a new item to the table if it does not already exist",Write,application*,,
31,UpdateItem,"Grants permission to edit an existing item's attributes, or adds a new item to the table if it does not already exist",Write,,dax:EnclosingOperation,
32,UpdateParameterGroup,Grants permission to modify the parameters of a parameter group,Write,,,
33,UpdateSubnetGroup,Grants permission to modify an existing subnet group,Write,,,
