,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetItem,Grants permission to return the attributes of one or more items from one or more tables,Read,table*,,
1,BatchGetItem,Grants permission to return the attributes of one or more items from one or more tables,Read,,dynamodb:Attributes  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:Select,
2,BatchWriteItem,Grants permission to put or delete multiple items in one or more tables,Write,table*,,
3,BatchWriteItem,Grants permission to put or delete multiple items in one or more tables,Write,,dynamodb:Attributes  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity,
4,ConditionCheckItem,Grants permission to the ConditionCheckItem operation checks the existence of a set of attributes for the item with the given primary key,Read,table*,,
5,ConditionCheckItem,Grants permission to the ConditionCheckItem operation checks the existence of a set of attributes for the item with the given primary key,Read,,dynamodb:Attributes  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:ReturnValues,
6,CreateBackup,Grants permission to create a backup for an existing table,Write,table*,,
7,CreateGlobalTable,Grants permission to create a global table from an existing table,Write,global-table*,,
8,CreateGlobalTable,Grants permission to create a global table from an existing table,Write,table*,,
9,CreateTable,Grants permission to the CreateTable operation adds a new table to your account,Write,table*,,
10,CreateTableReplica,Grants permission to add a new replica table,Write,table*,,
11,DeleteBackup,Grants permission to delete an existing backup of a table,Write,backup*,,
12,DeleteItem,Grants permission to deletes a single item in a table by primary key,Write,table*,,
13,DeleteItem,Grants permission to deletes a single item in a table by primary key,Write,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:ReturnValues,
14,DeleteTable,Grants permission to the DeleteTable operation which deletes a table and all of its items,Write,table*,,
15,DeleteTableReplica,Grants permission to delete a replica table and all of its items,Write,table*,,
16,DescribeBackup,Grants permission to describe an existing backup of a table,Read,backup*,,
17,DescribeContinuousBackups,Grants permission to check the status of the backup restore settings on the specified table,Read,table*,,
18,DescribeContributorInsights,Grants permission to describe the contributor insights status and related details for a given table or global secondary index,Read,table*,,
19,DescribeContributorInsights,Grants permission to describe the contributor insights status and related details for a given table or global secondary index,Read,index,,
20,DescribeExport,Grants permission to describe an existing Export of a table,Read,export*,,
21,DescribeGlobalTable,Grants permission to return information about the specified global table,Read,global-table*,,
22,DescribeGlobalTableSettings,Grants permission to return settings information about the specified global table,Read,global-table*,,
23,DescribeKinesisStreamingDestination,Grants permission to grant permission to describe the status of Kinesis streaming and related details for a given table,Read,table*,,
24,DescribeLimits,"Grants permission to return the current provisioned-capacity limits for your AWS account in a region, both for the region as a whole and for any one DynamoDB table that you create there",Read,,,
25,DescribeReservedCapacity,Grants permission to describe one or more of the Reserved Capacity purchased,Read,,,
26,DescribeReservedCapacityOfferings,Grants permission to describe Reserved Capacity offerings that are available for purchase,Read,,,
27,DescribeStream,"Grants permission to return information about a stream, including the current status of the stream, its Amazon Resource Name (ARN), the composition of its shards, and its corresponding DynamoDB table",Read,stream*,,
28,DescribeTable,Grants permission to return information about the table,Read,table*,,
29,DescribeTableReplicaAutoScaling,Grants permission to describe the auto scaling settings across all replicas of the global table,Read,table*,,
30,DescribeTimeToLive,Grants permission to give a description of the Time to Live (TTL) status on the specified table,Read,table*,,
31,DisableKinesisStreamingDestination,Grants permission to grant permission to stop replication from the DynamoDB table to the Kinesis data stream,Write,table*,,
32,EnableKinesisStreamingDestination,Grants permission to grant permission to start table data replication to the specified Kinesis data stream at a timestamp chosen during the enable workflow,Write,table*,,
33,ExportTableToPointInTime,Grants permission to initiate an Export of a DynamoDB table to S3,Write,table*,,
34,GetItem,Grants permission to the GetItem operation that returns a set of attributes for the item with the given primary key,Read,table*,,
35,GetItem,Grants permission to the GetItem operation that returns a set of attributes for the item with the given primary key,Read,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:Select,
36,GetRecords,Grants permission to retrieve the stream records from a given shard,Read,stream*,,
37,GetShardIterator,Grants permission to return a shard iterator,Read,stream*,,
38,ListBackups,Grants permission to list backups associated with the account and endpoint,List,,,
39,ListContributorInsights,Grants permission to list the ContributorInsightsSummary for all tables and global secondary indexes associated with the current account and endpoint,List,,,
40,ListExports,Grants permission to list exports associated with the account and endpoint,List,,,
41,ListGlobalTables,Grants permission to list all global tables that have a replica in the specified region,List,,,
42,ListStreams,Grants permission to return an array of stream ARNs associated with the current account and endpoint,Read,,,
43,ListTables,Grants permission to return an array of table names associated with the current account and endpoint,List,,,
44,ListTagsOfResource,Grants permission to list all tags on an Amazon DynamoDB resource,Read,table*,,
45,PartiQLDelete,Grants permission to delete a single item in a table by primary key,Write,table*,,
46,PartiQLDelete,Grants permission to delete a single item in a table by primary key,Write,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys  dynamodb:ReturnValues,
47,PartiQLInsert,"Grants permission to create a new item, if an item with same primary key does not exist in the table",Write,table*,,
48,PartiQLInsert,"Grants permission to create a new item, if an item with same primary key does not exist in the table",Write,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys,
49,PartiQLSelect,Grants permission to read a set of attributes for items from a table or index,Read,table*,,
50,PartiQLSelect,Grants permission to read a set of attributes for items from a table or index,Read,index,,
51,PartiQLSelect,Grants permission to read a set of attributes for items from a table or index,Read,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:FullTableScan  dynamodb:LeadingKeys  dynamodb:Select,
52,PartiQLUpdate,Grants permission to edit an existing item's attributes,Write,table*,,
53,PartiQLUpdate,Grants permission to edit an existing item's attributes,Write,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys  dynamodb:ReturnValues,
54,PurchaseReservedCapacityOfferings,Grants permission to purchases reserved capacity for use with your account,Write,,,
55,PutItem,"Grants permission to create a new item, or replace an old item with a new item",Write,table*,,
56,PutItem,"Grants permission to create a new item, or replace an old item with a new item",Write,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:ReturnValues,
57,Query,Grants permission to use the primary key of a table or a secondary index to directly access items from that table or index,Read,table*,,
58,Query,Grants permission to use the primary key of a table or a secondary index to directly access items from that table or index,Read,index,,
59,Query,Grants permission to use the primary key of a table or a secondary index to directly access items from that table or index,Read,,dynamodb:Attributes  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:ReturnValues  dynamodb:Select,
60,RestoreTableFromAwsBackup,Grants permission to create a new table from recovery point on AWS Backup,Write,table*,,
61,RestoreTableFromBackup,Grants permission to create a new table from an existing backup,Write,backup*,,
62,RestoreTableFromBackup,Grants permission to create a new table from an existing backup,Write,table*,,
63,RestoreTableToPointInTime,Grants permission to restore a table to a point in time,Write,table*,,
64,Scan,Grants permission to return one or more items and item attributes by accessing every item in a table or a secondary index,Read,table*,,
65,Scan,Grants permission to return one or more items and item attributes by accessing every item in a table or a secondary index,Read,index,,
66,Scan,Grants permission to return one or more items and item attributes by accessing every item in a table or a secondary index,Read,,dynamodb:Attributes  dynamodb:ReturnConsumedCapacity  dynamodb:ReturnValues  dynamodb:Select,
67,StartAwsBackupJob,Grants permission to create a backup on AWS Backup with advanced features enabled,Write,table*,,
68,TagResource,Grants permission to associate a set of tags with an Amazon DynamoDB resource,Tagging,table*,,
69,UntagResource,Grants permission to remove the association of tags from an Amazon DynamoDB resource,Tagging,table*,,
70,UpdateContinuousBackups,Grants permission to enable or disable continuous backups,Write,table*,,
71,UpdateContributorInsights,Grants permission to update the status for contributor insights for a specific table or global secondary index,Write,table*,,
72,UpdateContributorInsights,Grants permission to update the status for contributor insights for a specific table or global secondary index,Write,index,,
73,UpdateGlobalTable,Grants permission to add or remove replicas in the specified global table,Write,global-table*,,
74,UpdateGlobalTable,Grants permission to add or remove replicas in the specified global table,Write,table*,,
75,UpdateGlobalTableSettings,Grants permission to update settings of the specified global table,Write,global-table*,,
76,UpdateGlobalTableSettings,Grants permission to update settings of the specified global table,Write,table*,,
77,UpdateItem,"Grants permission to edit an existing item's attributes, or adds a new item to the table if it does not already exist",Write,table*,,
78,UpdateItem,"Grants permission to edit an existing item's attributes, or adds a new item to the table if it does not already exist",Write,,dynamodb:Attributes  dynamodb:EnclosingOperation  dynamodb:LeadingKeys  dynamodb:ReturnConsumedCapacity  dynamodb:ReturnValues,
79,UpdateTable,"Grants permission to modify the provisioned throughput settings, global secondary indexes, or DynamoDB Streams settings for a given table",Write,table*,,
80,UpdateTableReplicaAutoScaling,Grants permission to update auto scaling settings on your replica table,Write,table*,,
81,UpdateTimeToLive,Grants permission to enable or disable TTL for the specified table,Write,table*,,
