,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptReservedInstancesExchangeQuote,Grants permission to accept a Convertible Reserved Instance exchange quote,Write,,ec2:Region,
1,AcceptTransitGatewayMulticastDomainAssociations,Grants permission to accept a request to associate subnets with a transit gateway multicast domain,Write,transit-gateway-attachment,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
2,AcceptTransitGatewayMulticastDomainAssociations,Grants permission to accept a request to associate subnets with a transit gateway multicast domain,Write,transit-gateway-multicast-domain,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
3,AcceptTransitGatewayMulticastDomainAssociations,Grants permission to accept a request to associate subnets with a transit gateway multicast domain,Write,,ec2:Region,
4,AcceptTransitGatewayPeeringAttachment,Grants permission to accept a transit gateway peering attachment request,Write,transit-gateway-attachment*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
5,AcceptTransitGatewayPeeringAttachment,Grants permission to accept a transit gateway peering attachment request,Write,,ec2:Region,
6,AcceptTransitGatewayVpcAttachment,Grants permission to accept a request to attach a VPC to a transit gateway,Write,transit-gateway-attachment*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
7,AcceptTransitGatewayVpcAttachment,Grants permission to accept a request to attach a VPC to a transit gateway,Write,,ec2:Region,
8,AcceptVpcEndpointConnections,Grants permission to accept one or more interface VPC endpoint connections to your VPC endpoint service,Write,vpc-endpoint-service*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
9,AcceptVpcEndpointConnections,Grants permission to accept one or more interface VPC endpoint connections to your VPC endpoint service,Write,,ec2:Region,
10,AcceptVpcPeeringConnection,Grants permission to accept a VPC peering connection request,Write,vpc*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:Tenancy  ec2:VpcID,
11,AcceptVpcPeeringConnection,Grants permission to accept a VPC peering connection request,Write,vpc-peering-connection*,aws:ResourceTag/${TagKey}  ec2:AccepterVpc  ec2:RequesterVpc  ec2:ResourceTag/${TagKey}  ec2:VpcPeeringConnectionID,
12,AcceptVpcPeeringConnection,Grants permission to accept a VPC peering connection request,Write,,ec2:Region,
13,AdvertiseByoipCidr,Grants permission to advertise an IP address range that is provisioned for use in AWS through bring your own IP addresses (BYOIP),Write,,ec2:Region,
14,AllocateAddress,Grants permission to allocate an Elastic IP address (EIP) to your account,Write,elastic-ip*,aws:RequestTag/${TagKey}  aws:TagKeys,ec2:CreateTags
15,AllocateAddress,Grants permission to allocate an Elastic IP address (EIP) to your account,Write,ipv4pool-ec2,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
16,AllocateAddress,Grants permission to allocate an Elastic IP address (EIP) to your account,Write,,ec2:Region,
17,AllocateHosts,Grants permission to allocate a Dedicated Host to your account,Write,dedicated-host*,aws:RequestTag/${TagKey}  aws:TagKeys  ec2:AutoPlacement  ec2:AvailabilityZone  ec2:HostRecovery  ec2:InstanceType  ec2:Quantity,ec2:CreateTags
18,AllocateHosts,Grants permission to allocate a Dedicated Host to your account,Write,,ec2:Region,
19,AllocateIpamPoolCidr,Grants permission to allocate a CIDR from an Amazon VPC IP Address Manager (IPAM) pool,Write,ipam-pool*,ec2:ResourceTag/${TagKey},
20,AllocateIpamPoolCidr,Grants permission to allocate a CIDR from an Amazon VPC IP Address Manager (IPAM) pool,Write,,ec2:Region,
21,ApplySecurityGroupsToClientVpnTargetNetwork,Grants permission to apply a security group to the association between a Client VPN endpoint and a target network,Write,client-vpn-endpoint*,aws:ResourceTag/${TagKey}  ec2:ClientRootCertificateChainArn  ec2:CloudwatchLogGroupArn  ec2:CloudwatchLogStreamArn  ec2:DirectoryArn  ec2:ResourceTag/${TagKey}  ec2:SamlProviderArn  ec2:ServerCertificateArn,
22,ApplySecurityGroupsToClientVpnTargetNetwork,Grants permission to apply a security group to the association between a Client VPN endpoint and a target network,Write,security-group*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:SecurityGroupID,
23,ApplySecurityGroupsToClientVpnTargetNetwork,Grants permission to apply a security group to the association between a Client VPN endpoint and a target network,Write,vpc*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:VpcID,
24,ApplySecurityGroupsToClientVpnTargetNetwork,Grants permission to apply a security group to the association between a Client VPN endpoint and a target network,Write,,ec2:Region,
25,AssignIpv6Addresses,Grants permission to assign one or more IPv6 addresses to a network interface,Write,network-interface*,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:NetworkInterfaceID  ec2:ResourceTag/${TagKey}  ec2:Subnet  ec2:Vpc,
26,AssignIpv6Addresses,Grants permission to assign one or more IPv6 addresses to a network interface,Write,,ec2:Region,
27,AssignPrivateIpAddresses,Grants permission to assign one or more secondary private IP addresses to a network interface,Write,network-interface*,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:NetworkInterfaceID  ec2:ResourceTag/${TagKey}  ec2:Subnet  ec2:Vpc,
28,AssignPrivateIpAddresses,Grants permission to assign one or more secondary private IP addresses to a network interface,Write,,ec2:Region,
29,AssociateAddress,Grants permission to associate an Elastic IP address (EIP) with an instance or a network interface,Write,elastic-ip,aws:ResourceTag/${TagKey}  ec2:AllocationId  ec2:Domain  ec2:PublicIpAddress  ec2:ResourceTag/${TagKey},
30,AssociateAddress,Grants permission to associate an Elastic IP address (EIP) with an instance or a network interface,Write,instance,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:EbsOptimized  ec2:InstanceAutoRecovery  ec2:InstanceID  ec2:InstanceMarketType  ec2:InstanceMetadataTags  ec2:InstanceProfile  ec2:InstanceType  ec2:MetadataHttpEndpoint  ec2:MetadataHttpPutResponseHopLimit  ec2:MetadataHttpTokens  ec2:PlacementGroup  ec2:ResourceTag/${TagKey}  ec2:RootDeviceType  ec2:Tenancy,
31,AssociateAddress,Grants permission to associate an Elastic IP address (EIP) with an instance or a network interface,Write,network-interface,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:NetworkInterfaceID  ec2:ResourceTag/${TagKey}  ec2:Subnet  ec2:Vpc,
32,AssociateAddress,Grants permission to associate an Elastic IP address (EIP) with an instance or a network interface,Write,,ec2:Region,
33,AssociateClientVpnTargetNetwork,Grants permission to associate a target network with a Client VPN endpoint,Write,client-vpn-endpoint*,aws:ResourceTag/${TagKey}  ec2:ClientRootCertificateChainArn  ec2:CloudwatchLogGroupArn  ec2:CloudwatchLogStreamArn  ec2:DirectoryArn  ec2:ResourceTag/${TagKey}  ec2:SamlProviderArn  ec2:ServerCertificateArn,
34,AssociateClientVpnTargetNetwork,Grants permission to associate a target network with a Client VPN endpoint,Write,subnet*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:SubnetID,
35,AssociateClientVpnTargetNetwork,Grants permission to associate a target network with a Client VPN endpoint,Write,,ec2:Region,
36,AssociateDhcpOptions,Grants permission to associate or disassociate a set of DHCP options with a VPC,Write,dhcp-options*,aws:ResourceTag/${TagKey}  ec2:DhcpOptionsID  ec2:ResourceTag/${TagKey},
37,AssociateDhcpOptions,Grants permission to associate or disassociate a set of DHCP options with a VPC,Write,vpc*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:Tenancy  ec2:VpcID,
38,AssociateDhcpOptions,Grants permission to associate or disassociate a set of DHCP options with a VPC,Write,,ec2:Region,
39,AssociateEnclaveCertificateIamRole,Grants permission to associate an ACM certificate with an IAM role to be used in an EC2 Enclave,Write,certificate*,,
40,AssociateEnclaveCertificateIamRole,Grants permission to associate an ACM certificate with an IAM role to be used in an EC2 Enclave,Write,role*,,
41,AssociateEnclaveCertificateIamRole,Grants permission to associate an ACM certificate with an IAM role to be used in an EC2 Enclave,Write,,ec2:Region,
42,AssociateIamInstanceProfile,Grants permission to associate an IAM instance profile with a running or stopped instance,Write,instance*,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:EbsOptimized  ec2:InstanceAutoRecovery  ec2:InstanceID  ec2:InstanceMarketType  ec2:InstanceMetadataTags  ec2:InstanceProfile  ec2:InstanceType  ec2:MetadataHttpEndpoint  ec2:MetadataHttpPutResponseHopLimit  ec2:MetadataHttpTokens  ec2:NewInstanceProfile  ec2:PlacementGroup  ec2:ResourceTag/${TagKey}  ec2:RootDeviceType  ec2:Tenancy,iam:PassRole
43,AssociateIamInstanceProfile,Grants permission to associate an IAM instance profile with a running or stopped instance,Write,,ec2:Region,
44,AssociateInstanceEventWindow,Grants permission to associate one or more targets with an event window,Write,instance-event-window*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
45,AssociateInstanceEventWindow,Grants permission to associate one or more targets with an event window,Write,,ec2:Region,
46,AssociateRouteTable,Grants permission to associate a subnet or gateway with a route table,Write,route-table*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:RouteTableID  ec2:Vpc,
47,AssociateRouteTable,Grants permission to associate a subnet or gateway with a route table,Write,internet-gateway,aws:ResourceTag/${TagKey}  ec2:InternetGatewayID  ec2:ResourceTag/${TagKey},
48,AssociateRouteTable,Grants permission to associate a subnet or gateway with a route table,Write,subnet,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:ResourceTag/${TagKey}  ec2:SubnetID  ec2:Vpc,
49,AssociateRouteTable,Grants permission to associate a subnet or gateway with a route table,Write,vpn-gateway,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
50,AssociateRouteTable,Grants permission to associate a subnet or gateway with a route table,Write,,ec2:Region,
51,AssociateSubnetCidrBlock,Grants permission to associate a CIDR block with a subnet,Write,subnet*,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:ResourceTag/${TagKey}  ec2:SubnetID  ec2:Vpc,
52,AssociateSubnetCidrBlock,Grants permission to associate a CIDR block with a subnet,Write,,ec2:Region,
53,AssociateTransitGatewayMulticastDomain,Grants permission to associate an attachment and list of subnets with a transit gateway multicast domain,Write,subnet*,aws:ResourceTag/${TagKey}  ec2:AvailabilityZone  ec2:ResourceTag/${TagKey}  ec2:SubnetID  ec2:Vpc,
54,AssociateTransitGatewayMulticastDomain,Grants permission to associate an attachment and list of subnets with a transit gateway multicast domain,Write,transit-gateway-attachment*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
55,AssociateTransitGatewayMulticastDomain,Grants permission to associate an attachment and list of subnets with a transit gateway multicast domain,Write,transit-gateway-multicast-domain*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
56,AssociateTransitGatewayMulticastDomain,Grants permission to associate an attachment and list of subnets with a transit gateway multicast domain,Write,,ec2:Region,
57,AssociateTransitGatewayRouteTable,Grants permission to associate an attachment with a transit gateway route table,Write,transit-gateway-attachment*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
58,AssociateTransitGatewayRouteTable,Grants permission to associate an attachment with a transit gateway route table,Write,transit-gateway-route-table*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
59,AssociateTransitGatewayRouteTable,Grants permission to associate an attachment with a transit gateway route table,Write,,ec2:Region,
60,AssociateTrunkInterface,Grants permission to associate a branch network interface with a trunk network interface,Write,,ec2:Region,
61,AssociateVpcCidrBlock,Grants permission to associate a CIDR block with a VPC,Write,vpc*,aws:ResourceTag/${TagKey}  ec2:Ipv4IpamPoolId  ec2:Ipv6IpamPoolId  ec2:ResourceTag/${TagKey}  ec2:Tenancy  ec2:VpcID,
