,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJobRun,Grants permission to cancel a job run,Write,jobRun*,,
1,CreateManagedEndpoint,Grants permission to create a managed endpoint,Write,virtualCluster*,,
2,CreateManagedEndpoint,Grants permission to create a managed endpoint,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  emr-containers:ExecutionRoleArn,
3,CreateVirtualCluster,Grants permission to create a virtual cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteManagedEndpoint,Grants permission to delete a managed endpoint,Write,managedEndpoint*,,
5,DeleteVirtualCluster,Grants permission to delete a virtual cluster,Write,virtualCluster*,,
6,DescribeJobRun,Grants permission to describe a job run,Read,jobRun*,,
7,DescribeManagedEndpoint,Grants permission to describe a managed endpoint,Read,managedEndpoint*,,
8,DescribeVirtualCluster,Grants permission to describe a virtual cluster,Read,virtualCluster*,,
9,ListJobRuns,Grants permission to list job runs associated with a virtual cluster,List,virtualCluster*,,
10,ListManagedEndpoints,Grants permission to list managed endpoints associated with a virtual cluster,List,virtualCluster*,,
11,ListTagsForResource,Grants permission to list tags for the specified resource,List,jobRun,,
12,ListTagsForResource,Grants permission to list tags for the specified resource,List,managedEndpoint,,
13,ListTagsForResource,Grants permission to list tags for the specified resource,List,virtualCluster,,
14,ListVirtualClusters,Grants permission to list virtual clusters,List,,,
15,StartJobRun,Grants permission to start a job run,Write,virtualCluster*,,
16,StartJobRun,Grants permission to start a job run,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  emr-containers:ExecutionRoleArn,
17,TagResource,Grants permission to tag the specified resource,Tagging,jobRun,,
18,TagResource,Grants permission to tag the specified resource,Tagging,managedEndpoint,,
19,TagResource,Grants permission to tag the specified resource,Tagging,virtualCluster,,
20,TagResource,Grants permission to tag the specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,UntagResource,Grants permission to untag the specified resource,Tagging,jobRun,,
22,UntagResource,Grants permission to untag the specified resource,Tagging,managedEndpoint,,
23,UntagResource,Grants permission to untag the specified resource,Tagging,virtualCluster,,
24,UntagResource,Grants permission to untag the specified resource,Tagging,,aws:TagKeys,
