,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CompleteSnapshot,Grants permission to seal and complete the snapshot after all of the required blocks of data have been written to it,Write,snapshot*,,
1,CompleteSnapshot,Grants permission to seal and complete the snapshot after all of the required blocks of data have been written to it,Write,,aws:ResourceTag/${TagKey},
2,GetSnapshotBlock,Grants permission to return the data of a block in an Amazon Elastic Block Store (EBS) snapshot,Read,snapshot*,,
3,GetSnapshotBlock,Grants permission to return the data of a block in an Amazon Elastic Block Store (EBS) snapshot,Read,,aws:ResourceTag/${TagKey},
4,ListChangedBlocks,Grants permission to list the blocks that are different between two Amazon Elastic Block Store (EBS) snapshots of the same volume/snapshot lineage,Read,snapshot*,,
5,ListChangedBlocks,Grants permission to list the blocks that are different between two Amazon Elastic Block Store (EBS) snapshots of the same volume/snapshot lineage,Read,,aws:ResourceTag/${TagKey},
6,ListSnapshotBlocks,Grants permission to list the blocks in an Amazon Elastic Block Store (EBS) snapshot,Read,snapshot*,,
7,ListSnapshotBlocks,Grants permission to list the blocks in an Amazon Elastic Block Store (EBS) snapshot,Read,,aws:ResourceTag/${TagKey},
8,PutSnapshotBlock,Grants permission to write a block of data to a snapshot created by the StartSnapshot operation,Write,snapshot*,,
9,PutSnapshotBlock,Grants permission to write a block of data to a snapshot created by the StartSnapshot operation,Write,,aws:ResourceTag/${TagKey},
10,StartSnapshot,Grants permission to create a new EBS snapshot,Write,snapshot,,
11,StartSnapshot,Grants permission to create a new EBS snapshot,Write,,aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys  ebs:Description  ebs:ParentSnapshot  ebs:VolumeSize,
