,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AccessKubernetesApi [permission only],Grants permission to view Kubernetes objects via AWS EKS console,Read,cluster*,,
1,AssociateEncryptionConfig,Grants permission to associate encryption configuration to a cluster,Write,cluster*,,
2,AssociateIdentityProviderConfig,Grants permission to associate an identity provider configuration to a cluster,Write,cluster*,,
3,AssociateIdentityProviderConfig,Grants permission to associate an identity provider configuration to a cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  eks:clientId  eks:issuerUrl,
4,CreateAddon,Grants permission to create an Amazon EKS add-on,Write,cluster*,,
5,CreateAddon,Grants permission to create an Amazon EKS add-on,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateCluster,Grants permission to create an Amazon EKS cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateFargateProfile,Grants permission to create an AWS Fargate profile,Write,cluster*,,
8,CreateFargateProfile,Grants permission to create an AWS Fargate profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateNodegroup,Grants permission to create an Amazon EKS Nodegroup,Write,cluster*,,
10,CreateNodegroup,Grants permission to create an Amazon EKS Nodegroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,DeleteAddon,Grants permission to delete an Amazon EKS add-on,Write,addon*,,
12,DeleteCluster,Grants permission to delete an Amazon EKS cluster,Write,cluster*,,
13,DeleteFargateProfile,Grants permission to delete an AWS Fargate profile,Write,fargateprofile*,,
14,DeleteNodegroup,Grants permission to delete an Amazon EKS Nodegroup,Write,nodegroup*,,
15,DeregisterCluster,Grants permission to deregister an External cluster,Write,cluster*,,
16,DescribeAddon,Grants permission to retrieve descriptive information about an Amazon EKS add-on,Read,addon*,,
17,DescribeAddonVersions,Grants permission to retrieve descriptive version information about the add-ons that Amazon EKS Add-ons supports,Read,,,
18,DescribeCluster,Grants permission to retrieve descriptive information about an Amazon EKS cluster,Read,cluster*,,
19,DescribeFargateProfile,Grants permission to retrieve descriptive information about an AWS Fargate profile associated with a cluster,Read,fargateprofile*,,
20,DescribeIdentityProviderConfig,Grants permission to retrieve descriptive information about an Idp config associated with a cluster,Read,identityproviderconfig*,,
21,DescribeNodegroup,Grants permission to retrieve descriptive information about an Amazon EKS nodegroup,Read,nodegroup*,,
22,DescribeUpdate,Grants permission to retrieve a given update for a given Amazon EKS cluster/nodegroup/add-on (in the specified or default region),Read,cluster*,,
23,DescribeUpdate,Grants permission to retrieve a given update for a given Amazon EKS cluster/nodegroup/add-on (in the specified or default region),Read,addon,,
24,DescribeUpdate,Grants permission to retrieve a given update for a given Amazon EKS cluster/nodegroup/add-on (in the specified or default region),Read,nodegroup,,
25,DisassociateIdentityProviderConfig,Grants permission to delete an asssociated Idp config,Write,identityproviderconfig*,,
26,ListAddons,Grants permission to list the Amazon EKS add-ons in your AWS account (in the specified or default region) for a given cluster,List,cluster*,,
27,ListClusters,Grants permission to list the Amazon EKS clusters in your AWS account (in the specified or default region),List,,,
28,ListFargateProfiles,Grants permission to list the AWS Fargate profiles in your AWS account (in the specified or default region) associated with a given cluster,List,cluster*,,
29,ListIdentityProviderConfigs,Grants permission to list the Idp configs in your AWS account (in the specified or default region) associated with a given cluster,List,cluster*,,
30,ListNodegroups,Grants permission to list the Amazon EKS nodegroups in your AWS account (in the specified or default region) attached to given cluster,List,cluster*,,
31,ListTagsForResource,Grants permission to list tags for the specified resource,Read,addon,,
32,ListTagsForResource,Grants permission to list tags for the specified resource,Read,cluster,,
33,ListTagsForResource,Grants permission to list tags for the specified resource,Read,fargateprofile,,
34,ListTagsForResource,Grants permission to list tags for the specified resource,Read,identityproviderconfig,,
35,ListTagsForResource,Grants permission to list tags for the specified resource,Read,nodegroup,,
36,ListUpdates,Grants permission to list the updates for a given Amazon EKS cluster/nodegroup/add-on (in the specified or default region),List,cluster*,,
37,ListUpdates,Grants permission to list the updates for a given Amazon EKS cluster/nodegroup/add-on (in the specified or default region),List,addon,,
38,ListUpdates,Grants permission to list the updates for a given Amazon EKS cluster/nodegroup/add-on (in the specified or default region),List,nodegroup,,
39,RegisterCluster,Grants permission to register an External cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
40,TagResource,Grants permission to tag the specified resource,Tagging,addon,,
41,TagResource,Grants permission to tag the specified resource,Tagging,cluster,,
42,TagResource,Grants permission to tag the specified resource,Tagging,fargateprofile,,
43,TagResource,Grants permission to tag the specified resource,Tagging,identityproviderconfig,,
44,TagResource,Grants permission to tag the specified resource,Tagging,nodegroup,,
45,TagResource,Grants permission to tag the specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
46,UntagResource,Grants permission to untag the specified resource,Tagging,addon,,
47,UntagResource,Grants permission to untag the specified resource,Tagging,cluster,,
48,UntagResource,Grants permission to untag the specified resource,Tagging,fargateprofile,,
49,UntagResource,Grants permission to untag the specified resource,Tagging,identityproviderconfig,,
50,UntagResource,Grants permission to untag the specified resource,Tagging,nodegroup,,
51,UntagResource,Grants permission to untag the specified resource,Tagging,,aws:TagKeys,
52,UpdateAddon,"Grants permission to update Amazon EKS add-on configurations, such as the VPC-CNI version",Write,addon*,,
53,UpdateClusterConfig,Grants permission to update Amazon EKS cluster configurations (eg: API server endpoint access),Write,cluster*,,
54,UpdateClusterVersion,Grants permission to update the Kubernetes version of an Amazon EKS cluster,Write,cluster*,,
55,UpdateNodegroupConfig,Grants permission to update Amazon EKS nodegroup configurations (eg: min/max/desired capacity or labels),Write,nodegroup*,,
56,UpdateNodegroupVersion,Grants permission to update the Kubernetes version of an Amazon EKS nodegroup,Write,nodegroup*,,
