,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivateEventSource,Grants permission to activate partner event sources,Write,event-source*,,
1,CancelReplay,Grants permission to cancel a replay,Write,replay*,,
2,CreateApiDestination,Grants permission to create a new api destination,Write,api-destination*,,
3,CreateApiDestination,Grants permission to create a new api destination,Write,connection*,,
4,CreateArchive,Grants permission to create a new archive,Write,archive*,,
5,CreateConnection,Grants permission to create a new connection,Write,connection*,,
6,CreateEndpoint,Grants permission to create an endpoint,Write,endpoint*,,
7,CreateEndpoint,Grants permission to create an endpoint,Write,,events:EventBusArn,
8,CreateEventBus,Grants permission to create event buses,Write,event-bus*,,
9,CreateEventBus,Grants permission to create event buses,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreatePartnerEventSource,Grants permission to create partner event sources,Write,event-source*,,
11,DeactivateEventSource,Grants permission to deactivate event sources,Write,event-source*,,
12,DeauthorizeConnection,"Grants permission to deauthorize a connection, deleting its stored authorization secrets",Write,connection*,,
13,DeleteApiDestination,Grants permission to delete an api destination,Write,api-destination*,,
14,DeleteArchive,Grants permission to delete an archive,Write,archive*,,
15,DeleteConnection,Grants permission to delete a connection,Write,connection*,,
16,DeleteEndpoint,Grants permission to delete an endpoint,Write,endpoint*,,
17,DeleteEventBus,Grants permission to delete event buses,Write,event-bus*,,
18,DeletePartnerEventSource,Grants permission to delete partner event sources,Write,event-source*,,
19,DeleteRule,Grants permission to delete rules,Write,rule*,,
20,DeleteRule,Grants permission to delete rules,Write,,events:creatorAccount  events:ManagedBy,
21,DescribeApiDestination,Grants permission to retrieve details about an api destination,Read,api-destination*,,
22,DescribeApiDestination,Grants permission to retrieve details about an api destination,Read,connection*,,
23,DescribeArchive,Grants permission to retrieve details about an archive,Read,archive*,,
24,DescribeConnection,Grants permission to retrieve details about a conection,Read,connection*,,
25,DescribeEndpoint,Grants permission to retrieve details about an endpoint,Read,endpoint*,,
26,DescribeEventBus,Grants permission to retrieve details about event buses,Read,event-bus,,
27,DescribeEventSource,Grants permission to retrieve details about event sources,Read,event-source*,,
28,DescribePartnerEventSource,Grants permission to retrieve details about partner event sources,Read,event-source*,,
29,DescribeReplay,Grants permission to retrieve the details of a replay,Read,replay*,,
30,DescribeRule,Grants permission to retrieve details about rules,Read,rule*,,
31,DescribeRule,Grants permission to retrieve details about rules,Read,,events:creatorAccount,
32,DisableRule,Grants permission to disable rules,Write,rule*,,
33,DisableRule,Grants permission to disable rules,Write,,events:creatorAccount  events:ManagedBy,
