,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateEnvironment,Grants permission to create a FinSpace environment,Write,environment*,,
1,CreateEnvironment,Grants permission to create a FinSpace environment,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
2,CreateUser [permission only],Grants permission to create a FinSpace user,Write,environment*,,
3,CreateUser [permission only],Grants permission to create a FinSpace user,Write,user*,,
4,CreateUser [permission only],Grants permission to create a FinSpace user,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
5,DeleteEnvironment,Grants permission to delete a FinSpace environment,Write,environment*,,
6,GetEnvironment,Grants permission to describe a FinSpace environment,Read,environment*,,
7,GetLoadSampleDataSetGroupIntoEnvironmentStatus [permission only],Grants permission to request status of the loading of sample data bundle,Read,environment*,,
8,GetUser [permission only],Grants permission to describe a FinSpace user,Read,environment*,,
9,GetUser [permission only],Grants permission to describe a FinSpace user,Read,user*,,
10,ListEnvironments,Grants permission to list FinSpace environments in the AWS account,List,environment*,,
11,ListTagsForResource,Grants permission to return a list of tags for a resource,Read,environment*,,
12,ListUsers [permission only],Grants permission to list FinSpace users in an environment,List,environment*,,
13,ListUsers [permission only],Grants permission to list FinSpace users in an environment,List,user*,,
14,LoadSampleDataSetGroupIntoEnvironment [permission only],Grants permission to load sample data bundle into your FinSpace environment,Write,environment*,,
15,ResetUserPassword [permission only],Grants permission to reset the password for a FinSpace user,Write,environment*,,
16,ResetUserPassword [permission only],Grants permission to reset the password for a FinSpace user,Write,user*,,
17,TagResource,Grants permission to tag a resource,Tagging,environment*,,
18,UntagResource,Grants permission to untag a resource,Tagging,environment*,,
19,UpdateEnvironment,Grants permission to update a FinSpace environment,Write,environment*,,
20,UpdateUser [permission only],Grants permission to update a FinSpace user,Write,environment*,,
21,UpdateUser [permission only],Grants permission to update a FinSpace user,Write,user*,,
